Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
"CE-BM,UM Basin,Burla||SE,Hirakud Dam Circle,Burla||EE,Main Dam Divn,Burla",2025_CEBBU_114492_10,MDD-e-03/2025-26,Three time grass cutting of D/S slope with berm including inverted filter area from RD 2773.68 mtr. to RD 3535.68 mtr. of Right Earth Dam of Hirakud Dam for the year 2025-26,1.0,2981646.0,RAMESH CHHANDA,INR,"404,633",1,2980931,ASUTOSH AGRAWAL,28-Jun-2025 08:23 PM,Rejected-AOC,Not Seleted through the transparent lottery,13-Aug-2025 12:44 PM,13-Aug-2025,"INR 404,633",365.0,Sunit Mahipal Kujur,13-Aug-2025 12:44 PM,E_03_10.pdf (270.00 KB),Sri Ramesh Chhanda is selected through transparent lottery as L1 bidder of this tender and the work order may be issued on favor of Sri Ramesh Chhanda.,Finance,Bid opening Summary,SUDHIR SAHU,12-Aug-2025 06:01 PM,finance_543233.pdf,BOQ Comparative Chart,Superintending Engineer,Internal,"Superintending Engineer, Divisional Accounts Officer, Estimator",Sunit Mahipal Kujur,13-Aug-2025 12:36 PM,finsummary_543233.pdf (270.36 KB),Superintending Engineer,Internal,"Superintending Engineer, Divisional Accounts Officer, Estimator",Sunit Mahipal Kujur,13-Aug-2025 12:23 PM,techsummary_543233.pdf (447.59 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"VALID LICENCE, AFFIDAVIT, GST, PAN, NO RELATION, SCHEDUKE-E, AND OTHER DOCUMENTS AS PER DTCN","CE-BM,UM Basin,Burla||SE,Hirakud Dam Circle,Burla||EE,Main Dam Divn,Burla",MDD-e-03/2025-26,2025_CEBBU_114492_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,18-Jun-2025 10:00 AM,01-Jul-2025 11:00 AM,18-Jun-2025 10:00 AM,30-Jun-2025 05:00 PM,18-Jun-2025 10:00 AM ,29-Jun-2025 05:00 PM ,18-Jun-2025 10:00 AM,30-Jun-2025 05:00 PM,"SUPERINTENDING ENGINEER, MAIN DAM DIVISION, BURLA","O/O-SUPERINTENDING ENGINEER, MAIN DAM DIVISION, BURLA","2,000",0.0,Nil,Nil,No,Three time grass cutting of D/S slope with berm including inverted filter area from RD 2773.68 mtr. to RD 3535.68 mtr. of Right Earth Dam of Hirakud Dam for the year 2025-26,Three time grass cutting of D/S slope with berm including inverted filter area from RD 2773.68 mtr. to RD 3535.68 mtr. of Right Earth Dam of Hirakud Dam for the year 2025-26,Please refer Tender documents. ,NA ,"4,75,983",Civil Works - Others,NA ,Tender,90.0,365.0,BURLA,768017.0,NA ,NA ,NA ,"SUPERINTENDING ENGINEER, MAIN DAM DIVISION, BURLA",No ,No,"4,800",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,2,2977218,BIBHUTIBHUSHAN PANDA,23-Jun-2025 08:41 PM,Rejected-AOC,Not Seleted through the transparent lottery,13-Aug-2025 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,2983777,LAXMI NARAYAN PRADHAN,30-Jun-2025 01:37 PM,Rejected-AOC,Not Seleted through the transparent lottery,13-Aug-2025 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,2981791,MANOJ KUMAR PANDA,28-Jun-2025 11:52 PM,Rejected-AOC,Not Seleted through the transparent lottery,13-Aug-2025 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,2983459,m/s dishant flyash bricks,30-Jun-2025 11:28 AM,Rejected-AOC,Not Seleted through the transparent lottery,13-Aug-2025 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,2983504,M/s Shree Sai Electrical,30-Jun-2025 12:02 PM,Rejected-AOC,Not Seleted through the transparent lottery,13-Aug-2025 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,2982486,Niranjan Bisoi,29-Jun-2025 11:39 AM,Rejected-AOC,Not Seleted through the transparent lottery,13-Aug-2025 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,2981088,PADMINI SINGH,29-Jun-2025 11:23 PM,Rejected-AOC,Not Seleted through the transparent lottery,13-Aug-2025 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,2981433,Pitambar Singh,27-Jun-2025 01:37 PM,Rejected-AOC,Not Seleted through the transparent lottery,13-Aug-2025 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,2979654,PRADIP DANDAPAT,25-Jun-2025 09:18 AM,Rejected-AOC,Not Seleted through the transparent lottery,13-Aug-2025 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,11,2978744,PUJARANI SAMAL,24-Jun-2025 02:06 PM,Rejected-AOC,Not Seleted through the transparent lottery,13-Aug-2025 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,12,2979600,PUSPALATA DUTTA,27-Jun-2025 02:19 PM,Rejected-AOC,Not Seleted through the transparent lottery,13-Aug-2025 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,13,2981771,RAJESH JAYASWAL,27-Jun-2025 09:19 PM,Rejected-AOC,Not Seleted through the transparent lottery,13-Aug-2025 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,14,2981646,RAMESH CHHANDA,27-Jun-2025 07:14 PM,Accepted-AOC,Seleted through the transparent lottery,13-Aug-2025 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,15,2980656,SAMBIT KUMAR PATTNAIK,26-Jun-2025 08:37 PM,Rejected-AOC,Not Seleted through the transparent lottery,13-Aug-2025 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,16,2980593,SANDIP KUMAR PATTNAIK,26-Jun-2025 07:53 PM,Rejected-AOC,Not Seleted through the transparent lottery,13-Aug-2025 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,17,2982682,Shekhar Behera,29-Jun-2025 12:46 PM,Rejected-AOC,Not Seleted through the transparent lottery,13-Aug-2025 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,18,2982023,Sobhabati Meher,28-Jun-2025 02:32 PM,Rejected-AOC,Not Seleted through the transparent lottery,13-Aug-2025 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,19,2980379,SURENDRA DUTTA,27-Jun-2025 03:07 PM,Rejected-AOC,Not Seleted through the transparent lottery,13-Aug-2025 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,20,2981106,SURYA MANI GOCHHAYAT,27-Jun-2025 12:24 PM,Rejected-AOC,Not Seleted through the transparent lottery,13-Aug-2025 12:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
