S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,ICICI BANK,Orissa State Police Housing and Welfare Corporation Ltd,05/OPHWC/2025-26,2025_OSPHW_114352_18,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,CHIEF ENGINEER OPHWC,CHIEF ENGINEER OPHWC,"Cluster of 1. B.Wall 2700 Rft Drainage System at Old Malkangiri PS Campus, 2. B.Wall 2400 Rft and Drainage System at MV-02 campus, Malkangiri and 3. Drainage System at DPO campus, Malkangiri",Building Work,Please refer Tender documents ,NA ,"1,47,35,596",Civil Works - Buildings,NA ,Tender,90.0,180.0,Malkangiri,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,"1,47,400",Yes,fixed,,Nil,Nil,12-Jun-2025 06:55 PM,30-Jun-2025 10:30 AM,12-Jun-2025 06:55 PM,26-Jun-2025 05:00 PM,NA ,NA ,12-Jun-2025 06:55 PM,26-Jun-2025 05:00 PM,25-Jul-2025 10:30 AM,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit","11,800",0.0,Nil,Nil,No,AOC,AS PER AS ACCEPTANCE LETTER,Internal,AS PER AS ACCEPTANCE LETTER,Bikram Keshari Malla,18-Aug-2025 12:41 PM,finsummary_542951.pdf (688.15 KB),Technical,5 Nos. of bidders have been participated,Bikram Keshari Malla,01-Jul-2025 05:36 PM,,AS PER TC MINUTES,Internal,AS PER TC MINUTES,Srikanta Samal,24-Jul-2025 07:31 PM,25-Jul-2025 10:30 AM,techsummary_542951.pdf (415.44 KB),Finance,financial bid opened,Bikram Keshari Malla,25-Jul-2025 12:30 PM,,BOQ Comparative Chart,1,2980187,ASHOK KUMAR SETHI,26-Jun-2025 01:15 PM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m).,24-Jul-2025 07:31 PM,1.0,2966135.0,Lalit Somani,INR,"12,526,730",Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_114352_18,05/OPHWC/2025-26,"Cluster of 1. B.Wall 2700 Rft Drainage System at Old Malkangiri PS Campus, 2. B.Wall 2400 Rft and Drainage System at MV-02 campus, Malkangiri and 3. Drainage System at DPO campus, Malkangiri",18-Aug-2025,"INR 12,526,730",180.0,Bikram Keshari Malla,18-Aug-2025 12:43 PM,WORKORDERT.pdf (688.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 14.08.2025,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,2970120,BINAYA KUMAR ROUT,25-Jun-2025 09:51 PM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m).,24-Jul-2025 07:31 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,2966135,Lalit Somani,26-Jun-2025 04:51 PM,Accepted-AOC,QUALIFIED BIDDER,18-Aug-2025 12:43 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,2980192,PRAFULLA KUMAR PANDA,26-Jun-2025 01:36 PM,Rejected-Finance,DUE TO L1 BIDDER BUT LOWEST TURNOVER,18-Aug-2025 12:41 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,2980771,VISHAL AGRAWAL,26-Jun-2025 03:54 PM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m).,24-Jul-2025 07:31 PM,,,,,,,,,,,,,,,,,AOC
