S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Online payment receipt of Paper cost, Bid Security, GSTIN, PAN, Registration Certificates.",04-Mar-2025 02:00 PM,11-Mar-2025 11:30 AM,04-Mar-2025 02:00 PM,10-Mar-2025 05:00 PM,NA ,NA ,04-Mar-2025 02:00 PM,10-Mar-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,EIC-CIVIL||SERNB-CIRCLE-EASTERN||EERNB-DIVN-BHADRAK,SE RandB BDK-42/2024-25-10,2025_EICCL_111327_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Shifting of 11KV/DTR/LT line for widening and strengthening of Ichhapur to Basudevpur road from 0/000km to 23/700km (Except 10/000km to 10/600km) from Chandia chhak to Chandia chhak end.,Shifting of 11KV/DTR/LT line for widening and strengthening of Ichhapur to Basudevpur road from 0/000km to 23/700km (Except 10/000km to 10/600km) from Chandia chhak to Chandia chhak end.,Please refer Tender documents. ,NA ,,Electrical Works,NA ,Tender,90.0,30.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/O the Superitending Engineer (RnB) Division , Bh",No ,No,"Superitending Engineer (RnB) Division , Bhadrak","O/O the Superitending Engineer (RnB) Division , Bh","13,258",Yes,fixed,,Nil,Nil,AOC,12-Aug-2025,"INR 1,127,085.53",30.0,Sushree Sangita Nayak,12-Aug-2025 02:05 PM,cccccc.pdf (131.00 KB),Winner of the transparent lottery system,1,2848222,ABHILASH PRADHAN,09-Mar-2025 09:54 PM,Rejected-Finance,Looser of the transparent lottery system.,12-Aug-2025 02:02 PM,DebiprasannaGhose,Internal,"DebiprasannaGhose,Upendra Kumar,Sushree sangita Nayak",Sushree Sangita Nayak,12-Aug-2025 01:58 PM,techsummary_532205.pdf (131.21 KB),EIC-CIVIL||SERNB-CIRCLE-EASTERN||EERNB-DIVN-BHADRAK,2025_EICCL_111327_1,SE RandB BDK-42/2024-25-10,Shifting of 11KV/DTR/LT line for widening and strengthening of Ichhapur to Basudevpur road from 0/000km to 23/700km (Except 10/000km to 10/600km) from Chandia chhak to Chandia chhak end.,DebiprasannaGhose,Internal,"DebiprasannaGhose,Upendra Kumar,Sushree sangita Nayak",Sushree Sangita Nayak,12-Aug-2025 02:02 PM,finsummary_532205.pdf (131.21 KB),Finance,Technically Submitted,Sushree Sangita Nayak,12-Aug-2025 01:55 PM,finance_532205.pdf,BOQ Comparative Chart,1.0,2847005.0,Transpower,INR,"1,127,085.53",AOC
2.0,ICICI NEFT/RTGS,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,2847264,DEBABRATA MISHRA,08-Mar-2025 03:43 PM,Rejected-Finance,Looser of the transparent lottery system.,12-Aug-2025 02:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2849380,DINESH KUMAR AGARWALA,10-Mar-2025 04:12 PM,Rejected-Finance,Looser of the transparent lottery system.,12-Aug-2025 02:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2847173,GOPINATH DAS,10-Mar-2025 02:27 PM,Rejected-Finance,Looser of the transparent lottery system.,12-Aug-2025 02:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2848127,JHADESWAR ELECTRICALS AND ERECTORS,10-Mar-2025 06:34 AM,Rejected-Finance,Looser of the transparent lottery system.,12-Aug-2025 02:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,2849469,M/s. Ganapati Electricals,10-Mar-2025 04:48 PM,Rejected-Finance,Looser of the transparent lottery system.,12-Aug-2025 02:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,2847844,M/S GOURISHANKAR ENTERPRISES.RAMAKANTA MAHANI,09-Mar-2025 02:35 PM,Rejected-Finance,Looser of the transparent lottery system.,12-Aug-2025 02:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,2847028,POWERTECH ENGINEERING.TAPAS RANJAN PATI,08-Mar-2025 12:22 PM,Rejected-Finance,Looser of the transparent lottery system.,12-Aug-2025 02:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,2846906,SANJAY KUMAR PATRA,07-Mar-2025 10:46 PM,Rejected-Finance,Looser of the transparent lottery system.,12-Aug-2025 02:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,2847369,Santosh Kumar Parida,08-Mar-2025 05:56 PM,Rejected-Finance,Looser of the transparent lottery system.,12-Aug-2025 02:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
