Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Rourkela Municipal Corporation,MC/RMC/22/2025,2025_RMC_113206_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, Affidavit, EMD, GST, PAN, Paper Cost and other Documents as per DTCN","Municipal Commissioner, RMC","Rourkela Municipal Corporation, Rourkela","6,000",Nil,Nil,No,08-May-2025 06:00 PM,20-May-2025 11:00 AM,08-May-2025 06:00 PM,19-May-2025 05:00 PM,NA ,NA ,08-May-2025 06:00 PM,19-May-2025 05:00 PM,1.0,ICICI BANK,"Renovation of Drain from QTR No CCC 07 to CCC 15 at Civil Township under RMC, Rourkela.",Works,Please refer Tender documents. ,NA ,"11,85,000",Civil Works - Others,NA ,Tender,90.0,45.0,Rourkela,769012.0,NA ,NA ,NA ,"Rourkela Municipal Corporation, Rourkela",No ,No,"11,850",Yes,fixed,,Nil,Nil,AOC,1.0,2913374.0,RABINARAYAN BHUYAN,INR,"1,006,960.55",13-Aug-2025,"INR 1,006,960.55",45.0,Birendra Nanda,13-Aug-2025 12:41 PM,BID22.pdf (2265.00 KB),Awarded to Rabinarayan Bhuyan,Rourkela Municipal Corporation,2025_RMC_113206_6,MC/RMC/22/2025,"Renovation of Drain from QTR No CCC 07 to CCC 15 at Civil Township under RMC, Rourkela.",Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Birendra Nanda,13-Aug-2025 11:51 AM,finsummary_538800.pdf (2264.69 KB),Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Birendra Nanda,11-Aug-2025 11:44 AM,techsummary_538800.pdf (2264.69 KB),1,2925066,ANIL BEHERA (S.C),19-May-2025 02:55 PM,Rejected-Technical,By The Tender Committee,11-Aug-2025 11:44 AM,Finance,EMD refund,Birendra Nanda,11-Aug-2025 10:43 AM,finance_538800.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2913111,ARADHYA CONSTRUCTION,12-May-2025 12:59 PM,Rejected-Technical,By The Tender Committee,11-Aug-2025 11:44 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2912865,ARATI TRIPATHY,12-May-2025 12:01 PM,Rejected-Technical,By The Tender Committee,11-Aug-2025 11:44 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2920461,BIPRA CHARAN DHAL,16-May-2025 12:18 PM,Rejected-Technical,By The Tender Committee,11-Aug-2025 11:44 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2918039,BRAJA MOHAN BEURA,14-May-2025 06:54 PM,Rejected-Technical,By The Tender Committee,11-Aug-2025 11:44 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2925122,CHIDA ORAM,19-May-2025 03:09 PM,Rejected-Technical,By The Tender Committee,11-Aug-2025 11:44 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2925022,DEBASIS MOHAPATRA,19-May-2025 02:25 PM,Rejected-Technical,By The Tender Committee,11-Aug-2025 11:44 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2924463,KAVYA CONSTRUCTION,19-May-2025 12:05 PM,Rejected-Technical,By The Tender Committee,11-Aug-2025 11:44 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2924908,K K ENTERPRISES,19-May-2025 01:56 PM,Rejected-Technical,By The Tender Committee,11-Aug-2025 11:44 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2925081,MAA FABRICATION,19-May-2025 02:49 PM,Rejected-Technical,By The Tender Committee,11-Aug-2025 11:44 AM,,,,,,,AOC
