Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
22-Aug-2025,"INR 4,161,838",60.0,Sujata Hembram,22-Aug-2025 04:30 PM,TCN03.pdf (1568.00 KB),Finance,Tender Documents to be verified.,Shyam Sundar Behera,19-Oct-2023 12:04 PM,finance_466199.pdf,BOQ Comparative Chart,"DAO, Estimator, Executive Engineer",Internal,,Sujata Hembram,22-Aug-2025 04:27 PM,finsummary_466199.pdf (1568.11 KB),1,2284975,JITENDRA NIMALPURI,11-Oct-2023 01:03 PM,Rejected-AOC,1st lowest tenderer,22-Aug-2025 04:30 PM,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-RAYAGADA,2023_CERWI_95301_7,EERWRGD-Online-03/2023-24,Construction of RI office cum residence at Telengapadar under Muniguda Tahasil for the year 2022-23,1.0,2287361.0,PRIYABRATA BEHERA,INR,"4,161,838","DAO, Estimator, Executive Engineer",Internal,,Sujata Hembram,22-Aug-2025 04:23 PM,techsummary_466199.pdf (1568.11 KB),AOC,"6,000",0.0,Nil,Nil,No,1,ICICI BANK,Construction of RI office cum residence at Telengapadar under Muniguda Tahasil for the year 2022-23,Building Works,Please refer Tender documents. ,NA ,"43,80,000",Civil Works - Buildings,NA ,Tender,90.0,60.0,Rayagada,765001.0,NA ,NA ,NA ,EE RWD RAYAGADA,No ,No,CE RW I||RWCIRCLE-SUNABEDA||RWDIVISION-RAYAGADA,EERWRGD-Online-03/2023-24,2023_CERWI_95301_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,License PAN card GSTIN Affidavit and as per DTCN,"43,800",Yes,fixed,,Nil,Nil,EE RWD RAYAGADA,EE RWD Rayagada,07-Oct-2023 12:00 PM,16-Oct-2023 11:00 AM,07-Oct-2023 12:00 PM,13-Oct-2023 05:00 PM,NA ,NA ,07-Oct-2023 12:00 PM,13-Oct-2023 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,2,2287361,PRIYABRATA BEHERA,13-Oct-2023 04:56 PM,Accepted-AOC,As per lottery winner,22-Aug-2025 04:30 PM,,,,,,,,,,,,,,,,AOC,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,AOC
