S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage
1.0,2756068.0,M/s SHREE INFRA AND CO,INR,"51,870,579.617",S Mahali,Internal,,Rajendra Majhi,02-Aug-2025 12:38 PM,finsummary_524547.pdf (114.15 KB),CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-TITLAGARH,2025_CERWI_109193_3,BLGR-Online-04/2024-25,Construction of Road from PWD Road to Gundhichadihi Road under MMSY-Improvement to Existing RD Roads in the district of Bolangir for the year 2024-25,Technical,35 nos of bids download,Sukadev Mahali,17-Jan-2025 01:45 PM,technical_524547.pdf,Finance,32 nos of bids download,Sukadev Mahali,27-Feb-2025 01:03 PM,finance_524547.pdf,BOQ Comparative Chart,S Mahali,Internal,,Sukadev Mahali,18-Feb-2025 02:16 PM,27-Feb-2025 11:00 AM,techsummary_524547.pdf (862.79 KB),1,2755946,ANUP BUILDERS,16-Jan-2025 04:59 PM,Rejected-Finance,Unsuccess in lottery system,02-Aug-2025 12:38 PM,02-Aug-2025,"INR 61,017,032.84",365.0,Rajendra Majhi,02-Aug-2025 12:47 PM,boqcomparativechart.pdf (114.00 KB),Success in lottery system,AOC,"Chief Construction Engineer, R.W.Circle, Bolangir","O/o the Chief Construction Engineer, R.W.Circle, Bolangir","10,000",0.0,Nil,Nil,No,Construction of Road from PWD Road to Gundhichadihi Road under MMSY-Improvement to Existing RD Roads in the district of Bolangir for the year 2024-25,Construction of Road from PWD Road to Gundhichadihi Road under MMSY-Improvement to Existing RD Roads in the district of Bolangir for the year 2024-25,Please refer Tender documents. ,NA ,"6,10,17,000",Civil Works - Roads,NA ,Tender,90.0,365.0,Patnagarh,767025.0,NA ,NA ,NA ,"O/o C.C.E, Rural Works Circle, Bolangir",No ,No,CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-TITLAGARH,BLGR-Online-04/2024-25,2025_CERWI_109193_3,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"6,10,170",Yes,percentage,1.0%,Nil,Nil,08-Jan-2025 09:00 AM,17-Jan-2025 11:00 AM,08-Jan-2025 09:00 AM,16-Jan-2025 05:00 PM,08-Jan-2025 09:00 AM ,15-Jan-2025 05:00 PM ,08-Jan-2025 09:00 AM,16-Jan-2025 05:00 PM,27-Feb-2025 11:00 AM,1.0,3rd Corrigendum,Other,,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"R.C, PAN, GSTIN, EMD, Tender Paper Cost, Affidavit regarding correctness, No relation certificate",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2752897,ARNS INFRAPROJECTS PRIVATE LIMITED,15-Jan-2025 07:31 PM,Rejected-Finance,Unsuccess in lottery system,02-Aug-2025 12:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Annual Turn Over, Similar Nature of Work , Machineries and others documents as per DTCN",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2745029,ATUL KUMAR JAIN,14-Jan-2025 08:08 PM,Rejected-Finance,Unsuccess in lottery system,02-Aug-2025 12:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2751314,BAJRANGLAL JAIN,16-Jan-2025 01:46 PM,Rejected-Technical,Insufficient Similar Nature of Work,18-Feb-2025 02:16 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2753723,BASANT AGRAWAL,15-Jan-2025 10:50 PM,Rejected-Technical,Undertaking for Installation of Hotmix Plant within 60 km not furnished,18-Feb-2025 02:16 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2741293,BIJAY KUMAR AGRAWAL,11-Jan-2025 08:51 PM,Rejected-Finance,Unsuccess in lottery system,02-Aug-2025 12:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2747597,B. K. Construction Co.,15-Jan-2025 09:53 PM,Rejected-Finance,Unsuccess in lottery system,02-Aug-2025 12:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2751062,ER. MOHIT KUMAR JAIN,15-Jan-2025 12:48 PM,Rejected-Finance,Unsuccess in lottery system,02-Aug-2025 12:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2752677,GIRIDHARI LAL AGRAWAL,15-Jan-2025 08:29 PM,Rejected-Finance,Unsuccess in lottery system,02-Aug-2025 12:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2752638,HITESH AGRAWAL,15-Jan-2025 06:01 PM,Rejected-Finance,Unsuccess in lottery system,02-Aug-2025 12:38 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
