Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"Construction of Additional percolation well, pump house, rising main and external electrification for PWS to village Haluapali under Komna Block in the District of Nuapada","Construction of Additional percolation well, pump house, rising main and external electrification for PWS to village Haluapali under Komna Block in the District of Nuapada",Please refer Tender documents. ,NA ,"43,85,676",Civil Works - Water Works,NA ,Tender,90.0,150.0,NUAPADA,766105.0,NA ,NA ,NA ,O/o the SERWSS Nuapada,No ,No,19-Jun-2025 10:00 AM,01-Jul-2025 11:00 AM,19-Jun-2025 10:00 AM,30-Jun-2025 05:00 PM,19-Jun-2025 10:00 AM ,29-Jun-2025 05:00 PM ,19-Jun-2025 10:00 AM,30-Jun-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,PAN,GST,AFFIDAVIT,NRC AND OTHER DOCUMENTS AS PER DTCN","6,000",0.0,Nil,Nil,No,Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Nuapada,RWSS/NPD/06/2025-26,2025_RWSS_114526_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,1st Corrigendum,Other,,1.0,ICICI BANK,"43,857",Yes,percentage,1.0%,Nil,Nil,Superintending Engineer,O/o the SERWSS Nuapada,AOC,14-Aug-2025,"INR 3,728,263",150.0,Prahallad Sahu,14-Aug-2025 07:37 PM,Haluapali.pdf (793.00 KB),work order has been awarded to the contractor,"SE,RWSS Division, Nuapada",Internal,"SE, EE, DAO, JE Estimator, RWSS Division, Nuapada",Prahallad Sahu,14-Aug-2025 07:32 PM,finsummary_543327.pdf (263.66 KB),Finance,Bid Opened,Prahallad Sahu,04-Jul-2025 01:52 PM,finance_543327.pdf,BOQ Comparative Chart,1,2980933,ABHISEK MEHER,26-Jun-2025 05:59 PM,Rejected-Finance,Rejected,14-Aug-2025 07:32 PM,Rural Water Supply and Sanitation||RWSS Circle Bolangir||RWSS Division Nuapada,2025_RWSS_114526_4,RWSS/NPD/06/2025-26,"Construction of Additional percolation well, pump house, rising main and external electrification for PWS to village Haluapali under Komna Block in the District of Nuapada",1.0,2983028.0,SATRUGHANA MAJHI,INR,"3,728,263",Superintending Engineer,Internal,"SE RWSS Nuapada, EE Estimater Nuapada, DAO RWSS Nuapada, JE Estimater Nuapada",Prahallad Sahu,04-Jul-2025 05:36 PM,techsummary_543327.pdf (908.32 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,2978648,BINOD KUMAR MEHER,26-Jun-2025 07:42 PM,Rejected-Finance,Rejected,14-Aug-2025 07:32 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3,2979525,DOLAMANI BIBHAR,24-Jun-2025 10:14 PM,Rejected-Finance,Rejected,14-Aug-2025 07:32 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,4,2981446,KAMINI NANDA,29-Jun-2025 10:30 AM,Rejected-Finance,Rejected,14-Aug-2025 07:32 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,5,2983249,PAYAL NAGPURE,30-Jun-2025 07:04 AM,Rejected-Finance,Rejected,14-Aug-2025 07:32 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,6,2984231,PRINCE KUMAR GUPTA,30-Jun-2025 04:48 PM,Rejected-Finance,L2 bidder finalize through transparent lottery process,14-Aug-2025 07:32 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,7,2983953,RAVI SHARMA,30-Jun-2025 03:35 PM,Rejected-Finance,Rejected,14-Aug-2025 07:32 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,8,2981858,ROHIT KUMAR TRIVEDI,27-Jun-2025 11:55 PM,Rejected-Finance,Rejected,14-Aug-2025 07:32 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,9,2983028,SATRUGHANA MAJHI,30-Jun-2025 09:41 AM,Accepted-AOC,agreement drawn,14-Aug-2025 07:37 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,10,2979782,SMITA SAHOO,29-Jun-2025 10:21 AM,Rejected-Finance,Rejected,14-Aug-2025 07:32 PM,,,,,,,,,,,,,,,,AOC
