Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
22-Aug-2025,"INR 16,213,805",365.0,Bikram Keshari Malla,22-Aug-2025 06:40 PM,WORKORDERTT.pdf (518.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 20.08.2025,Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_114352_13,05/OPHWC/2025-26,"Constn. of 6 nos. E type Qtrs. at Udala PS, Mayurbhanj.",1.0,2977957.0,SUDARSAN PUTHAL,INR,"16,213,805",1,2980694,AJAY KUMAR SETHI,26-Jun-2025 01:44 PM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m).,24-Jul-2025 07:50 PM,Finance,financial bid opened,Bikram Keshari Malla,25-Jul-2025 12:38 PM,,BOQ Comparative Chart,AS PER TC MINUTES,Internal,AS PER TC MINUTES,Srikanta Samal,24-Jul-2025 07:50 PM,25-Jul-2025 10:30 AM,techsummary_542939.pdf (221.01 KB),Technical,10. Nos.of bidders have been participated,Bikram Keshari Malla,01-Jul-2025 02:05 PM,,AS PER AS ACCEPTANCE LETTER,Internal,AS PER AS ACCEPTANCE LETTER,Bikram Keshari Malla,22-Aug-2025 06:00 PM,finsummary_542939.pdf (350.76 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit",Orissa State Police Housing and Welfare Corporation Ltd,05/OPHWC/2025-26,2025_OSPHW_114352_13,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,CHIEF ENGINEER OPHWC,CHIEF ENGINEER OPHWC,"Constn. of 6 nos. E type Qtrs. at Udala PS, Mayurbhanj.",Building Work,Please refer Tender documents ,NA ,"1,90,72,820",Civil Works - Buildings,NA ,Tender,90.0,365.0,Mayurbhanj,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,"11,800",0.0,Nil,Nil,No,"1,90,700",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,12-Jun-2025 06:55 PM,30-Jun-2025 10:30 AM,12-Jun-2025 06:55 PM,26-Jun-2025 05:00 PM,NA ,NA ,12-Jun-2025 06:55 PM,26-Jun-2025 05:00 PM,25-Jul-2025 10:30 AM,AOC
,,,,,,,,,,,,,,,,2,2975756,ARYA PRAKASH CHAMPATIRAY,25-Jun-2025 05:41 PM,Rejected-Finance,DUE TO L2 BIDDER,22-Aug-2025 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3,2978723,ASHOK KUMAR DAS,25-Jun-2025 05:54 PM,Rejected-Technical,Non-securing qualifying marks in the Point of Presentation as per DTCN Cl.110(m).,24-Jul-2025 07:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,2970113,BINAYA KUMAR ROUT,25-Jun-2025 09:43 PM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m).,24-Jul-2025 07:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,2978222,LALIT KUMAR MOHANTY,26-Jun-2025 12:48 PM,Rejected-Technical,Non-securing qualifying marks in the Point of Presentation as per DTCN Cl.110(m).,24-Jul-2025 07:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,2979242,"Rabinarayan Das, Proprietor of Nilachakra Enterprises",24-Jun-2025 03:57 PM,Rejected-Finance,DUE TO L2 BIDDER,22-Aug-2025 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,2972279,SANJEEB KUMAR NAYAK,26-Jun-2025 01:44 PM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m).,24-Jul-2025 07:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,2974762,SRI PRADIP KUMAR BHUJABAL,25-Jun-2025 11:11 AM,Rejected-Finance,DUE TO L1 BIDDER BUT LOWEST TURNOVER,22-Aug-2025 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,2977957,SUDARSAN PUTHAL,25-Jun-2025 10:06 AM,Accepted-AOC,QUALIFIED BIDDER,22-Aug-2025 06:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,2980710,Sumanta Kumar Pattanayak,26-Jun-2025 01:59 PM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m).,24-Jul-2025 07:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
