S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
1.0,2885770.0,M/S SHREELAXMI ENTERPRISERS,INR,"2,451,840","Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI,Division, Bhubaneswar",2025_OLIC_112212_5,BID NO-740/2024-25 DT.02.04.2025,REVIVAL AND RE-ENERGISATION OF MOHANPUR-I AND II ALAUTA-I II AND III AND BELAPADA LIP UNDER DELANGA BLOCK OF PURI DISTRICT UNDER PLAN FUND 2024-25,Sujit Kumar Mohanty,Internal,"EE,ESTR,DA",SUJIT KUMAR MOHANTY,19-May-2025 01:10 PM,techsummary_535393.pdf (971.47 KB),Finance,TENDER OPENED,SUJIT KUMAR MOHANTY,17-Apr-2025 01:19 PM,finance_535393.pdf,BOQ Comparative Chart,Sujit Kumar Mohanty,Internal,"EE,ESTR,DA",SUJIT KUMAR MOHANTY,19-Aug-2025 12:38 PM,finsummary_535393.pdf (971.47 KB),19-Aug-2025,"INR 2,451,840",90.0,SUJIT KUMAR MOHANTY,19-Aug-2025 12:41 PM,Mohanpur.pdf (971.00 KB),WORK ORDER AND AGREEMENT COMPLETED,1,2884196,AGRAWALLA POWER INFRASTRUCTURE,16-Apr-2025 09:12 AM,Rejected-Technical,Rejected,19-May-2025 01:10 PM,AOC,07-Apr-2025 10:00 AM,17-Apr-2025 11:00 AM,07-Apr-2025 10:00 AM,16-Apr-2025 05:00 PM,07-Apr-2025 10:00 AM ,15-Apr-2025 05:00 PM ,07-Apr-2025 10:00 AM,16-Apr-2025 05:00 PM,"7,080",0.0,Nil,Nil,Yes,REVIVAL AND RE-ENERGISATION OF MOHANPUR-I AND II ALAUTA-I II AND III AND BELAPADA LIP UNDER DELANGA BLOCK OF PURI DISTRICT UNDER PLAN FUND 2024-25,REVIVAL AND RE-ENERGISATION OF MOHANPUR-I AND II ALAUTA-I II AND III AND BELAPADA LIP UNDER DELANGA BLOCK OF PURI DISTRICT UNDER PLAN FUND 2024-25,Please refer Tender Documents ,NA ,"25,80,613",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,DELANGA,752001.0,NA ,NA ,NA ,EE LI DIVISION BHUBANESWAR,No ,No,"25,806",Yes,percentage,1.0%,Nil,Nil,Executive Engineer,EE LI DIVISION BHUBANESWAR,1.0,Fee/PreQual/Technical/Finance,.pdf,TENDER PAPER COST EMD AND ALL OTHER DOCUMENTS AS PER DTCN,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI,Division, Bhubaneswar",BID NO-740/2024-25 DT.02.04.2025,2025_OLIC_112212_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2885536,BIKRAM KESHARI PATTANAIK,16-Apr-2025 12:48 PM,Rejected-Finance,REJECTED,19-Aug-2025 12:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2885464,GITANJALI SARANGI PROPRIETOR- GITANJALI ENTERPRISES,16-Apr-2025 12:23 PM,Rejected-Technical,Rejected,19-May-2025 01:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2884937,MADAN MOHAN BASTIA,15-Apr-2025 03:38 PM,Rejected-Finance,REJECTED,19-Aug-2025 12:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2885213,MODERN WINDING AND ELECTRICALS,15-Apr-2025 07:02 PM,Rejected-Finance,REJECTED,19-Aug-2025 12:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2885829,M/S DILIP KUMAR SAHOO,16-Apr-2025 12:37 PM,Rejected-Technical,Rejected,19-May-2025 01:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2882783,M/S. M.C.C. ASSOCIATES,12-Apr-2025 02:20 PM,Rejected-Finance,REJECTED,19-Aug-2025 12:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2885770,M/S SHREELAXMI ENTERPRISERS,16-Apr-2025 12:17 PM,Accepted-AOC,WORK ORDER AND AGREEMENT COMPLETED,19-Aug-2025 12:41 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2885719,N CHHATOI GULSON NANDA,16-Apr-2025 01:40 PM,Rejected-Technical,Rejected,19-May-2025 01:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2884226,PRADEEP KUMAR AGRAWALLA,16-Apr-2025 01:06 PM,Rejected-Technical,Rejected,19-May-2025 01:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
