Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
25-Jan-2025 03:30 PM,06-Feb-2025 11:00 AM,25-Jan-2025 03:30 PM,05-Feb-2025 05:00 PM,25-Jan-2025 03:30 PM ,04-Feb-2025 05:00 PM ,25-Jan-2025 03:30 PM,05-Feb-2025 05:00 PM,19-Mar-2025 11:00 AM,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,"Chief Construction Engineer, R.W.Circle, Bolangir","O/o the Chief Construction Engineer, R.W.Circle, Bolangir",1.0,Fee/PreQual/Technical,.pdf,"R.C, PAN, GSTIN, EMD, Tender Paper Cost, Affidavit regarding correctness, No relation certificate",Periodical Maintenance of 5 years completed PMGSY work such as providing SDBC for Package No. 01/Titilagarh in the district of Bolangir for the year 2024-25,Periodical Maintenance of 5 years completed PMGSY work such as providing SDBC for Package No. 01/Titilagarh in the district of Bolangir for the year 2024-25,Please refer Tender documents. ,NA ,"1,95,92,000",Civil Works - Roads,NA ,Tender,90.0,90.0,Titilagarh,767033.0,NA ,NA ,NA ,"O/o C.C.E, R.W.Circle, Bolangir",No ,No,"1,95,920",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-BALANGIR,BLGR-Online-12/2024-25,2025_CERWI_109813_7,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,S Mahali,Internal,,Sukadev Mahali,07-Aug-2025 11:18 AM,finsummary_527204.pdf (119.65 KB),CE RW I||RWCIRCLE-BALANGIR,2025_CERWI_109813_7,BLGR-Online-12/2024-25,Periodical Maintenance of 5 years completed PMGSY work such as providing SDBC for Package No. 01/Titilagarh in the district of Bolangir for the year 2024-25,Technical,50 nos bids opened,Sukadev Mahali,06-Feb-2025 05:12 PM,technical_527204.pdf,1.0,2782552.0,Rekha Singhal,INR,"16,654,809.112",1,2793931,ANKIT AGRAWAL,02-Feb-2025 06:29 PM,Rejected-Technical,Insufficient Work Experience,12-Mar-2025 08:22 PM,07-Aug-2025,"INR 19,591,588.18",90.0,Sukadev Mahali,07-Aug-2025 11:27 AM,CS.pdf (120.00 KB),Unsuccess in lottery system,Finance,43 BIDS DOWNLOAD,Sukadev Mahali,24-Mar-2025 11:34 AM,finance_527204.pdf,BOQ Comparative Chart,S Mahali,Internal,,Sukadev Mahali,12-Mar-2025 08:22 PM,19-Mar-2025 11:00 AM,techsummary_527204.pdf (601.52 KB),AOC
,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,.pdf,"Annual Turn Over, Similar Nature of Work, Machinaries and others documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,2795754,Ankit Kumar Agrawal,04-Feb-2025 04:51 PM,Rejected-Finance,Unsuccess in lottery system,07-Aug-2025 11:18 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,2793442,ATUL KUMAR JAIN,02-Feb-2025 11:26 AM,Rejected-Finance,Unsuccess in lottery system,07-Aug-2025 11:18 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,2799379,BALAMAKUNDA PUROHIT,05-Feb-2025 04:55 PM,Rejected-Finance,Unsuccess in lottery system,07-Aug-2025 11:18 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,2798419,BASANT AGRAWAL,05-Feb-2025 11:54 AM,Rejected-Finance,Unsuccess in lottery system,07-Aug-2025 11:18 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,2797527,BIJAY KUMAR SAHU,05-Feb-2025 12:00 PM,Rejected-Finance,Unsuccess in lottery system,07-Aug-2025 11:18 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,2797884,B. K. Construction Co.,04-Feb-2025 11:07 PM,Rejected-Finance,Unsuccess in lottery system,07-Aug-2025 11:18 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,2798922,CH SUBASH CHANDRA PATRO,05-Feb-2025 02:25 PM,Rejected-Finance,Unsuccess in lottery system,07-Aug-2025 11:18 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,2797196,ER. MOHIT KUMAR JAIN,05-Feb-2025 11:58 AM,Rejected-Finance,Unsuccess in lottery system,07-Aug-2025 11:18 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,2797486,GOPAL CHANDRA SAHU,05-Feb-2025 12:30 PM,Rejected-Finance,Unsuccess in lottery system,07-Aug-2025 11:18 AM,,,,,,,,,,,,,,,,,,,,,AOC
