Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"10,000",0.0,Nil,Nil,No,Construction of Road from RD road to Maraduguchha Road in the district of Subarnapur under MMSY-Improvement to Existing RD Roads for the year 2024-25,Construction of Road from RD road to Maraduguchha Road in the district of Subarnapur under MMSY-Improvement to Existing RD Roads for the year 2024-25,Please refer Tender documents. ,NA ,"8,87,07,000",Civil Works - Roads,NA ,Tender,90.0,365.0,Sonepur,767017.0,NA ,NA ,NA ,"O/o C.C.E, R.W.Circle, Bolangir",No ,No,1.0,Fee/PreQual/Technical,.pdf,"R.C, PAN, GSTIN, EMD, Tender Paper Cost, Affidavit regarding correctness, No relation certificate",1.0,ICICI BANK,"8,87,070",Yes,percentage,1.0%,Nil,Nil,CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-TITLAGARH,BLGR-Online-06/2024-25,2025_CERWI_109196_5,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,08-Jan-2025 05:00 PM,21-Jan-2025 11:00 AM,08-Jan-2025 05:00 PM,20-Jan-2025 05:00 PM,08-Jan-2025 05:00 PM ,18-Jan-2025 05:00 PM ,08-Jan-2025 05:00 PM,20-Jan-2025 05:00 PM,01-May-2025 09:00 AM,"Chief Construction Engineer, R.W.Circle, Bolangir","O/o the Chief Construction Engineer, R.W.Circle, Bolangir",1.0,3rd Corrigendum,Other,,AOC,S Mahali,Internal,,Rajendra Majhi,01-Aug-2025 06:50 PM,finsummary_524667.pdf (114.33 KB),Technical,31 nos of bids download,Anupama Bishi,21-Jan-2025 07:02 PM,technical_524667.pdf,CE RW I||RWCIRCLE-BALANGIR||RWDIVISION-TITLAGARH,2025_CERWI_109196_5,BLGR-Online-06/2024-25,Construction of Road from RD road to Maraduguchha Road in the district of Subarnapur under MMSY-Improvement to Existing RD Roads for the year 2024-25,1.0,2764548.0,R S Infrastructure,INR,"88,706,817.33",1,2766645,ANKUSH PRASAD HOTA,20-Jan-2025 04:24 PM,Rejected-Technical,Insufficient Bid Capacity,23-Apr-2025 07:26 PM,01-Aug-2025,"INR 88,706,817.33",365.0,Rajendra Majhi,01-Aug-2025 06:53 PM,boqcomparativechart.pdf (114.00 KB),Success in lottery system,Finance,29 bids are download,Sukadev Mahali,01-May-2025 04:22 PM,finance_524667.pdf,BOQ Comparative Chart,S Mahali,Internal,,Sukadev Mahali,23-Apr-2025 07:26 PM,01-May-2025 09:00 AM,techsummary_524667.pdf (797.46 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Annual Turn Over, Similar Nature of Work and others documents as per DTCN",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,2766452,ARNS INFRAPROJECTS PRIVATE LIMITED,20-Jan-2025 04:13 PM,Rejected-Finance,Unsuccess in lottery system,01-Aug-2025 06:50 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,2742904,BALAMAKUNDA PUROHIT,20-Jan-2025 11:57 AM,Rejected-Finance,Unsuccess in lottery system,01-Aug-2025 06:50 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,2766156,BASANT AGRAWAL,20-Jan-2025 01:59 PM,Rejected-Technical,Undertaking for Installation of Hotmix Plant within 60 km not furnished,23-Apr-2025 07:26 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,2764223,B. K. Construction Co.,19-Jan-2025 10:36 AM,Rejected-Finance,Unsuccess in lottery system,01-Aug-2025 06:50 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,2765893,DEMANTI AGRAWAL,20-Jan-2025 12:23 PM,Rejected-Finance,Unsuccess in lottery system,01-Aug-2025 06:50 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,2766102,DHANESWAR SAHU,20-Jan-2025 02:01 PM,Rejected-Finance,Unsuccess in lottery system,01-Aug-2025 06:50 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,2764808,ER. MOHIT KUMAR JAIN,19-Jan-2025 06:32 PM,Rejected-Finance,Unsuccess in lottery system,01-Aug-2025 06:50 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,2764537,KL INFRABUILD PVT. LTD.,19-Jan-2025 02:55 PM,Rejected-Finance,Unsuccess in lottery system,01-Aug-2025 06:50 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,2766431,LAL MOHAN PANDA,20-Jan-2025 03:22 PM,Rejected-Finance,Unsuccess in lottery system,01-Aug-2025 06:50 PM,,,,,,,,,,,,,,,,,,,,,AOC
