Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
DH Electrical,Internal,,SAROJ KUMAR DASH,27-Feb-2025 06:30 PM,27-Feb-2025 06:35 PM,techsummary_514599.pdf (1479.90 KB),1.0,2641732.0,M/S. M.C.C. ASSOCIATES,INR,"619,884",IDCO||IDCO||IDCO,2024_IDCO_106453_1,BBSR/ELECT/e-116/24-25,"CONSTRUCTION OF 11 KV LINE FOR POWER SUPPLY TO M/S MAHAVIR ELECTRICAL OVER PLOT no.1H-16 UNDER GODISAHI ELECTRICAL SECTION AT RAMDASPUR IE,CUTTACK.",Finance,The financial bid opening of 3 nos technically qualified bidders are opened within stipulated date and time.,Sandeep Kumar Singh,16-Aug-2025 03:58 PM,,BOQ Comparative Chart,1,2641081,M/s Ellexo Transmission,12-Nov-2024 12:10 PM,Rejected-AOC,Rejected,16-Aug-2025 04:16 PM,Technical,Technical bid opened of 3 nos of bidder within stipulated date and time,SAROJ KUMAR DASH,27-Feb-2025 06:23 PM,technical_514599.pdf,16-Aug-2025,"INR 619,884",45.0,Sandeep Kumar Singh,16-Aug-2025 04:16 PM,Workorder.pdf (1481.00 KB),DH Electrical,Internal,"DH Electrical, Dy. Manager (Elect.), Dy. Manager (fin.) (Elect.), Jr. Engg. (Elect.)",Sandeep Kumar Singh,16-Aug-2025 04:07 PM,finsummary_514599.pdf (288.46 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,"Valid Electrical HT Contractor License issued by ELBO with experience in similar nature of work,PAN","CONSTRUCTION OF 11 KV LINE FOR POWER SUPPLY TO M/S MAHAVIR ELECTRICAL OVER PLOT no.1H-16 UNDER GODISAHI ELECTRICAL SECTION AT RAMDASPUR IE,CUTTACK.",CONSTRUCTION OF 11 KV LINE FOR POWER SUPPLY TO M/S MAHAVIR ELECTRICAL OVER PLOT NO. 1H-16 UNDER GODISAHI ELECTRICAL SECTION AT RAMDASPUR I.E. CUTTACK.,Please refer Tender documents. ,NA ,"7,29,190",Electrical Works,NA ,Tender,180.0,45.0,"RAMDASPUR IE,CUTTACK",754006.0,"DIVISIONAL HEAD ELCTRICAL DIVISION,IDCO ","DIVISIONAL HEAD ELCTRICAL DIVISION,IDCO 8th Floor IDCO Tower, Jannpath,Bhubaneswar ",08-Nov-2024 12:00 PM ,"Divisional Head ,Electrical Division",No ,No,1.0,ICICI BANK,"7,300",No,fixed,,Nil,Nil,"4,720",0.0,Nil,Nil,No,05-Nov-2024 06:20 PM,13-Nov-2024 04:00 PM,05-Nov-2024 06:20 PM,12-Nov-2024 05:00 PM,NA ,NA ,05-Nov-2024 06:20 PM,12-Nov-2024 05:00 PM,27-Feb-2025 06:35 PM,IDCO||IDCO||IDCO,BBSR/ELECT/e-116/24-25,2024_IDCO_106453_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"Divisional Head ,Electrical Division","DIVISIONAL HEAD ELCTRICAL DIVISION,IDCO 8th Floor IDCO Tower, Jannpath,Bhubaneswar",AOC
,,,,,,,,,,,,,,,,,,,,,,2,2641732,M/S. M.C.C. ASSOCIATES,12-Nov-2024 01:46 PM,Accepted-AOC,Accepted,16-Aug-2025 04:16 PM,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"RC, GST Registration Certificate, EPF, EPF Latest Challan and all other documents as per the DTCN",,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,2631991,T.RABIN KUMAR PATRO,11-Nov-2024 04:37 PM,Rejected-AOC,Rejected,16-Aug-2025 04:16 PM,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
