Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage
Finance,All the bids are downloaded successfully.,Sangram Keshari Mohanty,25-Jun-2025 11:01 AM,finance_541701.pdf,BOQ Comparative Chart,22-Aug-2025,"INR 297,113",120.0,Baikuntha Dalai,22-Aug-2025 01:47 PM,NID54.pdf (997.00 KB),"L1 bid of Sri RAMA CHANDRA SETHY selected through transparent lottery system accepted by the S.E., Nimapara Irrigation Division for award of contract.",1.0,2964152.0,RAMA CHANDRA SETHY,INR,"297,113","CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Nimapada Irr Division, Nimapada",2025_CELBB_113941_54,e-Procurement Notice No.- 01 of 2025-26,NID-54- Improvement to Narda Distributary R.D. 0.00Km. to 7.850Km.,1,2963553,ARUNDHATI PAL,12-Jun-2025 12:49 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,"Superintending Engineer, Nimapara Irrigation Division, Nimapara",Internal,"S.E, Nimapara Irrigation Division, Nimapara, DAO, Nimapara Irr. Division, AEE (Estimator),Nimapara Irr.Division, Nimapara",Sangram Keshari Mohanty,26-Jul-2025 01:46 PM,techsummary_541701.pdf (24.52 KB),"Superintending Engineer, Nimapara Irrigation Division, Nimapara",Internal,"S.E, Nimapara Irrigation Division, Nimapara, DAO, Nimapara Irr. Division, AEE (Estimator),Nimapara Irr.Division, Nimapara",Baikuntha Dalai,27-Jul-2025 12:31 PM,finsummary_541701.pdf (3046.59 KB),AOC,"2,000",0.0,Nil,Nil,No,"3,500",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,GSTIN PAN Contractor R.C Affidavits Undertakings and any other document as per SBD/DTCN,NID-54- Improvement to Narda Distributary R.D. 0.00Km. to 7.850Km.,Improvement to Narda Distributary R.D. 0.00Km. to 7.850Km.,Please refer Tender Documents ,NA ,"3,49,503",Civil Works - Canal,Canal ,Tender,90.0,120.0,Nimapara,752106.0,NA ,NA ,NA ,"S.E., Nimapara Irr Divn. Nimapara",No ,No,"CE-BM,LMB Basin,BBSR||SE, Central Irr.Circle, BBSR||EE,Nimapada Irr Division, Nimapada",e-Procurement Notice No.- 01 of 2025-26,2025_CELBB_113941_54,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,02-Jun-2025 11:00 AM,16-Jun-2025 11:00 AM,02-Jun-2025 11:00 AM,13-Jun-2025 05:30 PM,02-Jun-2025 11:00 AM ,10-Jun-2025 05:30 PM ,02-Jun-2025 11:00 AM,13-Jun-2025 05:30 PM,"Superintending Engineer., Nimapara Irr Divn.","Office of the Superintending Engineer Nimapara Irrigation Division, Nimapara Dist- Puri",AOC
,,,,,,,,,,,,,,,,,,,,,,2,2965438,ASHOK KUMAR SENAPATY,13-Jun-2025 01:02 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,2965052,BANABIBHARI NAYAK,13-Jun-2025 07:07 AM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,2963851,BAPINA SAHOO,12-Jun-2025 02:03 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,2960500,BISWANATH TRIPATHY,11-Jun-2025 10:14 AM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,2961553,B.N CONSTRUCTION,11-Jun-2025 02:14 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,2964953,DD Enterprisers,13-Jun-2025 12:50 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,2962002,HEMANTA KUMAR MOHANTY,13-Jun-2025 06:41 AM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,2956480,HRUDANANDA MISHRA,09-Jun-2025 10:02 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,2963545,JAGANATH SAHOO,12-Jun-2025 12:56 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,11,2965351,JAY MAHADEV CONSTRUCTION,13-Jun-2025 01:59 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,12,2964700,JHILLI MALLICK,12-Jun-2025 07:31 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,13,2965867,JYOTI RANJAN PAIKARAY,13-Jun-2025 04:37 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,14,2965806,JYOTIRMAI PATRA,13-Jun-2025 04:09 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,15,2965796,KABI CHANDRA SETHI,13-Jun-2025 04:07 PM,Rejected-Finance,Not won in the transparent Lottery,27-Jul-2025 12:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
