Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Municipal Bodies||Brahmapur Municipal Corporation,BMC(BAM)/ 304/2025/2026,2025_ORULB_113433_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Const. Of Community hall in front of Juria Rice Mill in ward no .24,Const. Of Community hall in front of Juria Rice Mill in ward no .24,Please refer tender documents ,NA ,"4,23,783",Civil Works - Others,NA ,Tender,90.0,60.0,"Berhampur Municipal Corporation, Berhampur",760002.0,NA ,NA ,NA ,"Berhampur Municipal Corporation, Berhampur",No ,No,"2,360",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GST, AFFIDAVIT, REGISTRTION, BID COST, EMD ETC AS PER DTCN",17-May-2025 03:00 PM,03-Jun-2025 11:30 AM,17-May-2025 03:00 PM,02-Jun-2025 05:00 PM,17-May-2025 03:00 PM ,28-May-2025 02:00 PM ,17-May-2025 03:00 PM,02-Jun-2025 05:00 PM,"Commissioner,","Berhampur Municipal Corporation, Berhampur",1,ICICI BANK,"4,238",Yes,fixed,,Nil,Nil,AOC,1,2944084,Hina Pradhan,30-May-2025 07:07 PM,Rejected-Finance,Rejected,04-Aug-2025 12:20 PM,04-Aug-2025,"INR 423,783.34",60.0,Susanta Dung Dung,04-Aug-2025 12:26 PM,304_4_1.pdf (390.00 KB),As per estimated rate,Commissioner,Internal,City Engineer Executive Engineer Junior Engineer,Susanta Dung Dung,04-Aug-2025 12:11 PM,techsummary_539678.pdf (505.04 KB),Commissioner,Internal,City Engineer Executive Engineer Junior Engineer,Susanta Dung Dung,04-Aug-2025 12:20 PM,finsummary_539678.pdf (378.37 KB),Municipal Bodies||Brahmapur Municipal Corporation,2025_ORULB_113433_4,BMC(BAM)/ 304/2025/2026,Const. Of Community hall in front of Juria Rice Mill in ward no .24,1.0,2944073.0,Namita Kumari Sahu,INR,"423,783",Finance,Admitted,Susanta Dung Dung,03-Jun-2025 01:44 PM,finance_539678.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,AOC,2,2944073,Namita Kumari Sahu,30-May-2025 07:00 PM,Accepted-AOC,Accepted,04-Aug-2025 12:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
