S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,2676052.0,SRI ANIRUDHA BEHERA,INR,"6,014,831",SUMIT SAURAV SAHU,Internal,SAMIRAN NANDY AMARNATH SUBUDHI,S. AMARNATH SUBUDHI,01-Aug-2025 04:38 PM,finsummary_516219.pdf (1510.98 KB),EIC-CIVIL||SERNB-CIRCLE-EASTERN||EERNB-DIVN-RAIRANGPUR,2024_EICCL_107002_5,IFB SE 34 OF 2024-25,"Construction of Need Based infrastructure of Paddy Procurement Centre at Nuagaoni under Halda-Bhalubasa Lampcs , Rairangpur Block in the District of Mayurbhanj, for 2024-25",Technical,SEVEN NOS BIDS OPENED FOR TECHNICAL EVALUATION,S. AMARNATH SUBUDHI,07-Dec-2024 02:08 PM,,Finance,CS,S. AMARNATH SUBUDHI,01-Aug-2025 04:35 PM,finance_516219.pdf,BOQ Comparative Chart,ROHAN GOURAV RAY,Internal,SAMIRAN NANDY AMARNATH SUBUDHI,S. AMARNATH SUBUDHI,05-May-2025 11:50 AM,06-May-2025 11:00 AM,techsummary_516219.pdf (7098.44 KB),1,2675519,AMARENDRA MOHANTA,02-Dec-2024 03:35 PM,Rejected-Technical,DISQUALIFIED,05-May-2025 11:50 AM,01-Aug-2025,"INR 6,014,831",120.0,S. AMARNATH SUBUDHI,01-Aug-2025 04:41 PM,HALDAWO.pdf (712.00 KB),WORK ORDER ISSUED TO SRI ANIRUDHA BEHERA,AOC,"10,000",0.0,Nil,Nil,No,"70,800",Yes,fixed,,Nil,Nil,22-Nov-2024 10:00 AM,03-Dec-2024 11:00 AM,22-Nov-2024 10:00 AM,02-Dec-2024 04:00 PM,22-Nov-2024 10:00 AM ,02-Dec-2024 04:00 PM ,22-Nov-2024 10:00 AM,02-Dec-2024 04:00 PM,06-May-2025 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,ONLINE TRANSFER TOWARDS COST OF BID DOCUMENTS AND EMD,S.E RAIRANGPUR R AND B DIVISION,O/O THE S.E RAIRANGPUR R AND B DIVISION,EIC-CIVIL||SERNB-CIRCLE-EASTERN||EERNB-DIVN-RAIRANGPUR,IFB SE 34 OF 2024-25,2024_EICCL_107002_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"Construction of Need Based infrastructure of Paddy Procurement Centre at Nuagaoni under Halda-Bhalubasa Lampcs , Rairangpur Block in the District of Mayurbhanj, for 2024-25",BUILDING WORK,Please refer Tender documents. ,NA ,"70,75,400",Civil Works - Buildings,NA ,Tender,90.0,120.0,RAIRANGPUR,757043.0,NA ,NA ,NA ,O/O THE S.E RAIRANGPUR R AND B DIVISION,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2675534,DEBASHISH NAYAK,02-Dec-2024 03:46 PM,Rejected-AOC,L1,01-Aug-2025 04:41 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,"CONTRACTOR LICENCE, GSTIN AND PAN CARD",,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2675385,DEEPAK KUMAR MOHANTY,02-Dec-2024 01:33 PM,Rejected-AOC,L1,01-Aug-2025 04:41 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,MACHINERIES AND OTHER DOCUMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2675521,RAHUL SWAMI,02-Dec-2024 01:19 PM,Rejected-AOC,L1,01-Aug-2025 04:41 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2675989,SARBESWAR MOHANTA,02-Dec-2024 03:00 PM,Rejected-AOC,L1,01-Aug-2025 04:41 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2676052,SRI ANIRUDHA BEHERA,02-Dec-2024 03:42 PM,Accepted-AOC,L1 LOTTERY WINNER,01-Aug-2025 04:41 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2669824,SUBRAT KUMAR BEHERA,28-Nov-2024 02:20 PM,Rejected-AOC,L1,01-Aug-2025 04:41 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
