S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Stage
1.0,2885683.0,BISWA PRAKASH BEHERA,INR,"2,899,006","Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI,Division, Bhubaneswar",2025_OLIC_112212_6,BID NO-740/2024-25 DT.02.04.2025,REVIVAL AND RE-ENERGISATION OF NALIBASANTA-I II V AND VI LIP UNDER DELANGA BLOCK OF PURI DISTRICT UNDER PLAN FUND 2024-25,Sujit Kumar Mohanty,Internal,"EE,ESTR,DA",SUJIT KUMAR MOHANTY,19-May-2025 01:18 PM,techsummary_535394.pdf (1204.61 KB),Finance,TENDER OPENED12345678 1,SUJIT KUMAR MOHANTY,17-Apr-2025 01:36 PM,finance_535394.pdf,BOQ Comparative Chart,Sujit Kumar Mohanty,Internal,"EE,ESTR,DA",SUJIT KUMAR MOHANTY,19-Aug-2025 12:45 PM,finsummary_535394.pdf (1204.61 KB),19-Aug-2025,"INR 2,899,006",90.0,SUJIT KUMAR MOHANTY,19-Aug-2025 12:47 PM,Nalibasanta.pdf (1205.00 KB),WORK ORDER AND AGREEMENT COMPLETED,1,2884199,AGRAWALLA POWER INFRASTRUCTURE,16-Apr-2025 09:18 AM,Rejected-Technical,Rejected,19-May-2025 01:18 PM,AOC,1.0,ICICI BANK,REVIVAL AND RE-ENERGISATION OF NALIBASANTA-I II V AND VI LIP UNDER DELANGA BLOCK OF PURI DISTRICT UNDER PLAN FUND 2024-25,REVIVAL AND RE-ENERGISATION OF NALIBASANTA-I II V AND VI LIP UNDER DELANGA BLOCK OF PURI DISTRICT UNDER PLAN FUND 2024-25,Please refer Tender Documents ,NA ,"30,51,264",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,DELANGA,752001.0,NA ,NA ,NA ,EE LI DIVISION BHUBANESWAR,No ,No,Executive Engineer,EE LI DIVISION BHUBANESWAR,"7,080",0.0,Nil,Nil,Yes,"30,513",Yes,percentage,1.0%,Nil,Nil,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI,Division, Bhubaneswar",BID NO-740/2024-25 DT.02.04.2025,2025_OLIC_112212_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,07-Apr-2025 10:00 AM,17-Apr-2025 11:00 AM,07-Apr-2025 10:00 AM,16-Apr-2025 05:00 PM,07-Apr-2025 10:00 AM ,15-Apr-2025 05:00 PM ,07-Apr-2025 10:00 AM,16-Apr-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,TENDER PAPER COST EMD AND ALL OTHER DOCUMENTS AS PER DTCN,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2885564,BIKRAM KESHARI PATTANAIK,16-Apr-2025 12:50 PM,Rejected-Finance,REJECTED,19-Aug-2025 12:45 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2885683,BISWA PRAKASH BEHERA,16-Apr-2025 11:43 AM,Accepted-AOC,WORK ORDER AND AGREEMENT COMPLETED,19-Aug-2025 12:47 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2885463,GITANJALI SARANGI PROPRIETOR- GITANJALI ENTERPRISES,16-Apr-2025 12:25 PM,Rejected-Technical,Rejected,19-May-2025 01:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2885059,MADAN MOHAN BASTIA,15-Apr-2025 04:44 PM,Rejected-Finance,REJECTED,19-Aug-2025 12:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2885218,MODERN WINDING AND ELECTRICALS,15-Apr-2025 07:07 PM,Rejected-Finance,REJECTED,19-Aug-2025 12:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2886099,M/S. BALIYARSINGH ELECTRICAL ENGINEERING & CONSTRUCTION,16-Apr-2025 02:27 PM,Rejected-Technical,Rejected,19-May-2025 01:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2885844,M/S DILIP KUMAR SAHOO,16-Apr-2025 12:42 PM,Rejected-Technical,Rejected,19-May-2025 01:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2882794,M/S. M.C.C. ASSOCIATES,12-Apr-2025 04:55 PM,Rejected-Finance,REJECTED,19-Aug-2025 12:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2885790,M/S SHREELAXMI ENTERPRISERS,16-Apr-2025 12:24 PM,Rejected-Finance,REJECTED,19-Aug-2025 12:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2885740,N CHHATOI GULSON NANDA,16-Apr-2025 01:38 PM,Rejected-Technical,Rejected,19-May-2025 01:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2884227,PRADEEP KUMAR AGRAWALLA,16-Apr-2025 01:25 PM,Rejected-Technical,Rejected,19-May-2025 01:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2886024,PRAKASH CHANDRA BARIK,16-Apr-2025 01:44 PM,Rejected-Technical,Rejected,19-May-2025 01:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2885035,PRAKASH CHANDRA DASH,15-Apr-2025 04:40 PM,Rejected-Technical,Rejected,19-May-2025 01:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2886054,PRANAB KUMAR BEHERA,16-Apr-2025 01:53 PM,Rejected-Finance,REJECTED,19-Aug-2025 12:45 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2885448,RAJIBA LOCHAN BEHERA,16-Apr-2025 03:18 AM,Rejected-Technical,Rejected,19-May-2025 01:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,2886326,SUBHASHREE SWAIN,16-Apr-2025 04:13 PM,Rejected-Technical,Rejected,19-May-2025 01:18 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
