Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Finance,total 24 bidders accepted,Lambodar Naik,13-Jan-2025 12:14 PM,,BOQ Comparative Chart,16-Aug-2025,"INR 714,050",30.0,Lambodar Naik,16-Aug-2025 03:40 PM,19.pdf (408.00 KB),CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,2024_CERWI_108814_19,TCN 08 of 2024-25,SR to Mangalpur to Sahidnagar Road for the year 2024-25 in the district of Bhadrak.,1.0,2725510.0,Santosh Bharati,INR,"714,050",1,2727308,ABINASH BEHERA,03-Jan-2025 09:39 PM,Rejected-AOC,rejected,16-Aug-2025 03:40 PM,Executive Engineer,Internal,,Lambodar Naik,16-Aug-2025 03:33 PM,techsummary_522310.pdf (283.66 KB),Executive Engineer,Internal,,Lambodar Naik,16-Aug-2025 03:36 PM,finsummary_522310.pdf (283.66 KB),AOC,1.0,ICICI BANK,SR to Mangalpur to Sahidnagar Road for the year 2024-25 in the district of Bhadrak.,SR to Mangalpur to Sahidnagar Road for the year 2024-25 in the district of Bhadrak.,Please refer Tender documents. ,NA ,"8,40,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/O the EE R.W.DIVISION-II,BHADRAK",No ,No,CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,TCN 08 of 2024-25,2024_CERWI_108814_19,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Superintending Engineer,"O/O the EE R.W.DIVISION-II,BHADRAK",1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST, EMD,,CONTRACTOR REGISTRATION CERTIFICATE,PAN,GSTIN,AFFIDAVIT,ETC","4,000",0.0,Nil,Nil,No,"8,400",Yes,percentage,1.0%,Nil,Nil,27-Dec-2024 06:50 PM,06-Jan-2025 11:00 AM,27-Dec-2024 06:50 PM,04-Jan-2025 04:00 PM,27-Dec-2024 06:50 PM ,04-Jan-2025 03:00 PM ,27-Dec-2024 06:50 PM,04-Jan-2025 04:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,2,2721339,Ajit Kumar Lenka,01-Jan-2025 10:50 PM,Rejected-AOC,rejected,16-Aug-2025 03:40 PM,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER DOCUMENTS AS PER DTCN,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,3,2724289,ANNAPURNA GHOSH,03-Jan-2025 07:06 AM,Rejected-AOC,rejected,16-Aug-2025 03:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,2723256,BAIDHAR BHARATI,02-Jan-2025 08:59 PM,Rejected-AOC,rejected,16-Aug-2025 03:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,2727209,Basanta Kumar Barik,04-Jan-2025 02:26 PM,Rejected-AOC,rejected,16-Aug-2025 03:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,2720836,BISHNU CHARAN MOHAPATRA,01-Jan-2025 05:18 PM,Rejected-AOC,rejected,16-Aug-2025 03:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,2724806,Chitaranjan Nayak,03-Jan-2025 11:18 AM,Rejected-AOC,rejected,16-Aug-2025 03:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,2727024,DAMAYANTI ROUT,03-Jan-2025 08:37 PM,Rejected-AOC,rejected,16-Aug-2025 03:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,2728604,Damodar Nayak,04-Jan-2025 02:15 PM,Rejected-AOC,rejected,16-Aug-2025 03:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,2726094,Debakanta Sahoo,04-Jan-2025 12:54 AM,Rejected-AOC,rejected,16-Aug-2025 03:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
