S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1,ICICI BANK,Upgradation of PSH Building at Rangamatia School under Kusumi Block.,Upgradation of PSH Building at Rangamatia School under Kusumi Block.,As per tender documents. ,NA ,"57,37,109",Civil Works - Buildings,NA ,Tender,90.0,180.0,Rangamatia,757050.0,NA ,NA ,NA ,"ITDA, Rairangpur",No ,No,"Project Administrator, ITDA, Rairangpur","At-Ward No-03, Mandir Sahi, PO/PS-Rairangpur, Dist-Mayurbhanj","57,371",Yes,percentage,1.0%,Nil,Nil,24-Jun-2025 06:00 PM,15-Jul-2025 11:00 AM,24-Jun-2025 06:00 PM,14-Jul-2025 05:30 PM,NA ,NA ,24-Jun-2025 06:00 PM,14-Jul-2025 05:30 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,ST and SC Development Deptt||ITDA Rairangpur,TCN02/2025-26,2025_STSCD_114749_14,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,AOC,JogaranjanNayak,Mixed,AmarNathSubudhiAEEstimatroGulsandevMarkamAEEManojkumarBindhaniJEArupanandaParamanikPEJnanendraKumarSamalADWOPrakashRanjanDuttaSOSureshKumarMajhiSRA,Jogaranjan Nayak,21-Aug-2025 11:57 AM,techsummary_544106.pdf (532.97 KB),Jogaranjannayak,Mixed,AmarNathSubudhiAEEstimatroGulsandevMarkamAEEManojkumarBindhaniJEArupanandaParamanikPEJnanendraKumarSamalADWOPrakashRanjanDuttaSOSureshKumarMajhiSRA,Jogaranjan Nayak,21-Aug-2025 12:00 PM,finsummary_544106.pdf (532.97 KB),Finance,Accepted this tender Work SI.No. 14 of Bid Identification No. 02/2025-26 due to more than one bidders are participating. Evaluation or scrutinization is to be taken up after opening of technical bid with all criteria.,Jogaranjan Nayak,21-Aug-2025 11:46 AM,finance_544106.pdf,BOQ Comparative Chart,21-Aug-2025,"INR 4,877,116.36",180.0,Jogaranjan Nayak,21-Aug-2025 12:03 PM,AOCdetails02202526.pdf (2883.00 KB),"Deepak Kumar Mohanty B Class Contractor selected as valid and L1 in transparent lottery system and he has been deposited EMD, ISD and APSD as per OPWD Code and work order has been issued accordingly",1,2995876,DEEPAK KUMAR MOHANTY,11-Jul-2025 08:30 PM,Accepted-AOC,Lottery Winner L1,21-Aug-2025 12:03 PM,ST and SC Development Deptt||ITDA Rairangpur,2025_STSCD_114749_14,TCN02/2025-26,Upgradation of PSH Building at Rangamatia School under Kusumi Block.,1.0,2995876.0,DEEPAK KUMAR MOHANTY,INR,"4,877,116.36",AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2,2999095,RAJESH KUMAR TARAI,14-Jul-2025 02:41 PM,Rejected-AOC,L1,21-Aug-2025 12:03 PM,,,,,,,,,,AOC
