Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"6,000",Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GSTIN, RC, Documents related to EMD exemption",Superintending Engineer,"O/o the SE, Kendrapara Irr. Division, Kendrapara",16-Feb-2025 09:00 AM,25-Feb-2025 11:00 AM,16-Feb-2025 09:00 AM,24-Feb-2025 05:00 PM,16-Feb-2025 09:00 AM ,21-Feb-2025 05:00 PM ,16-Feb-2025 09:00 AM,24-Feb-2025 05:00 PM,"12,700",Yes,fixed,,Nil,Nil,CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Kendrapara Irr Div Kendrapara,e-Procurement Notice No.KID-04 of 2024-25,2025_KIRRD_110670_59,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,KID-149 of 2024-25 Improvement to Indupur gherry from RD 4.920 km to 5.172 km near village Gandasahi.,Improvement to Indupur gherry,Please refer Tender documents. ,NA ,"12,66,997",Civil Works - Others,NA ,Tender,90.0,120.0,Kendrapara,754211.0,NA ,NA ,NA ,"O/o the SE, Kendrapara Irr. Division, Kendrapara",No ,No,AOC,"Superintending Engineer, Kendrapara Irrigation Division",Internal,"Estimator and DAO, Kendrapara Irrigation Division",Gorasasi Sahoo,31-Aug-2025 02:56 PM,finsummary_530537.pdf (476.82 KB),"Superintending Engineer, Kendrapara Irrigation Division",Internal,"Estimator and DAO, Kendrapara Irrigation Division",Gorasasi Sahoo,13-May-2025 09:44 PM,techsummary_530537.pdf (424.91 KB),31-Aug-2025,"INR 1,077,073.97",120.0,Gorasasi Sahoo,31-Aug-2025 02:57 PM,149.pdf (477.00 KB),Contract Awarded,1,2831781,AKSHAYA KUMAR PARIDA,23-Feb-2025 02:29 AM,Rejected-Technical,Did not satisfy as per DTCN,13-May-2025 09:44 PM,1.0,2832939.0,SUBHALAXMI MOHAPATRA,INR,"1,077,073.97",CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Kendrapara Irr Div Kendrapara,2025_KIRRD_110670_59,e-Procurement Notice No.KID-04 of 2024-25,KID-149 of 2024-25 Improvement to Indupur gherry from RD 4.920 km to 5.172 km near village Gandasahi.,Finance,Uploaded tender documents of all the bidders have been downloaded successfully.,Gorasasi Sahoo,01-Mar-2025 01:36 PM,finance_530537.pdf,BOQ Comparative Chart,AOC
,,,,2.0,ICICI NEFT/RTGS,,,.pdf,"Affidavits, No Relation Certificate, undertakings and any other document as per SBD/DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,2835446,JAGABANDHU MOHANTY,24-Feb-2025 03:53 PM,Rejected-Technical,Did not satisfy as per DTCN,13-May-2025 09:44 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,3,2833939,MURALIDHAR SAHOO,24-Feb-2025 02:16 AM,Rejected-Technical,Did not satisfy as per DTCN,13-May-2025 09:44 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,4,2828673,NAMITA PARIDA,21-Feb-2025 09:09 AM,Rejected-Technical,Did not satisfy as per DTCN,13-May-2025 09:44 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,5,2833966,RAJIB GANDHI,24-Feb-2025 02:55 AM,Rejected-Technical,Did not satisfy as per DTCN,13-May-2025 09:44 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,6,2829783,SANTOSH KUMAR JENA,21-Feb-2025 07:38 PM,Rejected-Technical,Did not satisfy as per DTCN,13-May-2025 09:44 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,7,2833935,SHAKUNTALA BEHERA,24-Feb-2025 01:34 AM,Rejected-Technical,Did not satisfy as per DTCN,13-May-2025 09:44 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,8,2832861,SILU KUMAR SETHI,23-Feb-2025 04:44 PM,Rejected-Technical,Did not satisfy as per DTCN,13-May-2025 09:44 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,9,2830447,SIRAJ KHAN,22-Feb-2025 12:34 PM,Rejected-Technical,Did not satisfy as per DTCN,13-May-2025 09:44 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,10,2834222,SRIDEVI JENA,24-Feb-2025 09:53 AM,Rejected-Technical,Did not satisfy as per DTCN,13-May-2025 09:44 PM,,,,,,,,,,,,,,,,AOC
