Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
Finance,Document downloaded and process for scrutiny.,Anil Kumar Das,13-Jun-2025 03:03 PM,finance_540728.pdf,BOQ Comparative Chart,1.0,2947109.0,DUSILA SAHU,INR,"599,325",CE RW I||SE RW PH CIRCLE BBSR||EE RW PH DIVN. BBSR,2025_CERWI_113695_14,EERWPH-10/2025-26,"PH works(SI,SD AND WS) to Sub centre building at Bhalegaon of Titilagarh block in Balangir Dist in the F.Y.-2023-24",1,2951318,ASHOK KUMAR JOSHI,04-Jun-2025 04:00 PM,Rejected-Finance,Not Qualified in Transparency lottery,29-Jul-2025 01:30 PM,29-Jul-2025,"INR 599,325",90.0,Anil Kumar Das,01-Aug-2025 01:36 PM,4665.pdf (309.00 KB),Executive Engineer,Internal,,Anil Kumar Das,21-Jun-2025 03:36 PM,techsummary_540728.pdf (367.70 KB),Executive Engineer,Internal,,Anil Kumar Das,29-Jul-2025 01:30 PM,finsummary_540728.pdf (59.85 KB),AOC,"7,100",Yes,fixed,,Nil,Nil,CE RW I||SE RW PH CIRCLE BBSR||EE RW PH DIVN. BBSR,EERWPH-10/2025-26,2025_CERWI_113695_14,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid License Document as per tender class of contractor in NIT, GST, Certificate, PAN Card.",26-May-2025 11:00 AM,05-Jun-2025 11:00 AM,26-May-2025 11:00 AM,04-Jun-2025 05:00 PM,NA ,NA ,26-May-2025 11:00 AM,04-Jun-2025 05:00 PM,"4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"PH works(SI,SD AND WS) to Sub centre building at Bhalegaon of Titilagarh block in Balangir Dist in the F.Y.-2023-24","PH works(SI,SD AND WS) to Sub centre building at Bhalegaon of Titilagarh block in Balangir Dist in the F.Y.-2023-24",Please refer Tender documents. ,NA ,"7,05,005",Civil Works - Buildings,NA ,Tender,90.0,NA ,Bhalegaon,767033.0,NA ,NA ,NA ,"O/O THE SE RW (PH) DIVISION,BHUBANESWAR",No ,No,"Executive Engineer,RW (PH) Division, BBSR","SE RW (PH) DIVISION, BBSR Behind Esplande mall, Bomikhal, Rasulgarh,751010",AOC
,,,,,,,,,,,,,,,2,2951186,BINOD TANDI,04-Jun-2025 02:20 PM,Rejected-Finance,Not Qualified in Transparency lottery,29-Jul-2025 01:30 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,"EMD, Tender Paper cost, Affidavit for correctness and no Relation Certificate.",,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3,2947109,DUSILA SAHU,02-Jun-2025 11:51 AM,Accepted-AOC,Qualified in Transparency lottery,01-Aug-2025 01:36 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4,2950448,M/S ASHISH KUMAR THATI,04-Jun-2025 10:59 AM,Rejected-Finance,Not Qualified in Transparency lottery,29-Jul-2025 01:30 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5,2948004,NIRMALA BEHERA,02-Jun-2025 01:02 PM,Rejected-Finance,Not Qualified in Transparency lottery,29-Jul-2025 01:30 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6,2947446,PARAME ADJUAD,01-Jun-2025 10:52 PM,Rejected-Finance,Not Qualified in Transparency lottery,29-Jul-2025 01:30 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,7,2950030,PRADEEP KUMAR SAHOO,03-Jun-2025 07:04 PM,Rejected-Finance,Not Qualified in Transparency lottery,29-Jul-2025 01:30 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,8,2950232,RAHUL KUMAR SAHU,03-Jun-2025 06:16 PM,Rejected-Finance,Not Qualified in Transparency lottery,29-Jul-2025 01:30 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,9,2950108,RAJENDRA PANDA,04-Jun-2025 10:30 AM,Rejected-Finance,Not Qualified in Transparency lottery,29-Jul-2025 01:30 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,10,2948302,RAMAKANTA PATTANAIK,02-Jun-2025 06:51 PM,Rejected-Finance,Not Qualified in Transparency lottery,29-Jul-2025 01:30 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
