Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
City Engineer,Internal,"EECENTRALTENDERCELL,EEELECTRICALDIVISION,EEDRAINAGEDIVISION,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,12-Aug-2025 04:21 PM,techsummary_508074.pdf (126.79 KB),1,2569215,ABHIRAM CARETAKING AND EXPERT SERVICES,05-Oct-2024 08:45 PM,Rejected-Finance,Rejected,12-Aug-2025 04:26 PM,12-Aug-2025,"INR 2,845,246",365.0,Lipsa Parida,12-Aug-2025 04:29 PM,Work_order_23.pdf (465.00 KB),1.0,2569304.0,Binori Caretaking Pvt Ltd.,INR,"2,845,246",Finance,2 bids opened successfully,Taras Marandi,07-Oct-2024 04:08 PM,finance_508074.pdf,BOQ Comparative Chart,City Engineer,Internal,"EECENTRALTENDERCELL,EEELECTRICALDIVISION,EEDRAINAGEDIVISION,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,12-Aug-2025 04:26 PM,finsummary_508074.pdf (112.42 KB),Municipal Bodies||Bhubaneswar Municipal Corporation,2024_ORULB_105289_1,BMC-EE-Tender Cell-23/2024-25 Dt. 27.09.2024,Providing manpower 10 nos. skilled ITI (Electrical) personnel for maintenance of street light work of BMC for the year 2024-25.,AOC,Providing manpower 10 nos. skilled ITI (Electrical) personnel for maintenance of street light work of BMC for the year 2024-25.,Providing manpower 10 nos. skilled ITI (Electrical) personnel for maintenance of street light work of BMC for the year 2024-25.,Please refer Tender documents. ,NA ,"25,84,656",Human Resources Supply,NA ,Tender,180.0,365.0,BMC AREA,751022.0,"CITY ENGINEER CHAMBER,BMC ","CITY ENGINEER CHAMBER,BMC ",04-Oct-2024 11:30 AM ,"CENTRAL TENDERCELL,BMC",No ,No,"7,080",0.0,Nil,Nil,No,30-Sep-2024 03:00 PM,07-Oct-2024 04:00 PM,30-Sep-2024 03:00 PM,07-Oct-2024 03:00 PM,30-Sep-2024 03:00 PM ,03-Oct-2024 11:00 AM ,30-Sep-2024 03:00 PM,07-Oct-2024 03:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,scanned copy of all documents,"EXECUTIVE ENGINEER CENTRAL TENDERCELL,BMC","CENTRAL TENDERCELL,ICOMC TOWER,BMC","25,900",Yes,fixed,,Nil,Nil,Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-Tender Cell-23/2024-25 Dt. 27.09.2024,2024_ORULB_105289_1,Yes,Open Tender,Percentage,Services,1.0,No,No,Online,No,No,No,1,ICICI BANK,AOC
,,,,,,2,2569304,Binori Caretaking Pvt Ltd.,06-Oct-2024 09:09 PM,Accepted-AOC,L1 bidder,12-Aug-2025 04:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC
