Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
25-Aug-2025,"INR 4,622,994.27",180.0,Jogaranjan Nayak,25-Aug-2025 06:12 PM,AOCdetails02202526.pdf (2883.00 KB),Shyam Charan Soren B Class Diploma Engineer Contractor selected as valid and L1 in transparent lottery system and he has been deposited APSD as per OPWD Code and work order has been issued accordingly,1.0,2997295.0,SHYAM CHARAN SOREN,INR,"4,622,994.27",ST and SC Development Deptt||ITDA Rairangpur,2025_STSCD_114749_32,TCN02/2025-26,Upgradation of PSH Building at Dandbose School under Rairangpur Block.,1,2998541,ABHISEK KUMAR MOHANTY,14-Jul-2025 09:45 AM,Rejected-AOC,L1,25-Aug-2025 06:12 PM,Finance,Accepted this tender Work SI.No. 32 of Bid Identification No. 02/2025-26 due to more than one bidders are participating. Evaluation or scrutinization is to be taken up after opening of technical bid with all criteria.,Jogaranjan Nayak,25-Aug-2025 05:59 PM,finance_544126.pdf,BOQ Comparative Chart,Jogaranjannayak,Mixed,AmarNathSubudhiAEEstimatroGulsandevMarkamAEEManojkumarBindhaniJEArupanandaParamanikPEJnanendraKumarSamalADWOPrakashRanjanDuttaSOSureshKumarMajhiSRA,Jogaranjan Nayak,25-Aug-2025 06:07 PM,finsummary_544126.pdf (532.97 KB),Jogaranjannayak,Mixed,AmarNathSubudhiAEEstimatroGulsandevMarkamAEEManojkumarBindhaniJEArupanandaParamanikPEJnanendraKumarSamalADWOPrakashRanjanDuttaSOSureshKumarMajhiSRA,Jogaranjan Nayak,25-Aug-2025 06:04 PM,techsummary_544126.pdf (532.97 KB),AOC,1.0,ICICI BANK,ST and SC Development Deptt||ITDA Rairangpur,TCN02/2025-26,2025_STSCD_114749_32,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Upgradation of PSH Building at Dandbose School under Rairangpur Block.,Upgradation of PSH Building at Dandbose School under Rairangpur Block.,As per tender documents. ,NA ,"54,38,177",Civil Works - Buildings,NA ,Tender,90.0,180.0,Dandbose School,757043.0,NA ,NA ,NA ,"ITDA, Rairangpur",No ,No,24-Jun-2025 06:00 PM,15-Jul-2025 11:00 AM,24-Jun-2025 06:00 PM,14-Jul-2025 05:30 PM,NA ,NA ,24-Jun-2025 06:00 PM,14-Jul-2025 05:30 PM,"54,382",Yes,percentage,1.0%,Nil,Nil,"10,000",0.0,Nil,Nil,No,"PA, ITDA, Rairangpur","At-Ward No-03, Mandir Sahi, PO/PS-Rairangpur, Dist-Mayurbhanj",1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,AOC
,,,,,,,,,,,,,,,,2,2999089,BARENDRA KRISHNA MATAGAJSINGH,14-Jul-2025 02:36 PM,Rejected-AOC,L1,25-Aug-2025 06:12 PM,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,3,2999054,DEBASHISH NAYAK,14-Jul-2025 02:21 PM,Rejected-AOC,L1,25-Aug-2025 06:12 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4,2995896,DEEPAK KUMAR MOHANTY,11-Jul-2025 08:26 PM,Rejected-AOC,L1,25-Aug-2025 06:12 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5,2997481,HIMANSU NARAYAN BARIK,12-Jul-2025 07:05 PM,Rejected-AOC,L1,25-Aug-2025 06:12 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,6,2998636,KAMALA KANTA NAYAK,14-Jul-2025 12:00 PM,Rejected-AOC,L1,25-Aug-2025 06:12 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,7,2996773,SANATAN MOHANTA,12-Jul-2025 04:56 PM,Rejected-AOC,L1,25-Aug-2025 06:12 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,8,2997949,SARBESWAR MOHANTA,13-Jul-2025 01:50 PM,Rejected-AOC,L1,25-Aug-2025 06:12 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,9,2998047,SHIVASHISH SAHU,13-Jul-2025 04:24 PM,Rejected-AOC,L1,25-Aug-2025 06:12 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,10,2997295,SHYAM CHARAN SOREN,12-Jul-2025 03:48 PM,Accepted-AOC,Lottery Winner L1,25-Aug-2025 06:12 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
