Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Municipal Bodies||Kendrapara Municipality,01/KM 2024-25,2024_ORULB_105463_28,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of drain with cover slab and Paver Block road from Sk Kamiruddin house to Kabaristan in ward No-07,Construction of drain with cover slab and Paver Block road from Sk Kamiruddin house to Kabaristan in ward No-07,Please refer Tender documents. ,NA ,"6,59,977",Civil Works - Roads,NA ,Tender,120.0,60.0,kendrapara municipality,754211.0,NA ,NA ,NA ,kendrapara mpl,No ,No,1.0,ICICI BANK,"4,000",0.0,Nil,Nil,No,executive officer,kendrapara mpl,1.0,Fee/PreQual/Technical/Finance,.pdf,documents as per dtcn,"6,600",Yes,percentage,1.0%,Nil,Nil,15-Oct-2024 04:00 PM,28-Oct-2024 11:00 AM,15-Oct-2024 04:00 PM,26-Oct-2024 05:00 PM,15-Oct-2024 04:00 PM ,26-Oct-2024 05:00 PM ,15-Oct-2024 04:00 PM,26-Oct-2024 05:00 PM,AOC,Chairperson,Internal,JEMEEOCP,Suryakanta Nayak,11-Aug-2025 05:54 PM,techsummary_509695.pdf (577.72 KB),Chairperson,Internal,JEMEEOCP,Suryakanta Nayak,11-Aug-2025 06:00 PM,finsummary_509695.pdf (577.72 KB),Finance,All the bidders are accepted,Suryakanta Nayak,11-Aug-2025 10:18 AM,,BOQ Comparative Chart,Municipal Bodies||Kendrapara Municipality,2024_ORULB_105463_28,01/KM 2024-25,Construction of drain with cover slab and Paver Block road from Sk Kamiruddin house to Kabaristan in ward No-07,1.0,2591780.0,AMZAD KHAN,INR,"640,178.08",1,2591780,AMZAD KHAN,23-Oct-2024 09:32 PM,Accepted-AOC,AMZAD KHAN IS THE LOWEST BIDDER,11-Aug-2025 06:05 PM,11-Aug-2025,"INR 640,178.08",60.0,Suryakanta Nayak,11-Aug-2025 06:05 PM,amzad.pdf (578.00 KB),Amzad Khan is the lowest one,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,.xls,boq,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2591788,JAYANTI SAHOO,23-Oct-2024 09:49 PM,Rejected-Finance,Lowest Three,11-Aug-2025 06:00 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2590985,Kishore Kumar Singh,23-Oct-2024 09:00 PM,Rejected-Finance,Lowest Two,11-Aug-2025 06:00 PM,,,,,,,,AOC
