Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"2,000",0.0,Nil,Nil,No,1,ICICI BANK,Municipal Bodies||Bhadrak Municipality,BM-BDK-01-2025-26,2025_ORULB_112423_139,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,500",Yes,fixed,,Nil,Nil,"Executive Officer, Bhadrak Municipality","Executive Officer, Bhadrak Municipality",1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid document cost, EMD, GST, Registration Certificate, Affidavit and other documents as per DTC",Construction of Paver Road from Serauddin Khan House towards Mirza Ahisan House at Kazi Mohala Ward No-27.,Construction of Paver Road from Serauddin Khan House towards Mirza Ahisan House at Kazi Mohala Ward No-27.,Please refer Tender documents. ,NA ,"4,43,824",Civil Works - Others,NA ,Tender,90.0,90.0,Bhadrak Municipality,756100.0,NA ,NA ,NA ,"Executive Officer, Bhadrak Municipality",No ,No,17-Apr-2025 10:00 AM,29-Apr-2025 11:00 AM,17-Apr-2025 10:00 AM,28-Apr-2025 05:00 PM,NA ,NA ,17-Apr-2025 10:00 AM,28-Apr-2025 05:00 PM,AOC,1.0,2898138.0,Dayanidhi Mohapatra,INR,"443,824",Gulmaki Dalawzi,Internal,Details attached below,TAPASA KUMAR SAMAL,12-Aug-2025 07:38 PM,finsummary_536504.pdf (240.58 KB),Municipal Bodies||Bhadrak Municipality,2025_ORULB_112423_139,BM-BDK-01-2025-26,Construction of Paver Road from Serauddin Khan House towards Mirza Ahisan House at Kazi Mohala Ward No-27.,1,2898138,Dayanidhi Mohapatra,28-Apr-2025 02:24 PM,Accepted-AOC,Quoted first lowest,12-Aug-2025 07:40 PM,Gulmaki Dalawzi,Internal,Details attached below,TAPASA KUMAR SAMAL,12-Aug-2025 07:35 PM,techsummary_536504.pdf (240.58 KB),Finance,ok,TAPASA KUMAR SAMAL,03-May-2025 09:59 AM,,BOQ Comparative Chart,12-Aug-2025,"INR 443,824",90.0,TAPASA KUMAR SAMAL,12-Aug-2025 07:40 PM,139.pdf (920.00 KB),work order issued,AOC
,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2,2898245,Dinesh Mohapatra,28-Apr-2025 03:04 PM,Rejected-AOC,Quoted second lowest,12-Aug-2025 07:40 PM,,,,,,,,,,,,,,,,,,,,AOC
