Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Municipal Bodies||Balangir Municipality,BLGR MPTY/02(01-24)/2023-24,2023_ORULB_90025_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Executive Officer, Balangir Municipality","Office of the Municipal Council, Balangir","5,000",Yes,fixed,,Nil,Nil,1.0,1st CORRIGENDUM,Date,,26-Jun-2023 11:00 AM,11-Jul-2023 11:00 AM,26-Jun-2023 11:00 AM,10-Jul-2023 05:00 PM,NA ,NA ,26-Jun-2023 11:00 AM,10-Jul-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.xls,Bill of Quantity,1,ICICI BANK,"2,000",0.0,Nil,Nil,No,"Construction of Drain from Malpada School to Chaka Karan res, W.No.14",Construction of CC Drain work,Please refer Tender Documents ,NA ,"4,97,000",Civil Works - Others,NA ,Tender,120.0,60.0,Balangir Municipality,767001.0,NA ,NA ,NA ,"Office of the Municipal Council, Balangir",No ,No,AOC,Municipal Bodies||Balangir Municipality,2023_ORULB_90025_3,BLGR MPTY/02(01-24)/2023-24,"Construction of Drain from Malpada School to Chaka Karan res, W.No.14",1.0,2174561.0,BASANTA TRIPATHY,INR,"419,804.69","Lika Sahu, Chairperson, Balangir Municipality",Internal,"Chairperson,Executive Officer,Municipal Engineer, Asst.Engineer,Junior Engineer,Balangir Municipality",Biswambhar Mishra,19-Oct-2023 07:03 PM,techsummary_441926.pdf (90.16 KB),05-Aug-2025,"INR 419,804.69",60.0,Rojalisa Rout,05-Aug-2025 01:40 PM,wo3.pdf (671.00 KB),"Sri Basanta Tripathy Selected as L1 bidder for Construction of Drain from Malpada School to Chaka Karan res, W.No.14","Lika Sahu,Chairperson",Internal,"Chairperson, Executive Officer, Municipal Engineer, Junior Engineer",Rojalisa Rout,05-Aug-2025 01:36 PM,finsummary_441926.pdf (613.22 KB),Finance,2 Nos. of bidders are participated,Biswambhar Mishra,14-Jul-2023 04:42 PM,,BOQ Comparative Chart,1,2174561,BASANTA TRIPATHY,09-Jul-2023 11:14 PM,Accepted-AOC,L1,05-Aug-2025 01:40 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Online proof tender paper cost,EMD, GSTIN, PAN, RC,Affidavit and any others documents as per DTCN",2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2174410,SRIDHARA NAYAK,09-Jul-2023 05:11 PM,Rejected-AOC,L2,05-Aug-2025 01:40 PM,AOC
