Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
SUPERINTENDING ENGINEER,"O/O THE S.E. M.I.DIVISION,ANANDAPUR, AT/PO-SALAPAD",07-Oct-2024 10:00 AM,23-Oct-2024 11:00 AM,07-Oct-2024 10:05 AM,22-Oct-2024 05:00 PM,NA ,NA ,07-Oct-2024 10:10 AM,22-Oct-2024 05:00 PM,"6,500",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"License, PAN, GST, EMD, Affidavits,Other relevant documents as per DTCN","CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||M I Division Anandapur",Identification No-05 MID (ANP/2024-25),2024_CEMIB_105511_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Improvement to Panchagachhia Check Dam over Sanakalinjhar Nalla near village Tentelaposi in Harichandanpur Block of Keonjhar District under MATY Scheme 2024-25,Improvement to Panchagachhia Check Dam over Sanakalinjhar Nalla near village Tentelaposi in Harichandanpur Block of Keonjhar District under MATY Scheme 2024-25,as per DTCN ,NA ,"6,47,000",Civil Works - Water Works,NA ,Rate Contract,90.0,120.0,HARICHANDANPUR,758020.0,NA ,NA ,NA ,"O/O THE S.E. M.I.DIVISION,ANANDAPUR, AT/PO-SALAPAD",No ,No,AOC,"CE,Minor Irrigation,BBSR||SE,Eastern Minor Irr.Circle,Keonjhar||M I Division Anandapur",2024_CEMIB_105511_5,Identification No-05 MID (ANP/2024-25),Improvement to Panchagachhia Check Dam over Sanakalinjhar Nalla near village Tentelaposi in Harichandanpur Block of Keonjhar District under MATY Scheme 2024-25,SE,Internal,,Ashok Kumar Sethi,04-Aug-2025 06:25 PM,finsummary_509049.pdf (206.50 KB),Finance,summary,Ashok Kumar Sethi,13-Dec-2024 08:00 PM,finance_509049.pdf,BOQ Comparative Chart,1.0,2589354.0,BIJAY KUMAR SAHOO,INR,"564,861.14",1,2589354,BIJAY KUMAR SAHOO,22-Oct-2024 01:56 PM,Accepted-AOC,aoc,04-Aug-2025 06:27 PM,04-Aug-2025,"INR 564,861.14",120.0,Ashok Kumar Sethi,04-Aug-2025 06:27 PM,panchagochia.pdf (206.00 KB),SE,Internal,,Ashok Kumar Sethi,13-Dec-2024 08:08 PM,techsummary_509049.pdf (205.94 KB),AOC
,,,,,,,,,,,,,,,,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2580964,CHITTARANJAN RANA,17-Oct-2024 11:41 AM,Rejected-Technical,After Lottery,13-Dec-2024 08:08 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2579605,DEBAJANI SETHY,16-Oct-2024 04:33 PM,Rejected-Technical,After Lottery,13-Dec-2024 08:08 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,2578337,HITESH KUMAR PRUSTY,16-Oct-2024 02:17 PM,Rejected-Technical,After Lottery,13-Dec-2024 08:08 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,2587444,JIBAN JYOTI BEJ,21-Oct-2024 04:43 PM,Rejected-Technical,After Lottery,13-Dec-2024 08:08 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,2583033,MANAS RANJAN BARIK,18-Oct-2024 05:23 PM,Rejected-Technical,After Lottery,13-Dec-2024 08:08 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,2587336,MIHIR KUMAR NAIK,21-Oct-2024 03:38 PM,Rejected-Technical,after lottery,13-Dec-2024 08:08 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,2578699,PRAVATI SAHOO,15-Oct-2024 10:17 PM,Rejected-Technical,After Lottery,13-Dec-2024 08:08 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,2583154,RATHA KISHORE SAHOO,18-Oct-2024 08:00 PM,Rejected-Technical,After Lottery,13-Dec-2024 08:08 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,2587787,SAGARIKA GIRI,21-Oct-2024 06:32 PM,Rejected-Technical,After Lottery,13-Dec-2024 08:08 PM,,,,,,,,,,,,,AOC
