Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
600.0,0.0,Nil,Nil,No,"Deputy Director, Geology, GWD Division-II","Deputy Director, Geology, GWD Division-II ,Plot-A/2, Unit-V, Bhubaneswar",01/GWRSD/GWD/2025-26,"Maintenance of Recharge Shaft Structure at Gundicha Mandir and piezometre stations at 4 different locations at Puri, District-Puri During FY-2025 -26",Please refer Tender documents. ,NA ,"1,47,572",Civil Works - Others,NA ,Tender,90.0,10.0,"GWD Division-II ,Plot-A by2, Unit-V, Bhubaneswar",751001.0,NA ,NA ,NA ,Bhubaneswar,No ,No,Ground Water Survey and Investigation,01/GWRSD/GWD/2025-26,2025_GWSI_113525_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,19-May-2025 11:00 AM,28-May-2025 01:00 PM,19-May-2025 11:00 AM,28-May-2025 11:00 AM,NA ,NA ,19-May-2025 11:00 AM,28-May-2025 11:00 AM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,TENDERPAPER,"1,500",Yes,fixed,,Nil,Nil,AOC,Deputy Director GWD Division II,Internal,"Junior Engineer, Asst. Accountant, Geologist 1 , Geologist 2, Geologist 3",Shiladitya Mishra,31-May-2025 02:13 PM,techsummary_539753.pdf (722.20 KB),Ground Water Survey and Investigation,2025_GWSI_113525_1,01/GWRSD/GWD/2025-26,01/GWRSD/GWD/2025-26,1.0,2936964.0,Jagadish Swain,INR,"125,451.35",1,2930998,ABANTI DAS ADHIKARI,24-May-2025 04:49 PM,Rejected-AOC,Did not win Lottery,21-Aug-2025 12:36 PM,Deputy Director GWD Division II,Internal,"Junior Engineer, Asst. Accountant, Geologist 1 , Geologist 2, Geologist 3",Shiladitya Mishra,31-May-2025 02:21 PM,finsummary_539753.pdf (722.20 KB),Finance,BOS,Shiladitya Mishra,28-May-2025 02:40 PM,finance_539753.pdf,BOQ Comparative Chart,13-Jun-2025,"INR 125,451.35",10.0,Shiladitya Mishra,21-Aug-2025 12:36 PM,LOA01GWD.pdf (611.00 KB),Award of Contract,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,AOC,,,,,,,,,,,,,,,,2,2936802,AMRUT CONSTRUCTION & ENGINEERING SERVICES,28-May-2025 09:54 AM,Rejected-AOC,Did not win Lottery,21-Aug-2025 12:36 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,3,2936910,BALABHADRA NARAYAN DASH,28-May-2025 10:37 AM,Rejected-AOC,Did not win Lottery,21-Aug-2025 12:36 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,4,2926410,DIPTI RANJAN SAHOO,20-May-2025 04:07 PM,Rejected-AOC,Did not win Lottery,21-Aug-2025 12:36 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,5,2932499,FIDA HOSEN KHAN,26-May-2025 10:27 AM,Rejected-AOC,Did not win Lottery,21-Aug-2025 12:36 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,6,2929559,HRUSIKESH ROUT,23-May-2025 10:43 AM,Rejected-AOC,Did not win Lottery,21-Aug-2025 12:36 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,7,2936964,Jagadish Swain,28-May-2025 10:54 AM,Accepted-AOC,Won the Lottery,21-Aug-2025 12:36 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,8,2935182,JHADESWARI INFRA AND DEVELOPERS PRIVATE LIMITED,27-May-2025 03:00 PM,Rejected-AOC,Did not win Lottery,21-Aug-2025 12:36 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,9,2930676,JHARANA DAS,24-May-2025 11:04 AM,Rejected-AOC,Did not win Lottery,21-Aug-2025 12:36 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,10,2933542,MADHUSMITA PAIKARAY,26-May-2025 05:14 PM,Rejected-AOC,Did not win Lottery,21-Aug-2025 12:36 PM,,,,,,,,,,,,,,,,,,,,AOC
