Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Municipal Bodies||Bhawanipatna Municipality,BPM/03/2023-24,2023_ORULB_93128_52,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1,ICICI BANK,Construction of paver road from Mitun house to Siba Mandir in Ward No. 13,Construction of paver road from Mitun house to Siba Mandir in Ward No. 13,Please refer Tender documents. ,NA ,"16,92,418",Civil Works - Others,NA ,Tender,90.0,45.0,BHAWANIPATNA MUNICIPALITY,766001.0,NA ,NA ,NA ,BHAWANIPATNA MUNICIPALITY,No ,No,"16,924",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY","EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY",25-Aug-2023 11:00 AM,08-Sep-2023 10:00 AM,25-Aug-2023 11:00 AM,07-Sep-2023 05:00 PM,NA ,NA ,25-Aug-2023 11:00 AM,07-Sep-2023 05:00 PM,"6,000",0.0,Nil,Nil,No,AOC,CP,Internal,,Chinmaya Kumar Nayak,14-Dec-2023 11:33 PM,finsummary_454154.pdf (816.60 KB),Municipal Bodies||Bhawanipatna Municipality,2023_ORULB_93128_52,BPM/03/2023-24,Construction of paver road from Mitun house to Siba Mandir in Ward No. 13,1.0,2236448.0,Ajaya Kumar Bishi,INR,"1,438,724.88",Finance,ACCEPTED,Chinmaya Kumar Nayak,11-Dec-2023 09:01 PM,,BOQ Comparative Chart,1,2236448,Ajaya Kumar Bishi,05-Sep-2023 07:42 PM,Accepted-AOC,AWARDED,14-Dec-2023 11:34 PM,14-Dec-2023,"INR 1,438,724.88",45.0,Chinmaya Kumar Nayak,14-Dec-2023 11:33 PM,PROCEEDINGWBM.pdf (817.00 KB),CP,Internal,,Chinmaya Kumar Nayak,14-Dec-2023 06:22 AM,techsummary_454154.pdf (816.60 KB),AOC
,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2240366,DHIRENDRA KUMAR PATRA,07-Sep-2023 01:40 AM,Rejected-AOC,L2,14-Dec-2023 11:34 PM,,,,,,,,,,,,,AOC
