Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Municipal Bodies||Bhadrak Municipality,BM-BDK-02-2023-24,2023_ORULB_94391_21,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Executive Officer,"Executive Officer, Bhadrak Municipality",1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid document cost, EMD, GST, Registration Certificate, Affidavit and other documents as per DTCN","12,900",Yes,fixed,,Nil,Nil,Construction of paver road from Sorag Bibi house towards Sk Salim (Hakar) house and Lala Khan house at Hazarinagar in Ward No.12,Construction of paver road from Sorag Bibi house towards Sk Salim (Hakar) house and Lala Khan house at Hazarinagar in Ward No.12,Please refer Tender documents. ,NA ,"12,89,700",Civil Works - Others,NA ,Tender,90.0,60.0,Bhadrak Municipality,756100.0,NA ,NA ,NA ,Municipal Council Bhadrak,No ,No,"6,000",0.0,Nil,Nil,No,1,ICICI BANK,16-Sep-2023 10:00 AM,26-Sep-2023 11:00 AM,16-Sep-2023 10:00 AM,25-Sep-2023 05:00 PM,NA ,NA ,16-Sep-2023 10:00 AM,25-Sep-2023 05:00 PM,AOC,Municipal Bodies||Bhadrak Municipality,2023_ORULB_94391_21,BM-BDK-02-2023-24,Construction of paver road from Sorag Bibi house towards Sk Salim (Hakar) house and Lala Khan house at Hazarinagar in Ward No.12,Gulmaki Dalawzi,Internal,Details attached below,Deviprasad Mohanty,16-Dec-2023 12:47 PM,finsummary_461897.pdf (236.75 KB),Finance,ok,Pradip Kumar Saha,26-Sep-2023 01:36 PM,,BOQ Comparative Chart,1.0,2268495.0,BIDYADHAR BEHERA,INR,"1,289,700",1,2268495,BIDYADHAR BEHERA,25-Sep-2023 10:51 AM,Accepted-AOC,Quoted first lowest,16-Dec-2023 12:48 PM,16-Dec-2023,"INR 1,289,700",60.0,Deviprasad Mohanty,16-Dec-2023 12:48 PM,21.pdf (1226.00 KB),work order issued,Gulmaki Dalawzi,Internal,Details attached below,Deviprasad Mohanty,16-Dec-2023 12:46 PM,techsummary_461897.pdf (236.75 KB),AOC
,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2268979,Rajesh Kumar Nayak,25-Sep-2023 12:30 PM,Rejected-AOC,Quoted second lowest,16-Dec-2023 12:48 PM,,,,,,,,,,,,,,AOC
