Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
Er. Pratik Nayak,Internal,,Pratik Nayak,04-Oct-2023 04:23 PM,techsummary_446640.pdf (426.39 KB),1,2202599,ASHOK KUMAR SWAIN,15-Aug-2023 04:12 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,28-Aug-2023 12:02 PM,Finance,out of 16 nos bids 12 nos bids were qualified and 04 nos bids were not qualified due to non submission of original documents,Pratik Nayak,28-Aug-2023 12:01 PM,finance_446640.pdf,BOQ Comparative Chart,Odisha University of Agriculture and Technology,2023_OUAT_91679_2,01/2023-24,Repair and renovation to College of Forestry OUAT Bhubaneswar Such as repair to stage Corridor Stair case and FBT Lab,Er. Pratik Nayak,Internal,,Pratik Nayak,04-Oct-2023 04:32 PM,finsummary_446640.pdf (426.39 KB),1.0,2198971.0,NIKUNJA NARAYAN BHARATI,INR,"402,989",20-Nov-2023,"INR 402,989",30.0,Pratik Nayak,11-Dec-2023 03:52 PM,workoderforestry.pdf (853.00 KB),AOC,"4,741",Yes,fixed,,"DPP, OUAT",BHUBANESWAR,05-Aug-2023 05:00 PM,18-Aug-2023 11:00 AM,05-Aug-2023 05:05 PM,15-Aug-2023 05:00 PM,NA ,NA ,05-Aug-2023 05:05 PM,15-Aug-2023 05:00 PM,Repair and renovation to College of Forestry OUAT Bhubaneswar Such as repair to stage Corridor Stair case and FBT Lab,Repair and renovation to College of Forestry OUAT Bhubaneswar Such as repair to stage Corridor Stair case and FBT Lab,Please refer Tender documents. ,NA ,"4,74,049",Civil Works - Buildings,NA ,Tender,90.0,30.0,Bhubaneswar,751003.0,NA ,NA ,NA ,Office of DPP OUAT BHUBANESWAR,No ,No,1.0,DD - Demand Draft,"2,000",0.0,DPP OUAT,BHUBANESWAR,No,DIRECTOR OF PHYSICAL PLANTS,OFFICE OF DPP OUAT BBSR,Odisha University of Agriculture and Technology,01/2023-24,2023_OUAT_91679_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TP COST, EMD, GSTIN, PAN, SCHEDULE-A, E,F AND OTHER DOCUMENTS AS PER DTCN",AOC
,,,,,,2,2199398,BHIMSEN SAHOO,10-Aug-2023 09:31 PM,Rejected-Technical,Schedule E not submitted,04-Oct-2023 04:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,AOC
,,,,,,3,2196435,BIJAYLAXMI MOHAPATRA,07-Aug-2023 05:02 PM,Rejected-AOC,Rejected,11-Dec-2023 03:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4,2200442,BIRANCHI NARAYAN PATRA,12-Aug-2023 04:38 PM,Rejected-AOC,Rejected,11-Dec-2023 03:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,TD- Term Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,5,2201932,BISWABHARATI SUTAR,14-Aug-2023 04:35 PM,Rejected-AOC,Rejected,11-Dec-2023 03:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,6,2198363,BISWAJIT SUTAR,09-Aug-2023 04:11 PM,Rejected-AOC,Rejected,11-Dec-2023 03:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,7,2199105,HARAPRASAD MOHANTY,10-Aug-2023 03:16 PM,Rejected-AOC,Rejected,11-Dec-2023 03:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,8,2202190,KISHORE CHANDRA MOHANTY,14-Aug-2023 09:29 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,28-Aug-2023 12:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,9,2200447,LINGARAJ PRADHAN,12-Aug-2023 04:48 PM,Rejected-AOC,Rejected,11-Dec-2023 03:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,10,2202097,MODERN WINDING AND ELECTRICALS,14-Aug-2023 06:18 PM,Rejected-AOC,Rejected,11-Dec-2023 03:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
