Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
EE RWSS,Internal,AE RWSS DAO RWSS,Durga Charan Sahu,27-Dec-2023 01:41 PM,techsummary_441526.pdf (224.25 KB),1,2170309,M/s. Maa Trishakti Traders,28-Jun-2023 01:46 PM,Rejected-AOC,L2,27-Dec-2023 01:46 PM,Finance,TWO OFFERS ADMITTED,Bikash Chandra Samal,06-Jul-2023 02:42 PM,,BOQ Comparative Chart,Rural Water Supply and Sanitation||RWSS Circle Berhampur||RWSS Division Berhampur,2023_RWSS_89912_3,SERWSSBAM- 07 (B) / 2023-24,RPWS Point to village Kumbhajhari under Kukudakhandi Block.,EE RWSS,Internal,AE RWSS DAO RWSS,Durga Charan Sahu,27-Dec-2023 01:44 PM,finsummary_441526.pdf (224.25 KB),1.0,2171775.0,United Electricals & Engineering Pvt. Ltd.,INR,"567,866",27-Dec-2023,"INR 600,916.63",60.0,Durga Charan Sahu,27-Dec-2023 01:45 PM,AOCKumbhajhari.pdf (224.00 KB),AOC,Rural Water Supply and Sanitation||RWSS Circle Berhampur||RWSS Division Berhampur,SERWSSBAM- 07 (B) / 2023-24,2023_RWSS_89912_3,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"Executive Engineer , RWSS","Near Jarada Bunglow, Berhampur-760004",1,ICICI BANK,"4,000",0.0,Nil,Nil,No,19-Jun-2023 02:00 PM,05-Jul-2023 11:00 AM,19-Jun-2023 02:00 PM,04-Jul-2023 05:00 PM,19-Jun-2023 02:00 PM ,01-Jul-2023 05:00 PM ,19-Jun-2023 02:00 PM,04-Jul-2023 05:00 PM,RPWS Point to village Kumbhajhari under Kukudakhandi Block.,RPWS Point to village Kumbhajhari under Kukudakhandi Block.,Please refer Tender documents. ,NA ,"6,01,000",Electrical Works,NA ,Tender,180.0,60.0,RPWS Point to village Kumbhajhari under Kukudakhan,760004.0,NA ,NA ,NA ,"O/o Superintending Engineer, RWSS",No ,No,"6,010",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,ALL DOCUMENTS AS PER DTCN,AOC
,,,,,,2,2171775,United Electricals & Engineering Pvt. Ltd.,03-Jul-2023 03:09 PM,Accepted-AOC,L1,27-Dec-2023 01:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,AOC
