Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"Construction of Paver Surface Over Kutcha Road From Narayan patra Res to Mantu Dash Res Gandhinagr,Chitti mill in Ward no-16",Please referee the Tender Documents,CIVIL WORK ,NA ,"16,09,344",Civil Works - Others,NA ,Tender,90.0,60.0,Nabarangpur,764059.0,NA ,NA ,NA ,Nabarangpur Municipality,No ,No,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, GST Registration Certificate, GSTIN, PAN and Other Documents.",Municipal Bodies||Nabarangpur Municipality,EONM-04/2023-24(23),2023_ORULB_94603_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Executive Officer,Nabarangpur Municipality","At - Nabarangpur Municipality, Nabarangpur.",25-Sep-2023 11:00 AM,05-Oct-2023 11:00 AM,25-Sep-2023 11:00 AM,04-Oct-2023 05:00 PM,NA ,NA ,25-Sep-2023 11:00 AM,04-Oct-2023 05:00 PM,1,ICICI BANK,"16,093",Yes,fixed,,Nil,Nil,AOC,Sri. Kunu Nayak,Internal,"Chairman, ADM, Executive Officer, Municipal Engineer, Accountant, Nabarangpur",Upendra Kumar Nayak,26-Dec-2023 10:40 PM,finsummary_463557.pdf (388.45 KB),Finance,All documents submitted as per bid,Upendra Kumar Nayak,26-Dec-2023 10:37 PM,,BOQ Comparative Chart,26-Dec-2023,"INR 1,529,037",60.0,Upendra Kumar Nayak,26-Dec-2023 10:41 PM,4878-WR-8.pdf (382.00 KB),1,2278483,KHIRASINDHU HARIJAN,04-Oct-2023 09:14 AM,Rejected-AOC,Disqualified,26-Dec-2023 10:41 PM,1.0,2278477.0,MANOJ KUMAR BRAHMA,INR,"1,529,037",Municipal Bodies||Nabarangpur Municipality,2023_ORULB_94603_8,EONM-04/2023-24(23),"Construction of Paver Surface Over Kutcha Road From Narayan patra Res to Mantu Dash Res Gandhinagr,Chitti mill in Ward no-16",Sri. Kunu Nayak,Internal,"Chairman, ADM, Executive Officer, Municipal Engineer, Accountant, Nabarangpur",Upendra Kumar Nayak,26-Dec-2023 10:39 PM,techsummary_463557.pdf (388.45 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,2278477,MANOJ KUMAR BRAHMA,04-Oct-2023 08:49 AM,Accepted-AOC,Qualified,26-Dec-2023 10:41 PM,,,,,,,,,,,,,,,,AOC
