Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Municipal Bodies||G.Udayagiri NAC,GUDGR-NAC-06/2023-24,2023_ORULB_92903_19,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Corrigendum,Technical Bid,,22-Aug-2023 04:00 PM,02-Sep-2023 10:00 AM,22-Aug-2023 04:00 PM,01-Sep-2023 05:00 PM,NA ,NA ,22-Aug-2023 04:00 PM,01-Sep-2023 05:00 PM,1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Regd. Cont. License, GST, PAN, Affidavit other Doc. as per DTCN",EXECUTIVE OFFICER,NAC G.UDAYAGIRI,"4,000",0.0,Nil,Nil,Yes,"Const. of Paver Block Road from Madinaju to Park, Ward No.12","Const. of Paver Block Road from Madinaju to Park, Ward No.12",Please refer Tender documents. ,NA ,"7,99,000",Civil Works - Others,NA ,Tender,45.0,45.0,NAC G.UDAYAGIRI,762100.0,NA ,NA ,NA ,NAC G.UDAYAGIRI,No ,No,"7,990",Yes,fixed,,Nil,Nil,AOC,"Executive Officer, Chairperson, B.D.O., M.E., Sr. Asst., Accountant, MIS, Councillors",Internal,"Executive Officer, Chairperson, B.D.O., M.E., Sr. Asst., Accountant, MIS, Councillors",Itishree Sarangi,15-Dec-2023 12:30 PM,finsummary_451852.pdf (127.12 KB),Municipal Bodies||G.Udayagiri NAC,2023_ORULB_92903_19,GUDGR-NAC-06/2023-24,"Const. of Paver Block Road from Madinaju to Park, Ward No.12",1.0,2225860.0,BHARATI BAG,INR,"798,934",Finance,Technical Bid has been opened on dt.04.09.2023,Itishree Sarangi,15-Dec-2023 12:22 PM,finance_451852.pdf,BOQ Comparative Chart,1,2225860,BHARATI BAG,30-Aug-2023 11:03 PM,Accepted-AOC,L1,15-Dec-2023 12:57 PM,15-Dec-2023,"INR 798,934",45.0,Itishree Sarangi,15-Dec-2023 12:55 PM,WorkOrder.pdf (146.00 KB),Lowest Bidder,"Executive Officer, Chairperson, B.D.O., M.E., Sr. Asst., Accountant, MIS, Councillors",Internal,"Executive Officer, Chairperson, B.D.O., M.E., Sr. Asst., Accountant, MIS, Councillors",Itishree Sarangi,15-Dec-2023 12:26 PM,techsummary_451852.pdf (114.40 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2226903,DEEPAK PRADHAN,31-Aug-2023 02:00 PM,Rejected-AOC,L2,15-Dec-2023 12:57 PM,,,,,,,,,,,,,,AOC
