Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Sri. Kunu Nayak,Internal,"Chairman, ADM, Executive Officer, Municipal Engineer, Accountant, Nabarangpur",Upendra Kumar Nayak,26-Dec-2023 01:11 PM,techsummary_463570.pdf (402.66 KB),26-Dec-2023,"INR 885,730",60.0,Upendra Kumar Nayak,26-Dec-2023 01:17 PM,4854_NM-T.pdf (380.00 KB),1,2278647,DEEPAK RANJEET NAYAK,04-Oct-2023 12:08 PM,Accepted-AOC,As per the OPWD code bidder is qualified,26-Dec-2023 01:19 PM,1.0,2278647.0,DEEPAK RANJEET NAYAK,INR,"885,730",Finance,All documents submitted as per bid,Upendra Kumar Nayak,26-Dec-2023 01:10 PM,,BOQ Comparative Chart,Sri. Kunu Nayak,Internal,"Chairman, ADM, Executive Officer, Municipal Engineer, Accountant, Nabarangpur",Upendra Kumar Nayak,26-Dec-2023 01:15 PM,finsummary_463570.pdf (402.66 KB),Municipal Bodies||Nabarangpur Municipality,2023_ORULB_94603_21,EONM-04/2023-24(23),Construction of Drain From Purna Chandra Pujari House to Satyanarayan Mandir in Ward No-09,AOC,Construction of Drain From Purna Chandra Pujari House to Satyanarayan Mandir in Ward No-09,Please referee the Tender Documents,CIVIL WORK ,NA ,"9,32,347",Civil Works - Others,NA ,Tender,90.0,60.0,Nabarangpur,764059.0,NA ,NA ,NA ,Nabarangpur Municipality,No ,No,25-Sep-2023 11:00 AM,05-Oct-2023 11:00 AM,25-Sep-2023 11:00 AM,04-Oct-2023 05:00 PM,NA ,NA ,25-Sep-2023 11:00 AM,04-Oct-2023 05:00 PM,"Executive Officer,Nabarangpur Municipality","At - Nabarangpur Municipality, Nabarangpur.",Municipal Bodies||Nabarangpur Municipality,EONM-04/2023-24(23),2023_ORULB_94603_21,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"9,323",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, GST Registration Certificate, GSTIN, PAN and Other Documents.","4,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,2,2278842,Diptimayee kar,04-Oct-2023 01:51 PM,Rejected-AOC,Disqualified,26-Dec-2023 01:19 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.xls,BOQ,,,,,,AOC
,,,,,,,,,,,,3,2278532,KHIRASINDHU HARIJAN,04-Oct-2023 10:55 AM,Rejected-AOC,Disqualified,26-Dec-2023 01:19 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,4,2278510,M/s SANGRAM KUMAR MOHAPATRA,04-Oct-2023 10:40 AM,Rejected-AOC,Disqualified,26-Dec-2023 01:19 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
