Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Rural Water Supply and Sanitation||RWSS Circle Sambalpur||RWSS Division Sundergarh,2023_RWSS_90545_2,Bid Identification No. 04 of 2023.24,Rural Water Supply Scheme to Khutijharia in San Gumunda GP under Hemgir Block.,SEDAOAEEAE,Internal,SEDAOAEEAE,Hemanta Kumar Barik,29-Dec-2023 08:24 PM,finsummary_443735.pdf (595.55 KB),1.0,2185503.0,BIBHUTI BHUSAN NAIK,INR,"2,904,873.83",29-Dec-2023,"INR 2,904,873.83",120.0,Hemanta Kumar Barik,29-Dec-2023 08:25 PM,TCN4ID02.pdf (596.00 KB),Work order copy,SEDAOAEEAE,Internal,Work Order copy,Hemanta Kumar Barik,29-Dec-2023 08:22 PM,techsummary_443735.pdf (595.55 KB),1,2185503,BIBHUTI BHUSAN NAIK,25-Jul-2023 12:21 PM,Accepted-AOC,1st lowest,29-Dec-2023 08:26 PM,Finance,Evaluation sheet,Bailochan Bhoi,16-Sep-2023 01:06 PM,finance_443735.pdf,BOQ Comparative Chart,AOC,Rural Water Supply Scheme to Khutijharia in San Gumunda GP under Hemgir Block.,Rural Water Supply Scheme to Khutijharia in San Gumunda GP under Hemgir Block.,Please refer Tender documents. ,NA ,"32,27,279",Civil Works - Water Works,NA ,Tender,90.0,120.0,Sundargarh,770001.0,NA ,NA ,NA ,"O/O the SE , RWS and S Division, Sundargarh",No ,No,"6,000",0.0,Nil,Nil,No,"SE , RWS and S Division, Sundargarh","O/O the SE , RWS and S Division, Sundargarh",Rural Water Supply and Sanitation||RWSS Circle Sambalpur||RWSS Division Sundergarh,Bid Identification No. 04 of 2023.24,2023_RWSS_90545_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,14-Jul-2023 10:00 AM,26-Jul-2023 11:00 AM,14-Jul-2023 10:00 AM,25-Jul-2023 05:00 PM,14-Jul-2023 10:00 AM ,25-Jul-2023 05:00 PM ,14-Jul-2023 10:00 AM,25-Jul-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper cost, EMD, Licence, GST, PAN, Affidavit , Schedule-A , machinery etc.",1.0,ICICI BANK,"32,273",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2185155,ms suresh chandra sa,24-Jul-2023 07:27 PM,Rejected-AOC,Lowest,29-Dec-2023 08:26 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other documents as per DTCN,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2185597,NIRMAL SEKHAR DASH,25-Jul-2023 02:40 PM,Rejected-AOC,Lowest,29-Dec-2023 08:26 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,AOC
