Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Finance,OPEN SUCCESSFULLY,Rasmita Mishra,18-Sep-2023 12:07 PM,,BOQ Comparative Chart,1.0,2253574.0,ABINASH BEHERA,INR,"232,172",Municipal Bodies||Bhuban NAC,2023_ORULB_93718_26,BBN NAC 02/2023-24,"Improvement of Road (WBM to PAVER) From Tolanka Bareni School to Tiki Guru House in ward no-01, Bhuban NAC",Executive Officer,Internal,"CP, EO, ME, JE, ACCT",SURENDRA NATH SAHOO,28-Dec-2023 04:37 PM,finsummary_458049.pdf (91.49 KB),Executive Officer,Internal,"CP, EO, ME, JE, ACCT.",SURENDRA NATH SAHOO,28-Dec-2023 04:36 PM,techsummary_458049.pdf (91.49 KB),1.0,2253574.0,ABINASH BEHERA,13-Sep-2023 04:06 PM,Accepted-AOC,L1,28-Dec-2023 04:38 PM,28-Dec-2023,"INR 232,172",60.0,SURENDRA NATH SAHOO,28-Dec-2023 04:38 PM,23AOC.pdf (207.00 KB),AOC,AOC,04-Sep-2023 11:00 AM,18-Sep-2023 11:00 AM,04-Sep-2023 11:00 AM,16-Sep-2023 05:00 PM,NA ,NA ,04-Sep-2023 11:00 AM,16-Sep-2023 05:00 PM,Municipal Bodies||Bhuban NAC,BBN NAC 02/2023-24,2023_ORULB_93718_26,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"2,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Pan Card, GST, Paper Cost, Valid RC, Labour License",1.0,ICICI BANK,"Executive Officer, Bhuban NAC","Executive Officer, Bhuban NAC, Bhuban","Improvement of Road (WBM to PAVER) From Tolanka Bareni School to Tiki Guru House in ward no-01, Bhuban NAC","Improvement of Road (WBM to PAVER) From Tolanka Bareni School to Tiki Guru House in ward no-01, Bhuban NAC",Please refer Tender documents. ,NA ,"2,32,288",Civil Works - Roads,NA ,Tender,60.0,60.0,Bhuban NAC,759017.0,NA ,NA ,NA ,Bhuban NAC,No ,No,"2,323",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2253464.0,SUSANTA KUMAR BEHERA,13-Sep-2023 03:22 PM,Rejected-Technical,L2,28-Dec-2023 04:36 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit, Bid Security Declaration, Other documents as per DTCN",2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
