Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage
Finance,"Two bidders have participated, hence the documents of both the bidders have been accepted, which will be put up before the Tender Committee for finalization of Technical and financial bid.",Basanta Kumar Sethi,09-Sep-2023 03:55 PM,finance_454061.pdf,Municipal Bodies||Baripada Municipality,2023_ORULB_93074_38,BPDM-05 of 2023 / 2024,Construction of Paver road near Sripadganj Bimala Mandir in Ward No.13,"Chairperson,President",Internal,"Municipal Engineer,CT G.S.T officer Baripada,Tahasildar Baripada,Executive officer Baripada",Basanta Kumar Sethi,12-Dec-2023 11:13 AM,finsummary_454061.pdf,"Chairperson,President",Internal,"Municipal Engineer,CT G.S.T officer Baripada,Tahasildar Baripada,Executive officer Baripada",Basanta Kumar Sethi,12-Dec-2023 11:08 AM,techsummary_454061.pdf,12-Dec-2023,"INR 878,324",45.0,Basanta Kumar Sethi,12-Dec-2023 11:16 AM,CCF12122023.pdf,AOC,1.0,ICICI BANK,Municipal Bodies||Baripada Municipality,BPDM-05 of 2023 / 2024,2023_ORULB_93074_38,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of Paver road near Sripadganj Bimala Mandir in Ward No.13,Construction of Paver road,Please refer Tender documents ,NA ,"7,12,289",Civil Works - Roads,NA ,Tender,120.0,45.0,"Baripada Municipality, Baripada",757001.0,NA ,NA ,NA ,"Office of the Baripada Municipality, Baripada",No ,No,"7,150",Yes,fixed,,Nil,Nil,"4,720",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender cost, EMD remitted on line mode, GST, PAN, Contractor valid R.C and Labour license asper DTCN",25-Aug-2023 04:00 PM,05-Sep-2023 11:30 AM,25-Aug-2023 04:00 PM,04-Sep-2023 05:00 PM,NA ,NA ,25-Aug-2023 04:00 PM,04-Sep-2023 05:00 PM,"Executive Officer, Baripada Municipality, Baripada","Executive Officer, Baripada Municipality, Baripada",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Enlisted Municipality contractor Order, Affidavits, undertakings and any other documents asper DTCN",,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,AOC
