S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GSTIN, Registration Certificate",Superintending Engineer,"O/o the SE, Salandi Canal Division, Bhadrak","6,000",Nil,Nil,No,"40,900",Yes,fixed,,Nil,Nil,17-Aug-2023 11:00 AM,01-Sep-2023 11:00 AM,17-Aug-2023 11:00 AM,31-Aug-2023 05:00 PM,17-Aug-2023 11:00 AM ,23-Aug-2023 05:00 PM ,17-Aug-2023 11:00 AM,31-Aug-2023 05:00 PM,(1) Construction of 2nos of office-cum-Residential Quarter E-Type for Section Engineer(A.E./JE)at Bhadrak.,Construction of office building,Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Tender,90.0,180.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/o the SE, Salandi Canal Division, Bhadrak",No ,No,CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||SE Salandi Canal Division Bhadrak,e-Procurement Notice No.2 / 2023-24,2023_SCDBH_92423_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,"Superintending Engineer, Salandi Canal Division",Internal,"Estimator and DAO, Salandi Canal Division",PRASANTA KUMAR PATEL,18-Oct-2023 04:00 PM,techsummary_448688.pdf (209.29 KB),CE BM Baitarani Basin Kenojhar||Addl CE Salapada Irrigation Circle Salapada||SE Salandi Canal Division Bhadrak,2023_SCDBH_92423_1,e-Procurement Notice No.2 / 2023-24,(1) Construction of 2nos of office-cum-Residential Quarter E-Type for Section Engineer(A.E./JE)at Bhadrak.,1.0,2216884.0,SK SAIBAR QUADRI,INR,"3,471,164",1,2225117,Aditya Kumar Mohapatra,31-Aug-2023 10:12 AM,Rejected-Finance,Did not win the lottery,18-Oct-2023 05:01 PM,07-Dec-2023,"INR 3,471,164",180.0,PRASANTA KUMAR PATEL,07-Dec-2023 05:56 PM,1.pdf (314.00 KB),Work awarded,"Superintending Engineer, Salandi Canal Division",Internal,"Estimator and DAO, Salandi Canal Division",PRASANTA KUMAR PATEL,18-Oct-2023 05:01 PM,finsummary_448688.pdf (361.25 KB),Finance,Tender documents of all the bidders have been downloaded successfully.,PRASANTA KUMAR PATEL,01-Sep-2023 03:29 PM,finance_448688.pdf,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,.pdf,"Affidavit, No Relation Certificate, undertakings, any other document as per SBD/DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2,2219151,ASHIS KUMAR DAS,28-Aug-2023 06:09 AM,Rejected-Finance,Did not win the lottery,18-Oct-2023 05:01 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,3,2223750,BIBHUDATTA ROUT,29-Aug-2023 04:51 PM,Rejected-Finance,Did not win the lottery,18-Oct-2023 05:01 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,4,2224570,BINAMRA KUMAR DALAI,30-Aug-2023 11:41 AM,Rejected-Finance,Did not win the lottery,18-Oct-2023 05:01 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,5,2207360,BIRANCHI NARAYAN MOHANTY,25-Aug-2023 07:00 AM,Rejected-Finance,Did not win the lottery,18-Oct-2023 05:01 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,6,2225061,DIBYA RANJAN MOHANTY,30-Aug-2023 03:19 PM,Rejected-Finance,Did not win the lottery,18-Oct-2023 05:01 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,7,2209753,DIPAK KUMAR MISHRA,21-Aug-2023 05:23 PM,Rejected-Finance,Did not win the lottery,18-Oct-2023 05:01 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,8,2227103,Jayaprakash Sial,31-Aug-2023 04:21 PM,Rejected-Finance,Did not win the lottery,18-Oct-2023 05:01 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,9,2227012,Jitendra Kumar Kabi,31-Aug-2023 04:48 PM,Rejected-Finance,Did not win the lottery,18-Oct-2023 05:01 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,10,2211387,Jnanendra Prasad Barik,22-Aug-2023 01:26 PM,Rejected-Finance,Did not win the lottery,18-Oct-2023 05:01 PM,,,,,,,,,,,,,,,,,,,,AOC
