S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1,ICICI BANK,"EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY","EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY","2,000",0.0,Nil,Nil,No,25-Aug-2023 11:00 AM,08-Sep-2023 10:00 AM,25-Aug-2023 11:00 AM,07-Sep-2023 05:00 PM,NA ,NA ,25-Aug-2023 11:00 AM,07-Sep-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,Municipal Bodies||Bhawanipatna Municipality,BPM/03/2023-24,2023_ORULB_93128_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Construction of Paver road from Bhatirati Nial house to Gopal Bishi house in Ward No. 13,Construction of Paver road from Bhatirati Nial house to Gopal Bishi house in Ward No. 13,Please refer Tender documents. ,NA ,"3,41,752",Civil Works - Others,NA ,Tender,90.0,45.0,BHAWANIPATNA MUNICIPALITY,766001.0,NA ,NA ,NA ,BHAWANIPATNA MUNICIPALITY,No ,No,"3,418",Yes,fixed,,Nil,Nil,AOC,1.0,2236774.0,UDAYANATH CHHATRIA,INR,"290,524.07",Municipal Bodies||Bhawanipatna Municipality,2023_ORULB_93128_7,BPM/03/2023-24,Construction of Paver road from Bhatirati Nial house to Gopal Bishi house in Ward No. 13,CP,Internal,,Chinmaya Kumar Nayak,11-Dec-2023 06:15 AM,techsummary_453531.pdf (816.60 KB),11-Dec-2023,"INR 290,524.07",45.0,Chinmaya Kumar Nayak,11-Dec-2023 06:17 AM,PROCEEDINGWBM.pdf (817.00 KB),CP,Internal,,Chinmaya Kumar Nayak,11-Dec-2023 06:16 AM,finsummary_453531.pdf (816.60 KB),Finance,ACCEPTED,Chinmaya Kumar Nayak,05-Dec-2023 07:21 AM,,BOQ Comparative Chart,1,2240566,AKSHAY KUMAR MAHAPATRA,06-Sep-2023 08:16 PM,Rejected-AOC,L2,11-Dec-2023 06:18 AM,AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2236774,UDAYANATH CHHATRIA,05-Sep-2023 07:06 PM,Accepted-AOC,AWARDED,11-Dec-2023 06:18 AM,AOC
