Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Orissa State Police Housing and Welfare Corporation Ltd,2023_OSPHW_94947_8,18/OPHWC/2023-24,"Construction of Panposh Fire Station Building in Sundargarh District(Including Approach road, Water VAT, Boundary wall.)",1.0,2287344.0,M/S GODAVARI CONSTRUCTION,INR,"12,894,621",AS PER TC MINUTES,Internal,AS PER TC MINUTES,Bikram Keshari Malla,09-Nov-2023 07:13 PM,10-Nov-2023 11:00 AM,techsummary_464818.pdf (324.75 KB),AS PER ACCEPTANCE LETTER,Internal,AS PER ACCEPTANCE LETTER,Bikram Keshari Malla,04-Dec-2023 04:41 PM,finsummary_464818.pdf (717.76 KB),04-Dec-2023,"INR 12,894,621",300.0,Bikram Keshari Malla,04-Dec-2023 04:42 PM,WWWWDF.pdf (404.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 22.11.2023,Finance,FINANCIAL BID OPEN AND COMPARATIVE GENERATED,Bikram Keshari Malla,10-Nov-2023 11:27 AM,,BOQ Comparative Chart,1,2287344,M/S GODAVARI CONSTRUCTION,13-Oct-2023 04:51 PM,Accepted-AOC,QUALIFIED BIDDER,04-Dec-2023 04:42 PM,Technical,3 NOS OF BIDDERS HAVE BEEN PARTICIPATED,Bikram Keshari Malla,16-Oct-2023 12:15 PM,,AOC,29-Sep-2023 05:00 PM,16-Oct-2023 11:00 AM,29-Sep-2023 05:00 PM,13-Oct-2023 05:00 PM,29-Sep-2023 05:00 PM ,04-Oct-2023 05:00 PM ,29-Sep-2023 05:00 PM,13-Oct-2023 05:00 PM,10-Nov-2023 11:00 AM,Orissa State Police Housing and Welfare Corporation Ltd,18/OPHWC/2023-24,2023_OSPHW_94947_8,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,"11,800",0.0,Nil,Nil,No,"1,35,700",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit","Construction of Panposh Fire Station Building in Sundargarh District(Including Approach road, Water VAT, Boundary wall.)",Building Work,Please refer Tender documents  ,NA ,"1,35,71,857",Civil Works - Buildings,NA ,Tender,90.0,300.0,Sundargarh.,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2286984,PRIYADARSHANEE ANUSHMITA PANDA,13-Oct-2023 02:41 PM,Rejected-Finance,DUE TO L1 BIDDER BUT SC BIDDER GET WORK,04-Dec-2023 04:41 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2287292,SHIBA BADAIK,13-Oct-2023 04:51 PM,Rejected-Technical,ABSENT IN POINT OF PRESENTATION AS PER DTCN CL. NO-110 (m),09-Nov-2023 07:13 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,AOC
