S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1,ICICI BANK,"12,856",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GST, REGISTRATION, AFFIDAVIT ETC AS PER DTCN AND ADDITIONAL DOCUMENT",Commissioner,"Berhampur Municipal Corporation, Berhampur","7,080",0.0,Nil,Nil,No,Municipal Bodies||Brahmapur Municipal Corporation,BeMC(BAM)/279/2023-24,2023_ORULB_93866_61,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Upgrading of existing Kutcha WBM road Paver Block Road Raghunath Nagar Extension line road in w. no. 12,Upgrading of existing Kutcha WBM road Paver Block Road Raghunath Nagar Extension line road in w. no. 12,Please refer Tender documents. ,NA ,"12,85,556",Civil Works - Others,NA ,Tender,120.0,75.0,Berhampur,760002.0,NA ,NA ,NA ,Berhampur Municipal Corporation,No ,No,07-Sep-2023 03:00 PM,25-Sep-2023 11:30 AM,07-Sep-2023 03:00 PM,22-Sep-2023 05:00 PM,07-Sep-2023 03:00 PM ,16-Sep-2023 02:00 PM ,07-Sep-2023 03:00 PM,22-Sep-2023 05:00 PM,AOC,04-Dec-2023,"INR 1,285,556.49",75.0,Ranjan Kumar Panda,04-Dec-2023 04:40 PM,279_61_Aoc.pdf (334.00 KB),As per estimated rate,1,2266499,Jalandhar Sethi,22-Sep-2023 02:48 PM,Accepted-AOC,Accepted,04-Dec-2023 04:41 PM,Commissioner,Internal,City Engineer Executive Engineer Junior Engineer,Ranjan Kumar Panda,04-Dec-2023 04:35 PM,techsummary_459388.pdf (347.98 KB),Municipal Bodies||Brahmapur Municipal Corporation,2023_ORULB_93866_61,BeMC(BAM)/279/2023-24,Upgrading of existing Kutcha WBM road Paver Block Road Raghunath Nagar Extension line road in w. no. 12,Commissioner,Internal,City Engineer Executive Engineer Junior Engineer,Ranjan Kumar Panda,04-Dec-2023 04:39 PM,finsummary_459388.pdf (386.04 KB),Finance,Admitted,Ranjan Kumar Panda,27-Sep-2023 07:31 PM,finance_459388.pdf,BOQ Comparative Chart,1.0,2266499.0,Jalandhar Sethi,INR,"1,324,123.18",AOC
2,ICICI NEFT/RTGS,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,2266539,Judhistira Kumar Sethi,22-Sep-2023 02:40 PM,Rejected-Finance,Rejected,04-Dec-2023 04:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
