S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GST, AFFIDAVIT, REGISTRTION ETC AS PER DTCN","16,460",Yes,fixed,,Nil,Nil,COMMISSIONER,BERHAMPUR MUNICIPAL CORPORATION,R/R to C C Road and RCC Drain near Salia Bandha to Maa Thakurani Temple in Ward No - 27,R/R to C C Road and RCC Drain near Salia Bandha to Maa Thakurani Temple in Ward No - 27,Please refer Tender documents ,NA ,"16,45,954",Civil Works - Others,NA ,Tender,120.0,90.0,"BERHAMPUR MUNICIPAL CORPORATION, BERHAMPUR",760002.0,NA ,NA ,NA ,"BERHAMPUR MUNICIPAL CORPORATION, BERHAMPUR",No ,No,Municipal Bodies||Brahmapur Municipal Corporation,BMC (BAM)/281/2023-24,2023_ORULB_94705_130,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"7,080",0.0,Nil,Nil,No,27-Sep-2023 03:00 PM,13-Oct-2023 11:30 AM,27-Sep-2023 03:00 PM,12-Oct-2023 05:00 PM,27-Sep-2023 03:00 PM ,07-Oct-2023 02:00 PM ,27-Sep-2023 03:00 PM,12-Oct-2023 05:00 PM,AOC,Commissioner,Internal,City Engineer Executive Engineer Junior Engineer,Ranjan Kumar Panda,22-Dec-2023 05:49 PM,techsummary_464086.pdf (451.72 KB),Commissioner,Internal,City Engineer Executive Engineer Junior Engineer,Ranjan Kumar Panda,22-Dec-2023 05:57 PM,finsummary_464086.pdf (475.86 KB),Finance,Admitted,Moningi Nageswara Subudhi,17-Oct-2023 12:24 PM,finance_464086.pdf,BOQ Comparative Chart,Municipal Bodies||Brahmapur Municipal Corporation,2023_ORULB_94705_130,BMC (BAM)/281/2023-24,R/R to C C Road and RCC Drain near Salia Bandha to Maa Thakurani Temple in Ward No - 27,1.0,2281669.0,SUBRAT KUMAR PANIGRAHY,INR,"1,697,008.61",1,2281725,Pramod Kumar Sahu,07-Oct-2023 01:44 PM,Rejected-Finance,Rejected,22-Dec-2023 05:57 PM,22-Dec-2023,"INR 1,645,983.13",90.0,Ranjan Kumar Panda,22-Dec-2023 05:59 PM,281_130-1.pdf (351.00 KB),As per estimated rate,AOC
2,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2281669,SUBRAT KUMAR PANIGRAHY,07-Oct-2023 01:25 PM,Accepted-AOC,Accepted,22-Dec-2023 06:00 PM,,,,,,,,AOC
