EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"7,577",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,dtcn,Construction of Community toilet in Ward No 5,Construction of Community toilet in ward no 5,Please refer Tender documents. ,NA ,"7,57,677",Civil Works - Others,NA ,Tender,90.0,45.0,Basudevpur Municipality,756125.0,NA ,NA ,NA ,Basudevpur Municipality,No ,No,Municipal Bodies||Basudevpur Municipality,BSPM-02-2023-24,2023_ORULB_93859_7,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,1,ICICI BANK,06-Sep-2023 10:00 AM,13-Sep-2023 11:00 AM,06-Sep-2023 10:00 AM,12-Sep-2023 05:00 PM,NA ,NA ,06-Sep-2023 10:00 AM,12-Sep-2023 05:00 PM,EO,Basudevpur Municipality,AOC,11-Dec-2023,"INR 903,000",45.0,Samir Ranjan Dash,11-Dec-2023 11:08 AM,7.pdf (604.00 KB),ok,NIBEDITA BEHERA,Internal,"EO,ME,JE,ACCT",Samir Ranjan Dash,29-Nov-2023 11:13 AM,finsummary_458785.pdf (1502.88 KB),Finance,ok,Manas Kumar Dandapat,14-Sep-2023 11:21 AM,finance_458785.pdf,BOQ Comparative Chart,1,2248295,RANJITA DASH,11-Sep-2023 11:49 AM,Accepted-AOC,ok,11-Dec-2023 11:08 AM,Municipal Bodies||Basudevpur Municipality,2023_ORULB_93859_7,BSPM-02-2023-24,Construction of Community toilet in Ward No 5,1,2248295,RANJITA DASH,INR,"903,000",NIBEDITA BEHERA,Internal,"EO,ME,JE,ACCT",Samir Ranjan Dash,29-Nov-2023 10:56 AM,techsummary_458785.pdf (1502.89 KB),AOC
,,,,,,,,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2,2248317,Satyabhama Mallick,11-Sep-2023 11:55 AM,Accepted-AOC,ok,11-Dec-2023 11:08 AM,,,,,2,2248317,Satyabhama Mallick,INR,"1,038,450",,,,,,,AOC
