Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Tender Stage
ST and SC Development Deptt||ITDA Sundergarh,2023_STSCD_92953_2,ITDASNG-01/2023-2024,Construction of dormitories with bathroom and toilet at Tunmura Sialjore Sevashram under Kutra Block,1.0,2241003.0,RANJAN TANTY,INR,"2,397,772.902","Collector, Sundargarh",Internal,"AEE, ITDA, Sundargarh, SE, MI Division, Sundargarh, PA, ITDA, Sundargarh",SHARAT KUMAR MAJHI,05-Oct-2023 10:00 PM,06-Oct-2023 03:00 PM,techsummary_453102.pdf (518.45 KB),"Collector, Sundargarh",Internal,"AEE, ITDA, Sundargarh, SE, MI Division, Sundargarh, PA, ITDA, Sundargarh",SHARAT KUMAR MAJHI,18-Oct-2023 07:19 PM,finsummary_453102.pdf (405.62 KB),15-Nov-2023,"INR 2,397,772.902",180.0,SHARAT KUMAR MAJHI,20-Dec-2023 09:18 PM,Sialjore.pdf (484.00 KB),Finance,Technical Bid Opened,SHARAT KUMAR MAJHI,06-Oct-2023 07:56 PM,finance_453102.pdf,BOQ Comparative Chart,1,2235277,BIKRAM PATEL,04-Sep-2023 06:53 PM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:20 PM,Technical,Technical Bid Opened,SHARAT KUMAR MAJHI,11-Sep-2023 11:20 AM,technical_453102.pdf,AOC,1.0,Fee/PreQual/Technical,.pdf,"License, PAN Card, GSTIIN and other documents as per DTCN","6,000",0.0,Nil,Nil,No,25-Aug-2023 11:00 AM,08-Sep-2023 11:00 AM,25-Aug-2023 11:00 AM,07-Sep-2023 05:00 PM,NA ,NA ,25-Aug-2023 11:00 AM,07-Sep-2023 05:00 PM,06-Oct-2023 03:00 PM,ST and SC Development Deptt||ITDA Sundergarh,ITDASNG-01/2023-2024,2023_STSCD_92953_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,Construction of dormitories with bathroom and toilet at Tunmura Sialjore Sevashram under Kutra Block,Construction of dormitories with bathroom and toilet at Tunmura Sialjore Sevashram under Kutra Block,Please refer Tender documents. ,NA ,"28,20,577",Civil Works - Buildings,NA ,Tender,90.0,180.0,Sundargarh,770001.0,NA ,NA ,NA ,"ITDA, Sundargarh",No ,No,"28,206",Yes,fixed,,Nil,Nil,"Project Administrator, ITDA, Sundargarh","ITDA, Sundargarh",1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2234307,DOLAGOBINDA BEHERA,04-Sep-2023 01:37 PM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:20 PM,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2242311,KARTIK TAPPO,07-Sep-2023 01:35 PM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:20 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2237001,KEDAR NATH SAHOO,07-Sep-2023 02:01 PM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:20 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2241597,PRABIR KUMAR SAMAL,07-Sep-2023 11:06 AM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:20 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2240024,RAJESH KUMAR TARAI,06-Sep-2023 07:35 PM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:20 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2241003,RANJAN TANTY,07-Sep-2023 12:25 PM,Accepted-AOC,QUALIFIED,20-Dec-2023 09:20 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2237788,Reeta Lakra,05-Sep-2023 05:35 PM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:20 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2240604,SULENDA RRAJAK,06-Sep-2023 08:38 PM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:20 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2239150,SUMIT KUMAR BEHERA,06-Sep-2023 01:19 PM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:20 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
