Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY","EXECUTIVE OFFICER, BHAWANIPATNA MUNICIPALITY",1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,Construction of paver road from Krushna ch. Panda house infront road in Shaktinagar pada in Ward No. 04,Construction of paver road from Krushna ch. Panda house infront road in Shaktinagar pada in Ward No. 04,Please refer Tender documents. ,NA ,"2,29,751",Civil Works - Others,NA ,Tender,90.0,45.0,BHAWANIPATNA MUNICIPALITY,766001.0,NA ,NA ,NA ,BHAWANIPATNA MUNICIPALITY,No ,No,"2,297",Yes,fixed,,Nil,Nil,Municipal Bodies||Bhawanipatna Municipality,BPM/03/2023-24,2023_ORULB_93128_39,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"2,000",0.0,Nil,Nil,No,25-Aug-2023 11:00 AM,08-Sep-2023 10:00 AM,25-Aug-2023 11:00 AM,07-Sep-2023 05:00 PM,NA ,NA ,25-Aug-2023 11:00 AM,07-Sep-2023 05:00 PM,1,ICICI BANK,AOC,1,2238252,Anubhab Mishra,06-Sep-2023 10:50 AM,Rejected-AOC,L2,10-Dec-2023 07:53 PM,10-Dec-2023,"INR 195,311.11",45.0,Chinmaya Kumar Nayak,10-Dec-2023 07:52 PM,PROCEEDINGWBM.pdf (817.00 KB),awarded,CP,Internal,"je,me,eo,cp",Chinmaya Kumar Nayak,10-Dec-2023 07:48 PM,techsummary_453981.pdf (816.60 KB),CP,Internal,"je,me,eo,cp",Chinmaya Kumar Nayak,10-Dec-2023 07:51 PM,finsummary_453981.pdf (816.60 KB),Municipal Bodies||Bhawanipatna Municipality,2023_ORULB_93128_39,BPM/03/2023-24,Construction of paver road from Krushna ch. Panda house infront road in Shaktinagar pada in Ward No. 04,1.0,2230102.0,Nabin Kumar Rout,INR,"195,311.11",Finance,ACCEPTED,Chinmaya Kumar Nayak,10-Dec-2023 07:04 PM,,BOQ Comparative Chart,AOC
,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC,2,2230102,Nabin Kumar Rout,03-Sep-2023 02:50 PM,Accepted-AOC,awarded,10-Dec-2023 07:53 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
