Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"Improvement of Road (WBM to PAVER) from Main Road to Barijanga village in ward no-15, Bhuban NAC","Improvement of Road (WBM to PAVER) from Main Road to Barijanga village in ward no-15, Bhuban NAC",Please refer Tender documents. ,NA ,"14,20,854",Civil Works - Roads,NA ,Tender,60.0,60.0,Bhuban NAC,759017.0,NA ,NA ,NA ,Bhuban NAC,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Pan Card, GST, Paper Cost, Valid RC, Labour License","6,000",0.0,Nil,Nil,No,04-Sep-2023 11:00 AM,18-Sep-2023 11:00 AM,04-Sep-2023 11:00 AM,16-Sep-2023 05:00 PM,NA ,NA ,04-Sep-2023 11:00 AM,16-Sep-2023 05:00 PM,"Executive Officer, Bhuban NAC","Executive Officer, Bhuban NAC, Bhuban",1.0,ICICI BANK,"14,209",Yes,percentage,1.0%,Nil,Nil,Municipal Bodies||Bhuban NAC,BBN NAC 02/2023-24,2023_ORULB_93718_40,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,Executive Officer,Internal,"CP, EO, ME, JE, ACCT",SURENDRA NATH SAHOO,22-Dec-2023 10:39 AM,finsummary_458193.pdf (182.95 KB),Municipal Bodies||Bhuban NAC,2023_ORULB_93718_40,BBN NAC 02/2023-24,"Improvement of Road (WBM to PAVER) from Main Road to Barijanga village in ward no-15, Bhuban NAC",1.0,2253767.0,AJAYA KUMAR SETHY,INR,"1,420,854.2",Finance,OK,SURENDRA NATH SAHOO,18-Sep-2023 11:48 AM,,BOQ Comparative Chart,22-Dec-2023,"INR 1,420,854.2",60.0,SURENDRA NATH SAHOO,22-Dec-2023 10:40 AM,40AOC.pdf (254.00 KB),AOC,1.0,2253767.0,AJAYA KUMAR SETHY,13-Sep-2023 06:00 PM,Accepted-AOC,L1,22-Dec-2023 10:40 AM,Executive Officer,Internal,"CP, EO, ME, JE, ACCT",SURENDRA NATH SAHOO,22-Dec-2023 10:24 AM,techsummary_458193.pdf (182.95 KB),AOC
,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit, Bid Security Declaration, Other documents as per DTCN",,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2253836.0,DEBENDRA SAHOO,13-Sep-2023 06:25 PM,Rejected-Technical,L2,22-Dec-2023 10:24 AM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
