S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1,ICICI BANK,"Executive Officer, Rayagada Municipality","Executive Officer, Rayagada Municipality","10,000",0.0,Nil,Nil,No,Municipal Bodies||Rayagada Municipality,RGDA-MUN-09/2023-24,2023_ORULB_93206_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1,Fee/PreQual/Technical,.pdf,"CMDS License,Affidavit,PAN,GSTIN,Caste Certificate,Bank A/C etc and others as per DTCN",25-Aug-2023 11:30 AM,12-Sep-2023 11:30 AM,25-Aug-2023 11:30 AM,11-Sep-2023 05:30 PM,25-Aug-2023 11:30 AM ,10-Sep-2023 05:30 PM ,25-Aug-2023 11:30 AM,11-Sep-2023 05:30 PM,01-Nov-2023 04:00 PM,"98,510",Yes,fixed,,Nil,Nil,Construction of Paver Block Road at PHD Kali Mandir road in W.No - 03,Construction of Paver Block Road at PHD Kali Mandir road in W.No - 03,Please refer Tender documents. ,NA ,"98,50,050",Civil Works - Roads,NA ,Tender,90.0,30.0,Rayagada,765001.0,NA ,NA ,NA ,Rayagada Municipality,No ,No,AOC,"Chairperson, Rayagada Municipality",Internal,,BIKRAMADITYA MOHAPATRA,27-Dec-2023 05:24 PM,finsummary_454160.pdf (48.06 KB),27-Dec-2023,"INR 10,559,854",30.0,BIKRAMADITYA MOHAPATRA,27-Dec-2023 05:26 PM,dOC11.pdf (1366.00 KB),Finance,Admitted,Bulu Sethy,08-Nov-2023 11:53 AM,finance_454160.pdf,BOQ Comparative Chart,Technical,All bids admitted,Bulu Sethy,01-Nov-2023 02:24 PM,,1,2248073,SANJAY KUMAR CHAUDHURY,11-Sep-2023 03:48 PM,Rejected-Finance,Quoted higher rate,27-Dec-2023 05:24 PM,1.0,2248222.0,Santosh kumar rath,INR,"10,529,690",Municipal Bodies||Rayagada Municipality,2023_ORULB_93206_2,RGDA-MUN-09/2023-24,Construction of Paver Block Road at PHD Kali Mandir road in W.No - 03,"Chairperson, Rayagada Municipality",Internal,,Bulu Sethy,01-Nov-2023 02:50 PM,01-Nov-2023 04:00 PM,techsummary_454160.pdf (568.29 KB),AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2,2248222,Santosh kumar rath,11-Sep-2023 11:25 AM,Accepted-AOC,Quoted rate Rs 10559854 and Negotiated rate Rs. 10529690,27-Dec-2023 05:27 PM,,,,,,,,,,,,,,,,,AOC
