S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1,ICICI BANK,"4,000",0.0,Nil,Nil,No,Municipal Bodies||Sonepur Municipal Council,16/2023-24,2023_ORULB_93503_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,Executive Officer,Sonepur Municipality,"6,200",Yes,fixed,,Nil,Nil,30-Aug-2023 11:00 AM,13-Sep-2023 11:00 AM,30-Aug-2023 11:00 AM,12-Sep-2023 05:00 PM,30-Aug-2023 11:00 AM ,12-Sep-2023 05:00 PM ,30-Aug-2023 11:00 AM,12-Sep-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,AS PER DTCN,Const of pavor surface over kuchha road from Govind Agrawal house to Mithun house in w.no.7,Const of pavor surface over kuchha road from Govind Agrawal house to Mithun house in w.no.7,Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Tender,60.0,NA ,Sonepur Municipality,767017.0,NA ,NA ,NA ,Sonepur Municipality,No ,No,AOC,Tamasi Tamasmita Nayak,Internal,Executive Officer Municipal Engineer APD Finance Accountant,Manoranjan Panda,11-Dec-2023 07:59 PM,techsummary_456291.pdf (793.64 KB),1.0,2248455.0,Nityananda Prusty,INR,"553,270.29",Municipal Bodies||Sonepur Municipal Council,2023_ORULB_93503_2,16/2023-24,Const of pavor surface over kuchha road from Govind Agrawal house to Mithun house in w.no.7,1,2248693,BABITA SAHU,12-Sep-2023 11:44 AM,Rejected-Finance,second lowest tenderer,11-Dec-2023 08:03 PM,11-Dec-2023,"INR 614,676.47",60.0,Manoranjan Panda,11-Dec-2023 08:05 PM,2WorkOrderNityanandaPrusty.pdf (764.00 KB),As per BOQ,Tamasi Tamasmita Nayak,Internal,Executive Officer Municipal Engineer APD Finance Accountant,Manoranjan Panda,11-Dec-2023 08:03 PM,finsummary_456291.pdf (793.64 KB),Finance,As per Tender Commitee,SURYANSHU ROOT,14-Sep-2023 08:42 PM,finance_456291.pdf,BOQ Comparative Chart,AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2,2248455,Nityananda Prusty,12-Sep-2023 01:38 PM,Accepted-AOC,First Lowest Tenderer,11-Dec-2023 08:06 PM,,,,,,,,,,,,,,,,,,,,AOC
