Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"11,800",Nil,Nil,No,"60,000",Yes,fixed,,Nil,Nil,"General Manager, WATCO Division, Cuttack","O/o- General Manager, WATCO Division, Cuttack",WATCO Bhubaneswar||Director (Operation) Watco||WATCO Division Cuttack,GMWATCO (W)-05/2023-24 Dtd.27.10.2023,2023_WCUTT_96298_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,03-Nov-2023 02:50 PM,14-Nov-2023 12:30 PM,03-Nov-2023 02:50 PM,13-Nov-2023 05:00 PM,03-Nov-2023 02:50 PM ,10-Nov-2023 05:00 PM ,03-Nov-2023 02:50 PM,13-Nov-2023 05:00 PM,20-Nov-2023 05:15 PM,1.0,ICICI BANK,"Improvement to P.H. works in the Academic block, Gents Hostel field side (G 2), Institution side (G 2), Extension block (G 1), Ladies Hostel No.2 (G 2) and Ladies Hostel No.3 (G 2) such as W/S, S/I and S/D work inside BOSE, Cuttack","Improvement to P.H. works in the Academic block, Gents Hostel field side (G 2), Institution side (G 2), Extension block (G 1), Ladies Hostel No.2 (G 2) and Ladies Hostel No.3 (G 2) such as W/S, S/I and S/D work inside BOSE, Cuttack",Please refer Tender documents. ,NA ,"59,49,034",Civil Works - Water Works,NA ,Tender,120.0,90.0,Cuttack,753003.0,NA ,NA ,NA ,"O/o- General Manager, WATCO Division, Cuttack",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Copy of PAN,GSTIN, Affidavits,Certificates, Formats,Schedules and other documents if any as per DTCN",AOC,1.0,2310947.0,PRADIPTA KUMAR POLAI,INR,"5,057,274",WATCO Bhubaneswar||Director (Operation) Watco||WATCO Division Cuttack,2023_WCUTT_96298_1,GMWATCO (W)-05/2023-24 Dtd.27.10.2023,"Improvement to P.H. works in the Academic block, Gents Hostel field side (G 2), Institution side (G 2), Extension block (G 1), Ladies Hostel No.2 (G 2) and Ladies Hostel No.3 (G 2) such as W/S, S/I and S/D work inside BOSE, Cuttack",Debabrata Mohanty,Internal,,Debabrata Mohanty,20-Nov-2023 05:13 PM,20-Nov-2023 05:15 PM,techsummary_470431.pdf (325.37 KB),Debabrata Mohanty,Internal,,Debabrata Mohanty,13-Dec-2023 04:25 PM,finsummary_470431.pdf (896.82 KB),13-Dec-2023,"INR 5,057,274",90.0,Debabrata Mohanty,13-Dec-2023 04:31 PM,aoc052324.pdf (860.00 KB),"Selected from transparent lottery between L1 Bidders and SC Bidders, those had given willingness to reduce their bid to L1 amount",Technical,All the bidders found to be responsive,Biswaranjan Rath,14-Nov-2023 02:17 PM,,1,2312474,ANANTA KHATUA,11-Nov-2023 01:03 PM,Rejected-AOC,Not Selected from transparent lottery,13-Dec-2023 04:33 PM,Finance,All the bidders found to be responsive,Debabrata Mohanty,20-Nov-2023 06:19 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2310529,CHINTAMANI KUNDA,12-Nov-2023 08:23 PM,Rejected-AOC,L2,13-Dec-2023 04:33 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2312831,DEBAKANTA MALLICK,12-Nov-2023 01:26 PM,Rejected-AOC,L3,13-Dec-2023 04:33 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2312840,Girija Shankar Mishra,13-Nov-2023 02:04 PM,Rejected-AOC,Not Selected from transparent lottery,13-Dec-2023 04:33 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2310767,HEMANTA KUMAR JENA,13-Nov-2023 01:53 PM,Rejected-AOC,Not Selected from transparent lottery,13-Dec-2023 04:33 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2313305,Jitu Ranjan Mohapatra,13-Nov-2023 01:32 PM,Rejected-Technical,Non Responsive,20-Nov-2023 05:13 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2311009,MAHENDRA KUMAR SAHOO,10-Nov-2023 12:04 PM,Rejected-AOC,Not Selected from transparent lottery,13-Dec-2023 04:33 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2310804,MANMATH KUMAR BEHURA,13-Nov-2023 01:27 PM,Rejected-AOC,Not Selected from transparent lottery,13-Dec-2023 04:33 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2313088,NIHAR RANJAN MALLICK,13-Nov-2023 10:40 AM,Rejected-AOC,L2,13-Dec-2023 04:33 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2310947,PRADIPTA KUMAR POLAI,11-Nov-2023 01:33 PM,Accepted-AOC,Selected from transparent lottery,13-Dec-2023 04:33 PM,,,,,,,AOC
