Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Gulmaki Dalawzi,Internal,Details attached below,Deviprasad Mohanty,11-Dec-2023 01:53 PM,techsummary_461866.pdf (236.75 KB),11-Dec-2023,"INR 641,279",60.0,Deviprasad Mohanty,11-Dec-2023 01:56 PM,11.pdf (1221.00 KB),work order issued,1,2267494,Dayanidhi Mohapatra,23-Sep-2023 06:08 PM,Rejected-AOC,Quoted second lowest,11-Dec-2023 01:57 PM,1.0,2267478.0,SANJEET KUMAR SAMAL,INR,"641,279",Finance,ok,Pradip Kumar Saha,26-Sep-2023 01:11 PM,,BOQ Comparative Chart,Gulmaki Dalawzi,Internal,Details attached below,Deviprasad Mohanty,11-Dec-2023 01:54 PM,finsummary_461866.pdf (236.75 KB),Municipal Bodies||Bhadrak Municipality,2023_ORULB_94391_11,BM-BDK-02-2023-24,Construction of paver road from Main road to Udayanath Moharana house at Gopabandhu Nagar in Ward No.6,AOC,Executive Officer,"Executive Officer, Bhadrak Municipality",16-Sep-2023 10:00 AM,26-Sep-2023 11:00 AM,16-Sep-2023 10:00 AM,25-Sep-2023 05:00 PM,NA ,NA ,16-Sep-2023 10:00 AM,25-Sep-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid document cost, EMD, GST, Registration Certificate, Affidavit and other documents as per DTCN","6,200",Yes,fixed,,Nil,Nil,1,ICICI BANK,"4,000",0.0,Nil,Nil,No,Construction of paver road from Main road to Udayanath Moharana house at Gopabandhu Nagar in Ward No.6,Construction of paver road from Main road to Udayanath Moharana house at Gopabandhu Nagar in Ward No.6,Please refer Tender documents. ,NA ,"6,10,800",Civil Works - Others,NA ,Tender,90.0,60.0,Bhadrak Municipality,756100.0,NA ,NA ,NA ,Municipal Council Bhadrak,No ,No,Municipal Bodies||Bhadrak Municipality,BM-BDK-02-2023-24,2023_ORULB_94391_11,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,2,2267478,SANJEET KUMAR SAMAL,24-Sep-2023 10:22 AM,Accepted-AOC,Quoted first lowest,11-Dec-2023 01:57 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
