Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Widening of road from Patibhadra house to Pradhan Sahi in ward no 7,Widening of road from Patibhadra house to Pradhan Sahi in ward no 7,Please refer Tender documents. ,NA ,"10,27,320",Civil Works - Others,NA ,Tender,90.0,60.0,PATTAMUNDAI,754215.0,NA ,NA ,NA ,Pattamundai Municipality,No ,No,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Technical Document as per DTCN,"10,273",Yes,percentage,1.0%,Nil,Nil,1,ICICI BANK,Municipal Bodies||Pattamundai Municipality,PM_03/2023-24,2023_ORULB_92942_39,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,24-Aug-2023 06:55 PM,04-Sep-2023 12:00 PM,24-Aug-2023 06:55 PM,04-Sep-2023 11:00 AM,24-Aug-2023 06:55 PM ,02-Sep-2023 05:00 PM ,24-Aug-2023 06:55 PM,04-Sep-2023 11:00 AM,EXECUTIVE OFFICER PATTAMUNDAI MUNICIPALITY,PATTAMUNDAI,AOC,15-Dec-2023,"INR 1,212,240",60.0,Ajit Narayanprasad Giri,15-Dec-2023 12:49 PM,AOC.pdf (89.00 KB),1,2232969,DIBYA RANJAN OJHA,03-Sep-2023 04:19 PM,Accepted-AOC,The Bidder Was Selected as L1 Bidder Because he Coted Lowest Rate Than Other Competitor Bidder,15-Dec-2023 12:51 PM,HEMANT KUMAR SAHOO CP,Internal,,Ajit Narayanprasad Giri,15-Dec-2023 12:45 PM,techsummary_453719.pdf (73.09 KB),HEMANT KUMAR SAHOO CP,Internal,,Ajit Narayanprasad Giri,15-Dec-2023 12:46 PM,finsummary_453719.pdf (72.87 KB),Municipal Bodies||Pattamundai Municipality,2023_ORULB_92942_39,PM_03/2023-24,Widening of road from Patibhadra house to Pradhan Sahi in ward no 7,1.0,2232969.0,DIBYA RANJAN OJHA,INR,"1,027,322.56",Finance,ok,Ajit Narayanprasad Giri,07-Sep-2023 06:28 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2,2232984,JAYANTI SAHOO,03-Sep-2023 04:37 PM,Rejected-AOC,L2,15-Dec-2023 12:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
