Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Khordha||BALIPATNA Block,2023_PRBLP_97948_1,BPS/20/2023-24,"Construction of additional smart class room and up gradation of existing class rooms to class rooms , e library, provision of toilets, drinking water facilities and development of play grounds of Odakhanada higher secondary school in Balipatna block",1.0,2359185.0,BIRANCHI BHUSAN MOHANTY,INR,"1,864,375",S P Priyadarsini,Internal,"AEE, AO, SO, JE",SMRUTI PRAJNA PRIYADARSHINEE,30-Dec-2023 07:58 PM,techsummary_477810.pdf (265.12 KB),Finance,Tender Committee formed for opening,SMRUTI PRAJNA PRIYADARSHINEE,22-Dec-2023 04:49 PM,,BOQ Comparative Chart,S P Priyadarsini,Internal,"AEE, AO, SO, JE",SMRUTI PRAJNA PRIYADARSHINEE,30-Dec-2023 08:01 PM,finsummary_477810.pdf (265.12 KB),01-Jan-2024,"INR 1,864,375",90.0,SMRUTI PRAJNA PRIYADARSHINEE,30-Dec-2023 08:04 PM,AOC.pdf (421.00 KB),L 1,1,2359185,BIRANCHI BHUSAN MOHANTY,17-Dec-2023 10:17 AM,Accepted-AOC,L 1,30-Dec-2023 08:05 PM,AOC,07-Dec-2023 03:00 PM,19-Dec-2023 11:00 AM,07-Dec-2023 03:00 PM,18-Dec-2023 05:00 PM,07-Dec-2023 03:00 PM ,14-Dec-2023 05:00 PM ,11-Dec-2023 10:00 AM,18-Dec-2023 05:00 PM,"6,000",Nil,Nil,No,"18,644",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Khordha||BALIPATNA Block,BPS/20/2023-24,2023_PRBLP_97948_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,"Block Development Officer, Balipatna",Panchayat Samiti Balipatna,"Construction of additional smart class room and up gradation of existing class rooms to class rooms , e library, provision of toilets, drinking water facilities and development of play grounds of Odakhanada higher secondary school in Balipatna block","Construction of additional smart class room and up gradation of existing class rooms to class rooms , e library, provision of toilets, drinking water facilities and development of play grounds of Odakhanada higher secondary school in Balipatna block",Please refer Tender documents. ,NA ,"18,64,375",Civil Works - Buildings,NA ,Rate Contract,120.0,90.0,Odakhanda Balipatna block,752102.0,NA ,NA ,NA ,Panchayat Samiti Balipatna,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2360279,JAY MAHADEV CONSTRUCTION,18-Dec-2023 04:38 PM,Rejected-Finance,BY LOTTORY,30-Dec-2023 08:01 PM,AOC,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2360163,PUSPANJALI MOHANTY,18-Dec-2023 01:17 PM,Rejected-Finance,BY LOTTORY,30-Dec-2023 08:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
