Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
25-Aug-2023 11:00 AM,08-Sep-2023 11:00 AM,25-Aug-2023 11:00 AM,07-Sep-2023 05:00 PM,NA ,NA ,25-Aug-2023 11:00 AM,07-Sep-2023 05:00 PM,06-Oct-2023 03:00 PM,Construction of dormitories with bathroom and toilet at Birkaldihi Ashram School under Balisankara Block,Construction of dormitories with bathroom and toilet at Birkaldihi Ashram School under Balisankara Block,Please refer Tender documents. ,NA ,"28,80,453",Civil Works - Buildings,NA ,Tender,90.0,180.0,Sundargarh,770001.0,NA ,NA ,NA ,"ITDA, Sundargarh",No ,No,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,"Project Administrator, ITDA, Sundargarh","ITDA, SUNDARGARH",ST and SC Development Deptt||ITDA Sundergarh,ITDASNG-01/2023-2024,2023_STSCD_92953_6,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"License, PAN Card, GSTIIN and other documents as per DTCN","28,805",Yes,fixed,,Nil,Nil,AOC,1.0,2242943.0,RAJ KISHORE BHATTACHARYA,INR,"2,448,673.167",ST and SC Development Deptt||ITDA Sundergarh,2023_STSCD_92953_6,ITDASNG-01/2023-2024,Construction of dormitories with bathroom and toilet at Birkaldihi Ashram School under Balisankara Block,"Collector, Sundargarh",Internal,"AEE, ITDA, Sundargarh, SE, MI Division, Sundargarh, PA, ITDA, Sundargarh",SHARAT KUMAR MAJHI,05-Oct-2023 10:11 PM,06-Oct-2023 03:00 PM,techsummary_454044.pdf (578.69 KB),15-Nov-2023,"INR 2,448,673.167",180.0,SHARAT KUMAR MAJHI,20-Dec-2023 09:33 PM,Birkaldihi.pdf (523.00 KB),AOC,"Collector, Sundargarh",Internal,"AEE, ITDA, Sundargarh, SE, MI Division, Sundargarh, PA, ITDA, Sundargarh",SHARAT KUMAR MAJHI,18-Oct-2023 07:36 PM,finsummary_454044.pdf (413.16 KB),Technical,Technical Bid Opened,SHARAT KUMAR MAJHI,11-Sep-2023 11:52 AM,technical_454044.pdf,1,2241692,ANMAYA KUMAR BHOI,07-Sep-2023 11:54 AM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:34 PM,Finance,Bid opened,SHARAT KUMAR MAJHI,06-Oct-2023 08:35 PM,finance_454044.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2239207,Ashish Singh,06-Sep-2023 04:26 PM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:34 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2234439,BHARAT SETH,04-Sep-2023 03:48 PM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:34 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2235296,BIKRAM PATEL,04-Sep-2023 07:10 PM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:34 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2240017,BINAY NAIK,06-Sep-2023 05:45 PM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:34 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2231432,JAYANTA KUMAR PATTNAIK,05-Sep-2023 11:05 AM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:34 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2242577,JAYDEV KALO,07-Sep-2023 02:16 PM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:34 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2238521,LAXMIKANTA SAHOO,06-Sep-2023 08:45 AM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:34 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2235793,MAYANK PUROHIT,04-Sep-2023 10:54 PM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:34 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2242036,MINAKETAN GARDIA,07-Sep-2023 02:00 PM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:34 PM,,,,,,,AOC
