Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Municipal Bodies||Bhadrak Municipality,BM-BDK-02-2023-24,2023_ORULB_94391_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,300",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid document cost, EMD, GST, Registration Certificate, Affidavit and other documents as per DTCN",Executive Officer,"Executive Officer, Bhadrak Municipality","4,000",0.0,Nil,Nil,No,Construction of paver road from NH Feeder road towards Dr. Santosh Jena house in Ward No.4,Construction of paver road from NH Feeder road towards Dr. Santosh Jena house in Ward No.4,Please refer Tender documents. ,NA ,"6,22,365",Civil Works - Others,NA ,Tender,90.0,60.0,Bhadrak Municipality,756100.0,NA ,NA ,NA ,Municipal Council Bhadrak,No ,No,1,ICICI BANK,16-Sep-2023 10:00 AM,26-Sep-2023 11:00 AM,16-Sep-2023 10:00 AM,25-Sep-2023 05:00 PM,NA ,NA ,16-Sep-2023 10:00 AM,25-Sep-2023 05:00 PM,AOC,Gulmaki Dalawzi,Internal,Details attached below,Deviprasad Mohanty,16-Dec-2023 12:16 PM,techsummary_461848.pdf (236.75 KB),1.0,2268568.0,BIDYADHAR BEHERA,INR,"622,365",Municipal Bodies||Bhadrak Municipality,2023_ORULB_94391_4,BM-BDK-02-2023-24,Construction of paver road from NH Feeder road towards Dr. Santosh Jena house in Ward No.4,1,2268568,BIDYADHAR BEHERA,25-Sep-2023 01:08 PM,Accepted-AOC,Quoted first lowest,16-Dec-2023 12:19 PM,16-Dec-2023,"INR 622,365",60.0,Deviprasad Mohanty,16-Dec-2023 12:19 PM,4.pdf (1239.00 KB),work order issued,Gulmaki Dalawzi,Internal,Details attached below,Deviprasad Mohanty,16-Dec-2023 12:18 PM,finsummary_461848.pdf (236.75 KB),Finance,ok,Pradip Kumar Saha,26-Sep-2023 12:33 PM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,AOC,,,,,,,,,,,,,,,,2,2269613,Rajesh Kumar Nayak,25-Sep-2023 01:32 PM,Rejected-AOC,Quoted first lowest,16-Dec-2023 12:19 PM,,,,,,,,,,,,,,,,,,,,AOC
