Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
28-Dec-2023,"INR 5,867,142",30.0,BIKRAMADITYA MOHAPATRA,28-Dec-2023 04:58 PM,Ddoc.pdf (1773.00 KB),"Chairperson, Rayagada Municipality",Internal,,BIKRAMADITYA MOHAPATRA,28-Dec-2023 04:57 PM,finsummary_454171.pdf (48.06 KB),Finance,Admitted,Bulu Sethy,08-Nov-2023 12:01 PM,finance_454171.pdf,BOQ Comparative Chart,1,2248472,G DEEPAK KUMAR,11-Sep-2023 01:48 PM,Accepted-AOC,Awarded,28-Dec-2023 04:58 PM,Technical,All bids admitted,Bulu Sethy,01-Nov-2023 02:27 PM,,Municipal Bodies||Rayagada Municipality,2023_ORULB_93206_5,RGDA-MUN-09/2023-24,Construction of Paver block road at Tumbiguda Village back side road in ward no.-19,1.0,2248472.0,G DEEPAK KUMAR,INR,"5,867,142","Chairperson, Rayagada Municipality",Internal,,Bulu Sethy,01-Nov-2023 02:59 PM,01-Nov-2023 04:00 PM,techsummary_454171.pdf (186.90 KB),AOC,1,ICICI BANK,"61,350",Yes,fixed,,Nil,Nil,25-Aug-2023 11:30 AM,12-Sep-2023 11:30 AM,25-Aug-2023 11:30 AM,11-Sep-2023 05:30 PM,25-Aug-2023 11:30 AM ,10-Sep-2023 05:30 PM ,25-Aug-2023 11:30 AM,11-Sep-2023 05:30 PM,01-Nov-2023 04:00 PM,1,Fee/PreQual/Technical,.pdf,"CMDS License,Affidavit,PAN,GSTIN,Caste Certificate,Bank A/C etc and others as per DTCN",Construction of Paver block road at Tumbiguda Village back side road in ward no.-19,Construction of Paver block road at Tumbiguda Village back side road in ward no.-19,Please refer Tender documents. ,NA ,"61,31,655",Civil Works - Roads,NA ,Tender,90.0,30.0,Rayagada,765001.0,NA ,NA ,NA ,Rayagada Municipality,No ,No,"10,000",0.0,Nil,Nil,No,Municipal Bodies||Rayagada Municipality,RGDA-MUN-09/2023-24,2023_ORULB_93206_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Executive Officer, Rayagada Municipality","Executive Officer, Rayagada Municipality",AOC
,,,,,,,,,,,,,,,,,,2,2248341,KRUSHNA CHANDRA PRUSTY,11-Sep-2023 12:14 PM,Rejected-Finance,Quoted higher rate,28-Dec-2023 04:57 PM,,,,,,,,,,,,,,,,,,,,,,AOC,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,2,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
