EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"28,206",Yes,fixed,,Nil,Nil,25-Aug-2023 11:00 AM,08-Sep-2023 11:00 AM,25-Aug-2023 11:00 AM,07-Sep-2023 05:00 PM,NA ,NA ,25-Aug-2023 11:00 AM,07-Sep-2023 05:00 PM,06-Oct-2023 03:00 PM,1.0,ICICI BANK,"Project Administrator, ITDA, Sundargarh","ITDA, SUNDARGARH",Construction of dormitories with bathroom and toilet at Biringatoli Ashram School under Kutra Block,Construction of dormitories with bathroom and toilet at Biringatoli Ashram School under Kutra Block,Please refer Tender documents. ,NA ,"28,20,577",Civil Works - Buildings,NA ,Tender,90.0,180.0,Sundargarh,770001.0,NA ,NA ,NA ,"ITDA, Sundargarh",No ,No,ST and SC Development Deptt||ITDA Sundergarh,ITDASNG-01/2023-2024,2023_STSCD_92953_3,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"License, PAN Card, GSTIIN and other documents as per DTCN",AOC,1.0,2240065.0,RAJESH KUMAR TARAI,INR,"2,397,772.902",ST and SC Development Deptt||ITDA Sundergarh,2023_STSCD_92953_3,ITDASNG-01/2023-2024,Construction of dormitories with bathroom and toilet at Biringatoli Ashram School under Kutra Block,"Collector, Sundargarh",Internal,"AEE, ITDA, Sundargarh, SE, MI Division, Sundargarh, PA, ITDA, Sundargarh",SHARAT KUMAR MAJHI,05-Oct-2023 10:02 PM,06-Oct-2023 03:00 PM,techsummary_453104.pdf (532.62 KB),"Collector, Sundargarh",Internal,"AEE, ITDA, Sundargarh, SE, MI Division, Sundargarh, PA, ITDA, Sundargarh",SHARAT KUMAR MAJHI,18-Oct-2023 07:24 PM,finsummary_453104.pdf (405.42 KB),15-Nov-2023,"INR 2,397,772.902",180.0,SHARAT KUMAR MAJHI,20-Dec-2023 09:22 PM,Biringatoli.pdf (502.00 KB),AOC,Finance,Bid opened,SHARAT KUMAR MAJHI,06-Oct-2023 08:04 PM,finance_453104.pdf,BOQ Comparative Chart,Technical,Technical Bid Opened,SHARAT KUMAR MAJHI,11-Sep-2023 11:29 AM,technical_453104.pdf,1,2235286,BIKRAM PATEL,04-Sep-2023 07:01 PM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:24 PM,AOC
,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2234315,DOLAGOBINDA BEHERA,04-Sep-2023 01:38 PM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2242433,KARTIK TAPPO,07-Sep-2023 01:54 PM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2239472,MOHAMMAD GULAM GOUS,06-Sep-2023 04:59 PM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2241630,PRABIR KUMAR SAMAL,07-Sep-2023 11:15 AM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2240065,RAJESH KUMAR TARAI,06-Sep-2023 07:42 PM,Accepted-AOC,QUALIFIED,20-Dec-2023 09:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2237131,RAJKISHOR MAHANANDIA,05-Sep-2023 02:05 PM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2241007,RANJAN TANTY,07-Sep-2023 12:31 PM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2237767,Reeta Lakra,05-Sep-2023 05:26 PM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2242130,SRIJAN CONSTRUCTION,07-Sep-2023 12:59 PM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2240653,SULENDA RRAJAK,06-Sep-2023 08:48 PM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2239108,SUMIT KUMAR BEHERA,06-Sep-2023 01:11 PM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:24 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2239883,SURAJ KUMAR TOPPO,07-Sep-2023 10:44 AM,Rejected-AOC,UNQUALIFIED,20-Dec-2023 09:24 PM,AOC
