S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1,ICICI BANK,COMMISSIONER,BERHAMPUR MUNICIPAL CORPORATION,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GST, AFFIDAVIT, REGISTRTION ETC AS PER DTCN",Municipal Bodies||Brahmapur Municipal Corporation,BMC (BAM)/281/2023-24,2023_ORULB_94705_246,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"26,750",Yes,fixed,,Nil,Nil,"7,080",0.0,Nil,Nil,No,27-Sep-2023 03:00 PM,13-Oct-2023 11:30 AM,27-Sep-2023 03:00 PM,12-Oct-2023 05:00 PM,27-Sep-2023 03:00 PM ,07-Oct-2023 02:00 PM ,27-Sep-2023 03:00 PM,12-Oct-2023 05:00 PM,Finishing of building for Silk Weaber at Jagabandhu Huda,Finishing of building for Silk Weaber at Jagabandhu Huda,Please refer Tender documents ,NA ,"26,75,000",Civil Works - Others,NA ,Tender,120.0,90.0,"BERHAMPUR MUNICIPAL CORPORATION, BERHAMPUR",760002.0,NA ,NA ,NA ,"BERHAMPUR MUNICIPAL CORPORATION, BERHAMPUR",No ,No,AOC,Commissioner,Internal,City Engineer Executive Engineer Junior Engineer,Ranjan Kumar Panda,16-Dec-2023 12:59 PM,techsummary_464337.pdf (362.55 KB),Commissioner,Internal,City Engineer Executive Engineer Junior Engineer,Ranjan Kumar Panda,16-Dec-2023 01:32 PM,finsummary_464337.pdf (400.27 KB),Finance,Admitted,Moningi Nageswara Subudhi,18-Oct-2023 05:10 PM,finance_464337.pdf,BOQ Comparative Chart,Municipal Bodies||Brahmapur Municipal Corporation,2023_ORULB_94705_246,BMC (BAM)/281/2023-24,Finishing of building for Silk Weaber at Jagabandhu Huda,1.0,2283392.0,CHAKRAPANI BARADA,INR,"2,726,290.88",1,2283392,CHAKRAPANI BARADA,11-Oct-2023 08:21 PM,Accepted-AOC,Accepted,16-Dec-2023 01:37 PM,16-Dec-2023,"INR 2,673,096.26",90.0,Ranjan Kumar Panda,16-Dec-2023 01:36 PM,281_246-1.pdf (482.00 KB),As per estimated rate,AOC
2,ICICI NEFT/RTGS,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2283346,Saheb Nayak,09-Oct-2023 07:55 PM,Rejected-Finance,Rejected,16-Dec-2023 01:32 PM,,,,,,,,AOC
