Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,L1 Bidder will finalised after scrutiny of all documents,Debiprasad Rout,08-Dec-2023 01:37 PM,,EO,Internal,"JE,ME",Debiprasad Rout,11-Dec-2023 05:08 PM,finsummary_466880.pdf,Municipal Bodies||Dhenkanal Municipality,2023_ORULB_95480_10,DKL MPLTY/05/2023-24,"Repair and Constn. of culvert at Baunsia Pokhari huda, approach at police line road, road repair at Girija Babu house front and Ratna Mandap front gali and other maintenance work in ward no. 10",EO,Internal,"JE,ME",Debiprasad Rout,11-Dec-2023 12:40 PM,techsummary_466880.pdf,11-Dec-2023,"INR 316,146",30.0,Debiprasad Rout,11-Dec-2023 05:13 PM,AOC-10.pdf,AOC,Executive Officer,Dhenkanal Municipality,"3,161",Yes,fixed,,Nil,Nil,Municipal Bodies||Dhenkanal Municipality,DKL MPLTY/05/2023-24,2023_ORULB_95480_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"Repair and Constn. of culvert at Baunsia Pokhari huda, approach at police line road, road repair at Girija Babu house front and Ratna Mandap front gali and other maintenance work in ward no. 10",As per DTCN,Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Tender,120.0,30.0,DHENKANAL,759001.0,NA ,NA ,NA ,Dhenkanal Municipality,No ,No,11-Oct-2023 01:00 PM,19-Oct-2023 11:00 AM,11-Oct-2023 01:00 PM,17-Oct-2023 05:30 PM,NA ,NA ,11-Oct-2023 01:00 PM,17-Oct-2023 05:30 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,NIT,"2,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DTCN,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,AOC
