Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Gulmaki Dalawzi,Internal,Details attached below,Deviprasad Mohanty,11-Dec-2023 02:13 PM,techsummary_461876.pdf (236.75 KB),1,2267500,Dayanidhi Mohapatra,23-Sep-2023 06:14 PM,Rejected-AOC,Quoted second lowest,11-Dec-2023 02:16 PM,11-Dec-2023,"INR 995,305",60.0,Deviprasad Mohanty,11-Dec-2023 02:16 PM,14.pdf (1599.00 KB),Work order issued,Finance,ok,Pradip Kumar Saha,26-Sep-2023 01:23 PM,,BOQ Comparative Chart,1.0,2267484.0,SANJEET KUMAR SAMAL,INR,"995,305",Municipal Bodies||Bhadrak Municipality,2023_ORULB_94391_14,BM-BDK-02-2023-24,Construction of paver road from Bimal Nayak house towards Kar Babu house at Gopabandhu Nagar in Ward No.6,Gulmaki Dalawzi,Internal,Details attached below,Deviprasad Mohanty,11-Dec-2023 02:15 PM,finsummary_461876.pdf (236.75 KB),AOC,Executive Officer,"Executive Officer, Bhadrak Municipality",1,ICICI BANK,16-Sep-2023 10:00 AM,26-Sep-2023 11:00 AM,16-Sep-2023 10:00 AM,25-Sep-2023 05:00 PM,NA ,NA ,16-Sep-2023 10:00 AM,25-Sep-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Bid document cost, EMD, GST, Registration Certificate, Affidavit and other documents as per DTCN","9,500",Yes,fixed,,Nil,Nil,Municipal Bodies||Bhadrak Municipality,BM-BDK-02-2023-24,2023_ORULB_94391_14,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,Construction of paver road from Bimal Nayak house towards Kar Babu house at Gopabandhu Nagar in Ward No.6,Construction of paver road from Bimal Nayak house towards Kar Babu house at Gopabandhu Nagar in Ward No.6,Please refer Tender documents. ,NA ,"9,48,000",Civil Works - Others,NA ,Tender,90.0,60.0,Bhadrak Municipality,756100.0,NA ,NA ,NA ,Municipal Council Bhadrak,No ,No,AOC
,,,,,,2,2267484,SANJEET KUMAR SAMAL,24-Sep-2023 10:55 AM,Accepted-AOC,Quoted first lowest,11-Dec-2023 02:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2,ICICI NEFT/RTGS,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
