S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit","2,71,200",Yes,fixed,,Nil,Nil,06-Nov-2023 02:00 PM,21-Nov-2023 11:00 AM,06-Nov-2023 02:00 PM,20-Nov-2023 05:00 PM,06-Nov-2023 02:00 PM ,08-Nov-2023 05:00 PM ,06-Nov-2023 02:00 PM,20-Nov-2023 05:00 PM,24-Nov-2023 11:00 AM,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,"Development of Playground at Unit-8 Boys High School, Bhubaneswar, Khurdha",Building/Road/ Play Ground Work,Please refer Tender documents  ,NA ,"2,71,17,963",Civil Works - Buildings,NA ,Tender,90.0,120.0,Khurdha,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,"11,800",0.0,Nil,Nil,No,Orissa State Police Housing and Welfare Corporation Ltd,20/OPHWC/2023-24,2023_OSPHW_96410_4,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,Orissa State Police Housing and Welfare Corporation Ltd,2023_OSPHW_96410_4,20/OPHWC/2023-24,"Development of Playground at Unit-8 Boys High School, Bhubaneswar, Khurdha",1.0,2322324.0,RASHID SHAKEEL HASAN,INR,"25,355,295",AS PER TC MINUTES,Internal,AS PER TC MINUTES,DURGA CHARANA MISHRA,23-Nov-2023 07:56 PM,24-Nov-2023 11:00 AM,techsummary_470694.pdf (130.20 KB),AS PER ACCEPTANCE LETTER,Internal,AS PER ACCEPTANCE LETTER,Bikram Keshari Malla,21-Dec-2023 04:24 PM,finsummary_470694.pdf (1857.95 KB),21-Dec-2023,"INR 25,355,295",120.0,Bikram Keshari Malla,21-Dec-2023 04:26 PM,WORKJ.pdf (281.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 08.12.2023,Technical,6 NOS OF BIDDERS HAVE BEEN PARTICIPATED,Bikram Keshari Malla,21-Nov-2023 12:11 PM,,1,2318715,AJAY PRADHAN,17-Nov-2023 04:18 PM,Rejected-Technical,Non-securing qualifying marks in Point of Presentation as per DTCN cl. 110(m).,23-Nov-2023 07:56 PM,Finance,FINANCIAL BID OPEN AND COMPARATIVE GENERATED,Bikram Keshari Malla,24-Nov-2023 11:38 AM,,BOQ Comparative Chart,AOC
2.0,ICICI NEFT/RTGS,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2315577,HAV CREATORS PVT LTD,17-Nov-2023 03:06 PM,Rejected-Technical,Non-securing qualifying marks in Point of Presentation as per DTCN cl. 110(m).,23-Nov-2023 07:56 PM,,,,,,,AOC
,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2322324,RASHID SHAKEEL HASAN,20-Nov-2023 01:45 PM,Accepted-AOC,QUALIFIED BIDDER,21-Dec-2023 04:26 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2321375,R. PRADHAN CONSTRUCTION PRIVATE LIMITED,18-Nov-2023 06:08 PM,Rejected-Technical,Non submission of adequate similar nature of work as per DTCN clause no-11 and 110 (J) and Sch-C i.e required Tools and Plant to secure qualifying marks as per DTCN clause no-13 and 110 (f),23-Nov-2023 07:56 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2320540,Sk Mohammed Wajuddin,18-Nov-2023 04:41 PM,Rejected-Technical,Non submission of adequate similar nature of work as per DTCN clause no-11 and 110 (J) and Sch-C i.e required Tools and Plant to secure qualifying marks as per DTCN clause no-13 and 110 (f),23-Nov-2023 07:56 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2321441,SOUMIT PANDA,18-Nov-2023 05:36 PM,Rejected-Technical,Non-securing qualifying marks in Point of Presentation as per DTCN cl. 110(m).,23-Nov-2023 07:56 PM,,,,,,,AOC
