Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit, EMD, GST Registration Certificate, GSTIN, PAN and Contractor RC","4,000",Nil,Nil,No,06-Nov-2023 11:00 AM,18-Nov-2023 11:00 AM,06-Nov-2023 11:00 AM,17-Nov-2023 05:30 PM,NA ,NA ,06-Nov-2023 11:00 AM,17-Nov-2023 05:30 PM,Construction of trough from RD 0.00km to RD 0.150 km of Phupugaon minor.,CANAL STRUCTURAL WORK,AS PER DTCN ,NA ,"6,66,367",Civil Works - Canal,NA ,Tender,90.0,90.0,BORIGUMMA,764056.0,NA ,NA ,NA ,"Office of the SE UKIDIVN, Borigumma,Dist-Koraput.",No ,No,"6,700",Yes,fixed,,Nil,Nil,CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Upper Kolab Irrigation Division Borigumma,SEUKID 02/2023-24 (SL20),2023_UPIDB_96353_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"SE UKIDIVN, Borigumma,Dist-Koraput","Office of the Superintending Engineer, U.K.I.Division,Borigumma, Dist- Koraput, PIN 764056",1.0,ICICI BANK,AOC,"SE,UKID, Borigumma",Internal,"Divisional Accountant , Estimator",Hemanta Kumar Hotta,03-Dec-2023 10:43 PM,techsummary_470538.pdf (215.32 KB),1.0,2312697.0,SANJUKTA PATTNAYAK,INR,"566,479",CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Upper Kolab Irrigation Division Borigumma,2023_UPIDB_96353_1,SEUKID 02/2023-24 (SL20),Construction of trough from RD 0.00km to RD 0.150 km of Phupugaon minor.,1,2317686,BIJAYA KUMAR MADALA,16-Nov-2023 06:59 PM,Rejected-Finance,Disqualified in transparent lottery system.,09-Dec-2023 07:19 PM,"SE,UKID, Borigumma",Internal,"Divisional Accountant , Estimator",Hemanta Kumar Hotta,09-Dec-2023 07:19 PM,finsummary_470538.pdf (359.08 KB),Finance,Bid opening summary,Hemanta Kumar Hotta,03-Dec-2023 09:55 PM,finance_470538.pdf,BOQ Comparative Chart,11-Dec-2023,"INR 666,367",90.0,Hemanta Kumar Hotta,11-Dec-2023 06:48 PM,Wo20.pdf (220.00 KB),WORK ORDER,AOC
,,.pdf,"Tender cost, undertaking, Check list, No Relation Certificate and any other documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,2,2314817,BIKASH PATNAIK,14-Nov-2023 04:43 PM,Rejected-Finance,Disqualified in transparent lottery system.,09-Dec-2023 07:19 PM,,,,,,,,,,,,,,,,,,,,AOC
,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,3,2315175,DINESH PATNAIK,14-Nov-2023 10:06 PM,Rejected-Finance,Disqualified in transparent lottery system.,09-Dec-2023 07:19 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,4,2316015,HEMANT DASH,15-Nov-2023 05:23 PM,Rejected-Finance,Disqualified in transparent lottery system.,09-Dec-2023 07:19 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,5,2318075,KISHORA BISOI,16-Nov-2023 10:36 PM,Rejected-Finance,Disqualified in transparent lottery system.,09-Dec-2023 07:19 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,6,2318436,LAXMI NARAYAN BISSOI,17-Nov-2023 11:23 AM,Rejected-Finance,Disqualified in transparent lottery system.,09-Dec-2023 07:19 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,7,2312712,MOHAMMED SAJID,11-Nov-2023 09:08 PM,Rejected-Finance,Disqualified in transparent lottery system.,09-Dec-2023 07:19 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,8,2316416,M/S SANJAYA KUMAR NAIK,15-Nov-2023 11:21 PM,Rejected-Finance,Disqualified in transparent lottery system.,09-Dec-2023 07:19 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,9,2316468,PADMAN BISOI,16-Nov-2023 06:24 AM,Rejected-Finance,Disqualified in transparent lottery system.,09-Dec-2023 07:19 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,10,2315554,PRASANNA KUMAR PANDA,15-Nov-2023 02:07 PM,Rejected-Technical,"Not Submitted Contractor Registration Certificate,GST and PAN",03-Dec-2023 10:43 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,11,2318878,Rajesh Gouda,17-Nov-2023 02:01 PM,Rejected-Finance,Disqualified in transparent lottery system.,09-Dec-2023 07:19 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,12,2318807,RAJKUMAR SATNAMI,17-Nov-2023 03:23 PM,Rejected-Finance,Disqualified in transparent lottery system.,09-Dec-2023 07:19 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,13,2312788,RAKESH KUMAR NAYAK,12-Nov-2023 11:32 AM,Rejected-Finance,Disqualified in transparent lottery system.,09-Dec-2023 07:19 PM,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,14,2312697,SANJUKTA PATTNAYAK,16-Nov-2023 07:15 PM,Accepted-AOC,Qualified in transparent lottery system.,11-Dec-2023 06:48 PM,,,,,,,,,,,,,,,,,,,,AOC
