Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,"Affidavit, EMD, GST Registration Certificate, GSTIN, PAN and Contractor RC","Improvement and widening of right bank from RD 41.80km to 42.40km of JMC. (Widening, dressing and levelling).",CANAL STRUCTURAL WORK,AS PER DTCN ,NA ,"6,06,116",Civil Works - Canal,NA ,Tender,90.0,90.0,BORIGUMMA,764056.0,NA ,NA ,NA ,"Office of the SE UKIDIVN, Borigumma,Dist-Koraput.",No ,No,06-Nov-2023 11:00 AM,18-Nov-2023 11:00 AM,06-Nov-2023 11:00 AM,17-Nov-2023 05:30 PM,NA ,NA ,06-Nov-2023 11:00 AM,17-Nov-2023 05:30 PM,"4,000",Nil,Nil,No,1.0,ICICI BANK,"SE UKIDIVN, Borigumma,Dist-Koraput","Office of the Superintending Engineer, U.K.I.Division,Borigumma, Dist- Koraput, PIN 764056","6,100",Yes,fixed,,Nil,Nil,CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Upper Kolab Irrigation Division Borigumma,SEUKID 02/2023-24 (SL15),2023_UPIDB_96347_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,1,2317581,BIJAYA KUMAR MADALA,16-Nov-2023 06:30 PM,Rejected-Finance,Disqualified in transparent lottery system.,09-Dec-2023 06:46 PM,11-Dec-2023,"INR 606,116",90.0,Hemanta Kumar Hotta,11-Dec-2023 06:39 PM,Wo15.pdf (224.00 KB),WORK ORDER,"SE,UKID, Borigumma",Internal,"Divisional Accountant , Estimator",Hemanta Kumar Hotta,09-Dec-2023 06:46 PM,finsummary_470532.pdf (341.65 KB),Finance,Bid opening summary,Hemanta Kumar Hotta,03-Dec-2023 09:49 PM,finance_470532.pdf,BOQ Comparative Chart,"SE,UKID, Borigumma",Internal,"Divisional Accountant , Estimator",Hemanta Kumar Hotta,03-Dec-2023 10:30 PM,techsummary_470532.pdf (179.55 KB),1.0,2315542.0,PRASANNA KUMAR PANDA,INR,"515,259",CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Upper Kolab Irrigation Division Borigumma,2023_UPIDB_96347_1,SEUKID 02/2023-24 (SL15),"Improvement and widening of right bank from RD 41.80km to 42.40km of JMC. (Widening, dressing and levelling).",AOC
,,.pdf,"Tender cost, undertaking, Check list, No Relation Certificate and any other documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,AOC,2,2313820,DEBEEPRASAD SATPATHY,13-Nov-2023 09:23 PM,Rejected-Finance,Disqualified in transparent lottery system.,09-Dec-2023 06:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3,2317989,ISWAR MOHANTY,17-Nov-2023 06:35 AM,Rejected-Finance,Disqualified in transparent lottery system.,09-Dec-2023 06:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4,2317376,MADHU NAIK,16-Nov-2023 05:23 PM,Rejected-Finance,Disqualified in transparent lottery system.,09-Dec-2023 06:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2315542,PRASANNA KUMAR PANDA,15-Nov-2023 02:11 PM,Accepted-AOC,Qualified in transparent lottery system.,11-Dec-2023 06:39 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2318798,Rajesh Gouda,17-Nov-2023 02:55 PM,Rejected-Finance,Disqualified in transparent lottery system.,09-Dec-2023 06:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2312691,SANJUKTA PATTNAYAK,16-Nov-2023 07:10 PM,Rejected-Finance,Disqualified in transparent lottery system.,09-Dec-2023 06:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2315015,SUJATA RANI PATNAIK,15-Nov-2023 07:23 AM,Rejected-Finance,Disqualified in transparent lottery system.,09-Dec-2023 06:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2312549,SUMANTO BAKSHI,15-Nov-2023 11:27 AM,Rejected-Finance,Disqualified in transparent lottery system.,09-Dec-2023 06:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2318705,SWAPNA BISOI,17-Nov-2023 12:36 PM,Rejected-Finance,Disqualified in transparent lottery system.,09-Dec-2023 06:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
