Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage
Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Puri||PIPILI Block,2023_ZPPIP_96762_3,BID ID NO. - PIPILI.04/2023-24,CONSTRUCTION OF PROPOSED BUILDING FOR MAHATMA GANDHI MEMORIAL DEGREE COLLEGE OF EDUCATION AND TECHNOLOGY,1.0,2326476.0,RAJIB KHATEI,INR,"3,115,573",BDO,Internal,AEE ABDO SO AO,BASANT KUMAR SAHU,08-Dec-2023 03:37 PM,techsummary_472196.pdf (497.80 KB),11-Dec-2023,"INR 3,115,573",180.0,SAROJ KUMAR ROUT,11-Dec-2023 04:27 PM,AOC_96762_3.pdf (562.00 KB),Finance,TENDER OPENED ON 29-11-2023 AT 11AM AT BLOCK CONFERENCE HALL IN THE PRESENT OF ALL BIDDERS/ REPRESENTIVE,BASANT KUMAR SAHU,08-Dec-2023 03:25 PM,,BOQ Comparative Chart,BDO,Internal,AEE AO ABDO SO JE,BASANT KUMAR SAHU,11-Dec-2023 03:05 PM,finsummary_472196.pdf (496.28 KB),1.0,2327990.0,M/S BHABAJEET JENA,22-Nov-2023 03:55 PM,Rejected-AOC,Failure in the transparent Lottery System,11-Dec-2023 04:29 PM,AOC,BDO PIPILI,PANCHYAT SAMITI PIPILI,10-Nov-2023 11:00 AM,24-Nov-2023 11:00 AM,10-Nov-2023 11:00 AM,22-Nov-2023 05:00 PM,NA ,NA ,16-Nov-2023 11:00 AM,22-Nov-2023 05:00 PM,CONSTRUCTION OF PROPOSED BUILDING FOR MAHATMA GANDHI MEMORIAL DEGREE COLLEGE OF EDUCATION AND TECHNOLOGY,CONSTRUCTION OF PROPOSED BUILDING FOR MAHATMA GANDHI MEMORIAL DEGREE COLLEGE OF EDUCATION AND TECHNOLOGY,Please Refer to DTCN ,NA ,"36,64,948",Civil Works - Buildings,NA ,Tender,180.0,180.0,PANCHYAT SAMITI PIPILI,752104.0,NA ,NA ,NA ,PANCHYAT SAMITI PIPILI,No ,No,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Puri||PIPILI Block,BID ID NO. - PIPILI.04/2023-24,2023_ZPPIP_96762_3,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,ICICI BANK,"36,649",Yes,percentage,1.0%,Nil,Nil,"6,000",Nil,Nil,Yes,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Paper Cost, EMD, PAN, GST, Registration Certificate , Experience Certificate etc",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2326476.0,RAJIB KHATEI,21-Nov-2023 07:52 PM,Accepted-AOC,Winner in the transparent Lottery System,11-Dec-2023 04:29 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,.pdf,Other Document As per DTCN,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
