Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Municipal Bodies||Baripada Municipality,BPDM- 6 of 2023/2024,2023_ORULB_94197_40,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender cost, EMD remitted on line mode, GST, PAN, Contractor valid R.C and Labour license asper DTCN",14-Sep-2023 04:00 PM,26-Sep-2023 11:30 AM,14-Sep-2023 04:00 PM,25-Sep-2023 05:00 PM,NA ,NA ,14-Sep-2023 04:00 PM,25-Sep-2023 05:00 PM,"16,800",Yes,fixed,,Nil,Nil,"Executive Officer, Baripada Municipality, Baripada","Executive Officer, Baripada Municipality, Baripada",1.0,ICICI BANK,Construction of Paver road from P.W.D. road to Kara babu chicken farm in Ward No.22 (PART-1),Construction of Paver road,Please refer Tender documents ,NA ,,Civil Works - Roads,NA ,Tender,120.0,45.0,"Baripada Municipality, Baripada",757001.0,NA ,NA ,NA ,"Office of the Baripada Municipality, Baripada",No ,No,"7,080",0.0,Nil,Nil,No,AOC,13-Dec-2023,"INR 2,070,145",45.0,Basanta Kumar Sethi,13-Dec-2023 10:57 AM,CCF12122023.pdf,"Chairperson,President",Internal,"Municipal Engineer,CT G.S.T officer Baripada,Tahasildar Baripada,Executive officer Baripada",Basanta Kumar Sethi,13-Dec-2023 10:52 AM,techsummary_461269.pdf,"Chairperson,President",Internal,"Municipal Engineer,CT G.S.T officer Baripada,Tahasildar Baripada,Executive officer Baripada",Basanta Kumar Sethi,13-Dec-2023 10:56 AM,finsummary_461269.pdf,Municipal Bodies||Baripada Municipality,2023_ORULB_94197_40,BPDM- 6 of 2023/2024,Construction of Paver road from P.W.D. road to Kara babu chicken farm in Ward No.22 (PART-1),Finance,"Two bidders have participated, hence the documents of both the bidder have been accepted, which will be put up before the Tender committee for finalization of Technical and financial bid.",Basanta Kumar Sethi,30-Sep-2023 12:40 PM,finance_461269.pdf,AOC
,,,,,,,,,,,,,,,,.pdf,"Enlisted as Municipal contractor order, Affidavits, undertakings and any other documents as per DTCN",,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
